福壽,	1219
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,833595,939855,910962,-11.30,-8.49,833595,910962,-8.49,-
2015/02,700237,833595,674944,-15.99,3.74,1533832,1585906,-3.28,-
2015/03,780920,700237,872199,11.52,-10.46,2314752,2458105,-5.83,-
2015/04,757601,780920,936262,-2.98,-19.08,3072353,3394367,-9.48,-
2015/05,717340,757601,880194,-5.31,-18.50,3789694,4274561,-11.34,-
2015/06,841818,717340,782352,17.35,7.60,4631512,5056913,-8.41,-
2015/07,875546,841818,930389,4.00,-5.89,5507058,5987302,-8.02,-
2015/08,841093,875546,908118,-3.93,-7.38,6348152,6895420,-7.93,-
2015/09,779711,841093,906692,-7.29,-14.00,7127863,7802112,-8.64,-
2015/10,971412,779711,959206,24.58,1.27,8099274,8761318,-7.55,-
2015/11,851050,971412,839615,-12.39,1.36,8950324,9600933,-6.77,-
2015/12,859986,851050,939855,1.04,-8.49,9810310,10540787,-6.93,-
2016/01,899361,859986,833595,4.57,7.88,899361,833595,7.88,-
2016/02,856686,899361,700237,-4.74,22.34,1756047,1533832,14.48,-
2016/03,864594,856686,780920,0.92,10.71,2620641,2314752,13.21,-
2016/04,872985,864594,757601,0.97,15.23,3493626,3072353,13.71,-
2016/05,877293,872985,717340,0.49,22.29,4370919,3789694,15.33,-
2016/06,985653,877293,841818,12.35,17.08,5356572,4631512,15.65,-
2016/07,890385,985653,875546,-9.66,1.69,6246956,5507058,13.43,-
2016/08,907307,890385,841093,1.90,7.87,7154264,6348152,12.69,-
2016/09,863652,907307,779711,-4.81,10.76,8017916,7127863,12.48,-
2016/10,894761,863652,971412,3.60,-7.89,8912677,8099274,10.04,-
2016/11,1037996,894761,851050,16.00,21.96,9950674,8950324,11.17,-
2016/12,1005328,1037996,859986,-3.14,16.90,10956002,9810310,11.67,-
2017/01,1008902,1005328,899361,0.35,12.17,1008902,899361,12.17,-
2017/02,856122,1008902,856686,-15.14,-0.06,1865024,1756047,6.20,-
2017/03,963379,856122,864594,12.52,11.42,2828403,2620641,7.92,-
2017/04,836562,963379,872985,-13.16,-4.17,3664966,3493626,4.90,-
2017/05,824973,836562,877293,-1.38,-5.96,4489939,4370919,2.72,-
2017/06,862947,824973,985653,4.60,-12.44,5352886,5356572,-0.06,-
2017/07,822215,862947,890385,-4.72,-7.65,6175102,6246956,-1.15,-
2017/08,937701,822215,907307,14.04,3.34,7112350,7154264,-0.58,-
2017/09,905236,937701,863652,-3.46,4.81,8017586,8017916,-0.00,-
2017/10,911115,905236,894761,0.64,1.82,8928702,8912677,0.17,-
2017/11,917403,911115,1037996,0.69,-11.61,9846105,9950674,-1.05,-
2017/12,979504,917403,1005328,6.76,-2.56,10825610,10956002,-1.19,-
2018/01,1008526,979504,1008902,2.96,-0.03,1008526,1008902,-0.03,-
2018/02,808692,1008526,856122,-19.81,-5.54,1817218,1865024,-2.56,-
2018/03,1053098,808692,963379,30.22,9.31,2870316,2828403,1.48,-
2018/04,1019797,1053098,836562,-3.16,21.90,3890159,3664966,6.14,-
2018/05,1040713,1019797,824973,2.05,26.15,4930870,4489939,9.82,-
2018/06,920626,1040713,862947,-11.53,6.68,5851496,5352886,9.31,-
2018/07,946749,920626,822215,2.83,15.14,6797917,6175102,10.08,-
