台苯,	1310
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,540777,946271,1871367,-42.85,-71.10,540777,1871367,-71.10,-
2015/02,527360,540777,1681049,-2.48,-68.62,1068137,3552416,-69.93,-
2015/03,1199903,527360,1722241,127.53,-30.32,2268040,5274657,-57.00,-
2015/04,1372160,1199903,1761426,14.35,-22.09,3640200,7036083,-48.26,-
2015/05,1440460,1372160,1633681,4.97,-11.82,5080660,8669764,-41.39,-
2015/06,1387482,1440460,1430148,-3.67,-2.98,6468142,10099912,-35.95,-
2015/07,1264506,1387482,1672940,-8.86,-24.41,7732648,11772852,-34.31,-
2015/08,1043572,1264506,1642887,-17.47,-36.47,8776220,13415739,-34.58,-
2015/09,990435,1043572,1180383,-5.09,-16.09,9766655,14596122,-33.08,-
2015/10,1106135,990435,989264,11.68,11.81,10872790,15585386,-30.23,-
2015/11,1174071,1106135,1052038,6.14,11.59,12046861,16637424,-27.59,-
2015/12,1078653,1174071,946271,-8.12,13.98,13125514,17583695,-25.35,-
2016/01,1108849,1078653,540777,2.79,105.04,1108849,540777,105.04,"本期營收增加為568,072仟元，主要係苯乙烯銷售量增加、售價上揚及匯率影響所致。"
2016/02,1075117,1108849,527360,-3.04,103.86,2183966,1068137,104.46,"本期營收增加為547,757仟元，主要係苯乙烯銷售量增加及匯率影響所致。"
2016/03,1325842,1075117,1199903,23.32,10.49,3509808,2268040,54.75,"本期累計營收增加為1,241,768仟元，主要係苯乙烯銷售量增加及匯率影響所致。"
2016/04,1195837,1325842,1372160,-9.80,-12.85,4705645,3640200,29.26,-
2016/05,1067961,1195837,1440460,-10.69,-25.85,5773606,5080660,13.63,-
2016/06,1000756,1067961,1387482,-6.29,-27.87,6774362,6468142,4.73,-
2016/07,1177722,1000756,1264506,17.68,-6.86,7952084,7732648,2.83,-
2016/08,1186674,1177722,1043572,0.76,13.71,9138758,8776220,4.13,-
2016/09,1128310,1186674,990435,-4.91,13.92,10267068,9766655,5.12,-
2016/10,1153534,1128310,1106135,2.23,4.28,11420602,10872790,5.03,-
2016/11,1267841,1153534,1174071,9.90,7.98,12688443,12046861,5.32,-
2016/12,1382274,1267841,1078653,9.02,28.14,14070717,13125514,7.20,-
2017/01,1241722,1382274,1108849,-10.16,11.98,1241722,1108849,11.98,-
2017/02,1161500,1241722,1075117,-6.46,8.03,2403222,2183966,10.03,-
2017/03,1115527,1161500,1325842,-3.95,-15.86,3518749,3509808,0.25,-
2017/04,1200740,1115527,1195837,7.63,0.41,4719489,4705645,0.29,-
2017/05,1202728,1200740,1067961,0.16,12.61,5922217,5773606,2.57,-
2017/06,1177040,1202728,1000756,-2.13,17.61,7099257,6774362,4.79,-
2017/07,1233931,1177040,1177722,4.83,4.77,8333188,7952084,4.79,-
2017/08,1291990,1233931,1186674,4.70,8.87,9625178,9138758,5.32,-
2017/09,1321553,1291990,1128310,2.28,17.12,10946731,10267068,6.61,-
2017/10,1231120,1321553,1153534,-6.84,6.72,12177851,11420602,6.63,-
2017/11,1266319,1231120,1267841,2.85,-0.12,13444170,12688443,5.95,-
2017/12,1302729,1266319,1382274,2.87,-5.75,14746899,14070717,4.80,-
2018/01,1358715,1302729,1241722,4.29,9.42,1358715,1241722,9.42,-
2018/02,1312915,1358715,1161500,-3.37,13.03,2671630,2403222,11.16,-
2018/03,1332672,1312915,1115527,1.50,19.46,4004302,3518749,13.79,-
2018/04,1293172,1332672,1200740,-2.96,7.69,5297474,4719489,12.24,-
2018/05,1372041,1293172,1202728,6.09,14.07,6669515,5922217,12.61,-
