東元,	1504
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,3899497,4504909,4456783,-13.43,-12.50,3899497,4456783,-12.50,-
2015/02,3496151,3899497,4149919,-10.34,-15.75,7395648,8606702,-14.07,-
2015/03,4358096,3496151,5038615,24.65,-13.50,11753744,13645317,-13.86,-
2015/04,3904012,4358096,4519925,-10.41,-13.62,15657756,18165242,-13.80,-
2015/05,3877051,3904012,4331907,-0.69,-10.50,19534807,22497149,-13.16,-
2015/06,4358304,3877051,5256258,12.41,-17.08,23893111,27753407,-13.90,-
2015/07,4218729,4358304,4822283,-3.20,-12.51,28111840,32575690,-13.70,-
2015/08,3998902,4218729,4254679,-5.21,-6.01,32110742,36830369,-12.81,-
2015/09,4106793,3998902,4473354,2.69,-8.19,36217535,41303723,-12.31,-
2015/10,3945346,4106793,4250792,-3.93,-7.18,40162881,45554515,-11.83,-
2015/11,3937742,3945346,4079723,-0.19,-3.48,44100623,49634238,-11.14,-
2015/12,4486054,3937742,4504909,13.92,-0.41,48586677,54139147,-10.25,-
2016/01,3708802,4486054,3899497,-17.32,-4.89,3708802,3899497,-4.89,-
2016/02,3539829,3708802,3496151,-4.55,1.24,7248631,7395648,-1.98,-
2016/03,4408656,3539829,4358096,24.54,1.16,11657287,11753744,-0.82,-
2016/04,4203772,4408656,3904012,-4.64,7.67,15861059,15657756,1.29,-
2016/05,4212825,4203772,3877051,0.21,8.66,20073884,19534807,2.75,-
2016/06,4420411,4212825,4358304,4.92,1.42,24494295,23893111,2.51,-
2016/07,3912618,4420411,4218729,-11.48,-7.25,28406913,28111840,1.04,-
2016/08,3901197,3912618,3998902,-0.29,-2.44,32308110,32110742,0.61,-
2016/09,4318697,3901197,4106793,10.70,5.15,36626807,36217535,1.13,-
2016/10,4244355,4318697,3945346,-1.72,7.57,40871162,40162881,1.76,-
2016/11,4529172,4244355,3937742,6.71,15.01,45400334,44100623,2.94,-
2016/12,4607242,4529172,4486054,1.72,2.70,50007576,48586677,2.92,-
2017/01,3952621,4607242,3708802,-14.20,6.57,3952621,3708802,6.57,-
2017/02,3689301,3952621,3539829,-6.66,4.22,7641922,7248631,5.42,-
2017/03,4293193,3689301,4408656,16.36,-2.61,11935115,11657287,2.38,-
2017/04,4307983,4293193,4203772,0.34,2.47,16243098,15861059,2.40,-
2017/05,4274984,4307983,4212825,-0.76,1.47,20518082,20073884,2.21,-
2017/06,4653074,4274984,4420411,8.84,5.26,25171156,24494295,2.76,-
2017/07,4194880,4653074,3912618,-9.84,7.21,29366036,28406913,3.37,-
2017/08,4241176,4194880,3901197,1.10,8.71,33607212,32308110,4.02,-
2017/09,4385380,4241176,4318697,3.40,1.54,37992592,36626807,3.72,-
2017/10,4015113,4385380,4244355,-8.44,-5.40,42007705,40871162,2.78,-
2017/11,4700806,4015113,4529172,17.07,3.78,46708511,45400334,2.88,-
2017/12,4485799,4700806,4607242,-4.57,-2.63,51194310,50007576,2.37,-
2018/01,4222993,4485799,3952621,-5.85,6.84,4222993,3952621,6.84,-
2018/02,3566232,4222993,3689301,-15.55,-3.33,7789225,7641922,1.92,-
2018/03,4488763,3566232,4293193,25.86,4.55,12277988,11935115,2.87,-
2018/04,4313688,4488763,4307983,-3.90,0.13,16591676,16243098,2.14,-
2018/05,4332559,4313688,4274984,0.43,1.34,20924235,20518082,1.97,-
2018/06,4439028,4332559,4653074,2.45,-4.60,25363263,25171156,0.76,-
2018/07,3955760,4439028,4194880,-10.88,-5.70,29319023,29366036,-0.16,-
2018/08,4081151,3955760,4241176,3.16,-3.77,33400174,33607212,-0.61,-
2018/09,4271330,4081151,4385380,4.65,-2.60,37671504,37992592,-0.84,-
2018/10,4023075,4187038,4015113,-3.91,0.19,41610287,42007705,-0.94,-
2018/11,4363190,4023075,4700806,8.45,-7.18,45973477,46708511,-1.57,-
2018/12,4472265,4363190,4485799,2.49,-0.30,50445742,51194310,-1.46,-
2019/01,3969809,4472265,4222993,-11.23,-5.99,3969809,4222993,-5.99,-
2019/02,3410332,3969809,3566232,-14.09,-4.37,7380140,7789225,-5.25,-
2019/03,4099679,3410332,4488763,20.21,-8.66,11479819,12277988,-6.50,-
2019/04,3883445,4099679,4313688,-5.27,-9.97,15363264,16591676,-7.40,-
2019/05,4335615,3883445,4332559,11.64,0.07,19698879,20924235,-5.85,-
2019/06,4365723,4335615,4439028,0.69,-1.65,24064602,25363263,-5.12,-
2019/07,4115430,4365723,3955760,-5.73,4.03,28180032,29319023,-3.88,-
2019/08,3656358,4115430,4081151,-11.15,-10.40,31836390,33400174,-4.68,-
