亞力,	1514
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,272627,480871,216305,-43.30,26.03,272627,216305,26.03,-
2015/02,214630,272627,156163,-21.27,37.43,487258,372469,30.81,-
2015/03,299290,214630,268805,39.44,11.34,786548,641274,22.65,-
2015/04,257262,299290,277904,-14.04,-7.42,1043810,919178,13.55,-
2015/05,232959,257262,253622,-9.44,-8.14,1276769,1172801,8.86,-
2015/06,440034,232959,301260,88.88,46.06,1716803,1474060,16.46,-
2015/07,308321,440034,255491,-29.93,20.67,2025124,1729551,17.08,-
2015/08,271629,308321,227308,-11.90,19.49,2296753,1956859,17.36,-
2015/09,328100,271629,270013,20.78,21.51,2624853,2226873,17.87,-
2015/10,277902,328100,234571,-15.29,18.47,2902755,2461443,17.92,-
2015/11,278566,277902,458904,0.23,-39.29,3181321,2920347,8.93,-
2015/12,330334,278566,480871,18.58,-31.30,3511655,3401218,3.24,-
2016/01,326899,330334,272627,-1.03,19.90,326899,272627,19.90,-
2016/02,374713,326899,214630,14.62,74.58,701612,487258,43.99,因海外子公司本月銷貨收入增加1億所致
2016/03,416221,374713,299290,11.07,39.06,1117833,786548,42.11,-
2016/04,301331,416221,257262,-27.60,17.13,1419164,1043810,35.95,-
2016/05,278785,301331,232959,-7.48,19.67,1697949,1276769,32.98,-
2016/06,366218,278785,440034,31.36,-16.77,2064168,1716803,20.23,-
2016/07,336387,366218,308321,-8.14,9.10,2400555,2025124,18.53,-
2016/08,342496,336387,271629,1.81,26.08,2743051,2296753,19.43,-
2016/09,271604,342496,328100,-20.69,-17.21,3014655,2624853,14.85,-
2016/10,265711,271604,277902,-2.16,-4.38,3280366,2902755,13.00,-
2016/11,293785,265711,278566,10.56,5.46,3574151,3181321,12.34,-
2016/12,322140,293785,330334,9.65,-2.48,3896292,3511655,10.95,-
2017/01,223582,322140,326899,-30.59,-31.60,223582,326899,-31.60,-
2017/02,240915,223582,374713,7.75,-35.70,464497,701612,-33.79,-
2017/03,285142,240915,416221,18.35,-31.49,749639,1117833,-32.93,-
2017/04,211336,285142,301331,-25.88,-29.86,960975,1419164,-32.28,-
2017/05,266398,211336,278785,26.05,-4.44,1227373,1697949,-27.71,-
2017/06,309006,266398,366218,15.99,-15.62,1536379,2064168,-25.56,-
2017/07,291378,309006,336387,-5.70,-13.38,1827757,2400555,-23.86,-
2017/08,278205,291378,342496,-4.52,-18.77,2105962,2743051,-23.22,-
2017/09,401396,278205,271604,44.28,47.78,2507358,3014655,-16.82,-
2017/10,372526,401396,265711,-7.19,40.19,2879884,3280366,-12.20,-
2017/11,440750,372526,293785,18.31,50.02,3320634,3574151,-7.09,"1.因部分工程完工入帳及電氣設備銷貨增加約13,000萬.2.因子公司青島�源亞力承攬半導體追加工程完工入帳, 增加銷貨約2,000萬."
2017/12,459737,440750,322140,4.30,42.71,3780371,3896292,-2.97,-
2018/01,362828,459737,223582,-21.07,62.27,362828,223582,62.27,1.因去年1月份正值春節長假，工作日數較少，銷貨亦較少。2.母公司亞力個體因部分工程完工入帳，故增加銷貨收入所致。
2018/02,296187,362828,240915,-18.36,22.94,659016,464497,41.87,-
2018/03,379704,296187,285142,28.19,33.16,1038719,749639,38.56,-
2018/04,312759,379704,211336,-17.63,47.99,1351478,960975,40.63,-
2018/05,373846,312759,266398,19.53,40.33,1725324,1227373,40.57,-
2018/06,312426,373846,309006,-16.42,1.10,2037750,1536379,32.63,-
2018/07,282696,312426,291378,-9.51,-2.97,2320445,1827757,26.95,-
2018/08,316606,282696,278205,11.99,13.80,2637052,2105962,25.21,-
2018/09,320545,316606,401396,1.24,-20.14,2957596,2507358,17.95,-
2018/10,330652,320545,372526,3.15,-11.24,3288249,2879884,14.17,-
2018/11,478872,330652,440750,44.82,8.64,3767121,3320634,13.44,-
2018/12,505183,478872,459737,5.49,9.88,4272304,3780371,13.01,-
2019/01,332758,505183,362828,-34.13,-8.28,332758,362828,-8.28,-
2019/02,353895,332758,296187,6.35,19.48,686653,659016,4.19,-
2019/03,417577,353895,379704,17.99,9.97,1104229,1038719,6.30,-
2019/04,417216,417577,312759,-0.08,33.39,1521445,1351478,12.57,-
2019/05,424315,417216,373846,1.70,13.49,1945760,1725324,12.77,-
