福盈科,	1787
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,111454,115158,101137,-3.21,10.20,111454,101137,10.20,-
2015/02,82169,111454,87800,-26.27,-6.41,193623,188937,2.48,-
2015/03,133167,82169,131129,62.06,1.55,326790,320066,2.10,-
2015/04,137016,133167,132165,2.89,3.67,463806,452231,2.55,-
2015/05,115939,137016,126214,-15.38,-8.14,579745,578445,0.22,-
2015/06,123060,115939,113479,6.14,8.44,702805,691924,1.57,-
2015/07,125029,123060,103697,1.60,20.57,827834,795621,4.04,-
2015/08,125398,125029,110734,0.29,13.24,953232,906355,5.17,-
2015/09,135477,125398,124147,8.03,9.12,1088709,1030502,5.64,-
2015/10,126890,135477,115104,-6.33,10.23,1215599,1145606,6.10,-
2015/11,121986,126890,111194,-3.86,9.70,1337585,1256800,6.42,-
2015/12,122051,121986,115158,0.05,5.98,1459636,1371958,6.39,-
2016/01,136872,122051,111454,12.14,22.80,136872,111454,22.80,-
2016/02,96741,136872,82169,-29.32,17.73,233613,193623,20.65,-
2016/03,148180,96741,133167,53.17,11.27,381793,326790,16.83,-
2016/04,145251,148180,137016,-1.97,6.01,527044,463806,13.63,-
2016/05,147681,145251,115939,1.67,27.37,674725,579745,16.38,-
2016/06,147507,147681,123060,-0.11,19.86,822232,702805,16.99,-
2016/07,124583,147507,125029,-15.54,-0.35,946815,827834,14.37,-
2016/08,136637,124583,125398,9.67,8.96,1083452,953232,13.66,-
2016/09,135231,136637,135477,-1.02,-0.18,1218683,1088709,11.93,-
2016/10,142551,135231,126890,5.41,12.34,1361234,1215599,11.98,-
2016/11,130818,142551,121986,-8.23,7.24,1492052,1337585,11.54,-
2016/12,162157,130818,122051,23.95,32.86,1654209,1459636,13.33,-
2017/01,119580,162157,136872,-26.25,-12.63,119580,136872,-12.63,-
2017/02,144112,119580,96741,20.51,48.96,263692,233613,12.87,-
2017/03,182911,144112,148180,26.92,23.43,446603,381793,16.97,-
2017/04,155468,182911,145251,-15.00,7.03,602071,527044,14.23,-
2017/05,167943,155468,147681,8.02,13.72,770014,674725,14.12,-
2017/06,152980,167943,147507,-8.90,3.71,922994,822232,12.25,-
2017/07,134889,152980,124583,-11.82,8.27,1057883,946815,11.73,-
2017/08,162002,134889,136637,20.10,18.56,1219885,1083452,12.59,-
2017/09,162633,162002,135231,0.38,20.26,1382518,1218683,13.44,-
2017/10,151300,162633,142551,-6.96,6.13,1533818,1361234,12.67,-
2017/11,152696,151300,130818,0.92,16.72,1686514,1492052,13.03,-
2017/12,159981,152696,162157,4.77,-1.34,1846495,1654209,11.62,-
2018/01,165503,159981,119580,3.45,38.40,165503,119580,38.40,-
2018/02,110998,165503,144112,-32.93,-22.97,276501,263692,4.85,-
2018/03,175740,110998,182911,58.32,-3.92,452241,446603,1.26,-
2018/04,177321,175740,155468,0.89,14.05,629562,602071,4.56,-
