金穎生技,	1796
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2017/01,24202,27519,42263,-12.05,-42.73,24202,42263,-42.73,-
2017/02,27055,24202,25462,11.78,6.25,51257,67725,-24.31,-
2017/03,32944,27055,41789,21.76,-21.16,84201,109515,-23.11,-
2017/04,31395,32944,41713,-4.70,-24.73,115596,151228,-23.56,-
2017/05,39203,31395,37525,24.87,4.47,154799,188753,-17.98,-
2017/06,31340,39203,44003,-20.05,-28.77,186139,232756,-20.02,-
2017/07,28737,31340,37679,-8.30,-23.73,214876,270435,-20.54,-
2017/08,32809,28737,39990,14.16,-17.95,247685,310425,-20.21,-
2017/09,27476,32809,40397,-16.25,-31.98,275161,350821,-21.56,-
2017/10,21997,27476,36542,-19.94,-39.80,297158,387363,-23.28,-
2017/11,22463,21997,37677,2.11,-40.38,319621,425041,-24.80,-
2017/12,30209,22463,27519,34.48,9.77,349830,452560,-22.69,-
2018/01,30350,30209,24202,0.46,25.40,30350,24202,25.40,-
2018/02,23415,30350,27055,-22.85,-13.45,53765,51257,4.89,-
2018/03,30064,23415,32944,28.39,-8.74,83829,84201,-0.44,-
2018/04,26629,30064,31395,-11.42,-15.18,110458,115596,-4.44,-
2018/05,27330,26629,39203,2.63,-30.28,137788,154799,-10.98,-
2018/06,30431,27330,31340,11.34,-2.90,168219,186139,-9.62,-
2018/07,29275,30431,28737,-3.79,1.87,197494,214876,-8.08,-
2018/08,22101,29275,32809,-24.50,-32.63,219595,247685,-11.34,-
2018/09,31331,22101,27476,41.76,14.03,250926,275161,-8.80,-
2018/10,37385,31331,21997,19.32,69.95,288311,297158,-2.97,本月增減百分比達69.95%，係因代工業務需求較去年同期增加。
2018/11,35517,37385,22463,-4.99,58.11,323828,319621,1.31,本月增減百分比達58.11%，係因客戶需求較去年同期增加。
2018/12,33619,35517,30209,-5.34,11.28,357447,349830,2.17,-
2019/01,34391,33619,30350,2.29,13.31,34391,30350,13.31,-
2019/02,14975,34391,23415,-56.45,-36.04,49366,53765,-8.18,-
2019/03,23221,14975,30064,55.06,-22.76,72587,83829,-13.41,-
2019/04,26673,23221,26629,14.86,0.16,99260,110458,-10.13,-
2019/05,23705,26673,27330,-11.12,-13.26,122965,137788,-10.75,-
2019/06,29177,23705,30431,23.08,-4.12,152142,168219,-9.55,-
2019/07,23472,29177,29275,-19.55,-19.82,175614,197494,-11.07,-
2019/08,25049,23472,22101,6.71,13.33,200663,219595,-8.62,-
