中鋼,	2002
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,29403105,30160526,32313195,-2.51,-9.00,29403105,32313195,-9.00,-
2015/02,23583840,29403105,28559263,-19.79,-17.42,52986945,60872458,-12.95,-
2015/03,27816757,23583840,31543307,17.94,-11.81,80803702,92415765,-12.56,-
2015/04,25352633,27816757,30762063,-8.85,-17.58,106156335,123177828,-13.81,-
2015/05,24191363,25352633,31012683,-4.58,-21.99,130347698,154190511,-15.46,-
2015/06,24018677,24191363,30386665,-0.71,-20.95,154366375,184577176,-16.36,-
2015/07,23940466,24018677,30642700,-0.32,-21.87,178306841,215219876,-17.15,-
2015/08,22628370,23940466,30768513,-5.48,-26.45,200935211,245988389,-18.31,-
2015/09,21124844,22628370,30857185,-6.64,-31.53,222060055,276845574,-19.78,-
2015/10,21125715,21124844,30687583,0.00,-31.15,243185770,307533157,-20.92,-
2015/11,20302262,21125715,28830784,-3.89,-29.58,263488032,336363941,-21.66,-
2015/12,21592504,20302262,30146756,6.35,-28.37,285080536,366510697,-22.21,-
2016/01,22238128,21592504,29403105,2.99,-24.36,22238128,29403105,-24.36,-
2016/02,17998083,22238128,23583840,-19.06,-23.68,40236211,52986945,-24.06,-
2016/03,24722332,17998083,27816757,37.36,-11.12,64958543,80803702,-19.60,-
2016/04,22882766,24722332,25352633,-7.44,-9.74,87841309,106156335,-17.25,-
2016/05,24478925,22882766,24191363,6.97,1.18,112320234,130347698,-13.83,-
2016/06,24971017,24478925,24018677,2.01,3.96,137291251,154366375,-11.06,-
2016/07,24499260,24971017,23940466,-1.88,2.33,161790511,178306841,-9.26,-
2016/08,25709655,24499260,22628370,4.94,13.61,187500166,200935211,-6.68,-
2016/09,23384315,25709655,21124844,-9.04,10.69,210884481,222060055,-5.03,-
2016/10,26031727,23384315,21125715,11.32,23.22,236916208,243185770,-2.57,-
2016/11,27841597,26031727,20302262,6.95,37.13,264757805,263488032,0.48,-
2016/12,28285155,27841597,21565844,1.59,31.15,293042960,285053876,2.80,-
2017/01,25157643,28285155,22238128,-11.05,13.12,25157643,22238128,13.12,-
2017/02,25868858,25157643,17998083,2.82,43.73,51026501,40236211,26.81,-
2017/03,31957848,25868858,24722332,23.53,29.26,82984349,64958543,27.74,-
2017/04,27886682,31957848,22882766,-12.73,21.86,110871031,87841309,26.21,-
2017/05,30165413,27886682,24478925,8.17,23.23,141036444,112320234,25.56,-
2017/06,26812821,30165413,24971017,-11.11,7.37,167849265,137291251,22.25,-
2017/07,28479023,26812821,24499260,6.21,16.24,196328288,161790511,21.34,-
2017/08,30630858,28479023,25709655,7.55,19.14,226959146,187500166,21.04,-
2017/09,29807618,30630858,23384315,-2.68,27.46,256766764,210884481,21.75,-
2017/10,29603163,29807618,26031727,-0.68,13.71,286369927,236916208,20.87,-
2017/11,29678153,29603163,27841597,0.25,6.59,316048080,264757805,19.37,-
2017/12,30963922,29678153,28297999,4.33,9.42,347012002,293055804,18.41,-
2018/01,32819912,30963922,25157643,5.99,30.45,32819912,25157643,30.45,-
2018/02,26665920,32819912,25868858,-18.75,3.08,59485832,51026501,16.57,-
2018/03,33903830,26665920,31957848,27.14,6.08,93389662,82984349,12.53,-
2018/04,31934984,33903830,27886682,-5.80,14.51,125324646,110871031,13.03,-
2018/05,35003823,31934984,30165413,9.60,16.03,160328469,141036444,13.67,-
2018/06,33385608,35003823,26812821,-4.62,24.51,193714077,167849265,15.40,-
2018/07,35015046,33385608,28479023,4.88,22.95,228729123,196328288,16.50,-
2018/08,33779551,35015046,30630858,-3.52,10.27,262508674,226959146,15.66,-
2018/09,33937015,33779551,29807618,0.46,13.85,296445689,256766764,15.45,-
