三陽工業,	2206
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,3344353,3237641,3111978,3.29,7.46,3344353,3111978,7.46,-
2015/02,2144613,3344353,2195374,-35.87,-2.31,5488966,5307352,3.42,-
2015/03,3156516,2144613,2739464,47.18,15.22,8645482,8046816,7.43,-
2015/04,2840347,3156516,3324986,-10.01,-14.57,11485829,11371802,1.00,-
2015/05,2810111,2840347,3514149,-1.06,-20.03,14295940,14885951,-3.96,-
2015/06,2935732,2810111,3586866,4.47,-18.15,17231672,18472817,-6.71,-
2015/07,2957608,2935732,3519472,0.74,-15.96,20189280,21992289,-8.19,-
2015/08,2831705,2957608,2944872,-4.25,-3.84,23020985,24937161,-7.68,-
2015/09,3547160,2831705,3208882,25.26,10.54,26568145,28146043,-5.60,軍車收入依國防部驗收文件修正認列時點
2015/10,2475504,3547160,2813198,-30.21,-12.00,29043649,30959241,-6.18,本月無此情形
2015/11,2173686,2475504,2518976,-12.19,-13.70,31217335,33478217,-6.75,本月無此情形
2015/12,2309985,2173686,3237641,6.27,-28.65,33527320,36715858,-8.68,本月無此情形
2016/01,2636116,2309985,3344353,14.11,-21.17,2636116,3344353,-21.17,本月無此情形
2016/02,1798367,2636116,2144613,-31.77,-16.14,4434483,5488966,-19.21,本月無此情形
2016/03,2718547,1798367,3156516,51.16,-13.87,7153030,8645482,-17.26,本月無此情形
2016/04,2649618,2718547,2840347,-2.53,-6.71,9802648,11485829,-14.65,本月無此情形
2016/05,3083356,2649618,2810111,16.36,9.72,12886004,14295940,-9.86,本月無此情形
2016/06,3053091,3083356,2935732,-0.98,3.99,15939095,17231672,-7.50,本月無此情形
2016/07,3220958,3053091,2957608,5.49,8.90,19160053,20189280,-5.09,本月無此情形
2016/08,2671079,3220958,2831705,-17.07,-5.67,21831132,23020985,-5.16,本月無此情形
2016/09,2653973,2671079,3547160,-0.64,-25.18,24485105,26568145,-7.84,本月無此情形
2016/10,4424441,2653973,2475504,66.71,78.72,28909546,29043649,-0.46,本月增減百分比達50%，係因本公司105年10月認列軍車收入約18億所致。
2016/11,2557874,4424441,2173686,-42.18,17.67,31467420,31217335,0.80,-
2016/12,4280737,2557874,2309985,67.35,85.31,35748157,33527320,6.62,本月增減百分比達50%，係因本公司105年12月認列軍車收入約18億元所致。
2017/01,2522542,4280737,2636116,-41.07,-4.30,2522542,2636116,-4.30,-
2017/02,2162310,2522542,1798367,-14.28,20.23,4684852,4434483,5.64,-
2017/03,3137837,2162310,2718547,45.11,15.42,7822689,7153030,9.36,-
2017/04,2677500,3137837,2649618,-14.67,1.05,10500189,9802648,7.11,-
2017/05,2834479,2677500,3083356,5.86,-8.07,13334668,12886004,3.48,-
2017/06,2741151,2834479,3053091,-3.29,-10.21,16075819,15939095,0.85,-
2017/07,2916743,2741151,3220958,6.40,-9.44,18992562,19160053,-0.87,-
2017/08,2834265,2916743,2671079,-2.82,6.10,21826827,21831132,-0.01,-
2017/09,2619631,2834265,2653973,-7.57,-1.29,24446458,24485105,-0.15,-
2017/10,2283382,2619631,4424441,-12.83,-48.39,26729840,28909546,-7.53,-
2017/11,2354469,2283382,2557874,3.11,-7.95,29084309,31467420,-7.57,-
2017/12,2572586,2354469,4280737,9.26,-39.90,31656895,35748157,-11.44,-
2018/01,2910796,2572586,2522542,13.14,15.39,2910796,2522542,15.39,-
2018/02,1889746,2910796,2162310,-35.07,-12.60,4800542,4684852,2.46,-
2018/03,2915079,1889746,3137837,54.25,-7.09,7715621,7822689,-1.36,-
2018/04,2570684,2915079,2677500,-11.81,-3.98,10286305,10500189,-2.03,-
2018/05,2982409,2570684,2834479,16.01,5.21,13268714,13334668,-0.49,-
2018/06,2921639,2982409,2741151,-2.03,6.58,16190353,16075819,0.71,-
