興勤,	2428
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,419602,419139,361943,0.11,15.93,419602,361943,15.93,-
2015/02,284560,419602,284361,-32.18,0.06,704162,646304,8.95,-
2015/03,399362,284560,359219,40.34,11.17,1103524,1005523,9.74,-
2015/04,420508,399362,375604,5.29,11.95,1524032,1381127,10.34,-
2015/05,428066,420508,393608,1.79,8.75,1952098,1774735,9.99,-
2015/06,444437,428066,363480,3.82,22.27,2396536,2138215,12.08,-
2015/07,465791,444437,402383,4.80,15.75,2862327,2540598,12.66,-
2015/08,454696,465791,423472,-2.38,7.37,3317023,2964070,11.90,-
2015/09,473639,454696,405286,4.16,16.86,3790662,3369356,12.50,-
2015/10,434223,473639,372233,-8.32,16.65,4224885,3741589,12.91,-
2015/11,446469,434223,395942,2.82,12.76,4671354,4137531,12.90,-
2015/12,450743,446469,419139,0.95,7.54,5122098,4556670,12.40,-
2016/01,462369,450743,419602,2.57,10.19,462369,419602,10.19,-
2016/02,316350,462369,284560,-31.58,11.17,778719,704162,10.58,-
2016/03,383974,316350,399362,21.37,-3.85,1162693,1103524,5.36,-
2016/04,458525,383974,420508,19.41,9.04,1621219,1524032,6.37,-
2016/05,460123,458525,428066,0.34,7.48,2081342,1952098,6.62,-
2016/06,461147,460123,444437,0.22,3.75,2542488,2396536,6.09,-
2016/07,460816,461147,465791,-0.07,-1.06,3003304,2862327,4.92,-
2016/08,469624,460816,454696,1.91,3.28,3472928,3317023,4.70,-
2016/09,476850,469624,473639,1.53,0.67,3949778,3790662,4.19,-
2016/10,438696,476850,434223,-8.00,1.03,4388474,4224885,3.87,-
2016/11,507347,438696,446469,15.64,13.63,4895822,4671354,4.80,-
2016/12,516393,507347,450743,1.78,14.56,5412215,5122098,5.66,-
2017/01,449503,516393,462369,-12.95,-2.78,449503,462369,-2.78,-
2017/02,395357,449503,316350,-12.04,24.97,844860,778719,8.49,-
2017/03,491246,395357,383974,24.25,27.93,1336107,1162693,14.91,-
2017/04,501235,491246,458525,2.03,9.31,1837341,1621219,13.33,-
2017/05,482579,501235,460123,-3.72,4.88,2319920,2081342,11.46,-
2017/06,500810,482579,461147,3.77,8.60,2820730,2542488,10.94,-
2017/07,482569,500810,460816,-3.64,4.72,3303299,3003304,9.98,-
2017/08,487315,482569,469624,0.98,3.76,3790614,3472928,9.14,-
2017/09,527643,487315,476850,8.27,10.65,4318257,3949778,9.32,-
2017/10,476691,527643,438696,-9.65,8.66,4794948,4388474,9.26,-
2017/11,522103,476691,507347,9.52,2.90,5317051,4895822,8.60,-
2017/12,509288,522103,516393,-2.45,-1.37,5826339,5412215,7.65,-
2018/01,484298,509288,449503,-4.90,7.74,484298,449503,7.74,-
2018/02,400928,484298,395357,-17.21,1.40,885226,844860,4.77,-
2018/03,478846,400928,491246,19.43,-2.52,1364072,1336107,2.09,-
2018/04,506313,478846,501235,5.73,1.01,1870385,1837341,1.79,-
2018/05,529305,506313,482579,4.54,9.68,2399690,2319920,3.43,-
2018/06,516386,529305,500810,-2.44,3.11,2916076,2820730,3.38,-
2018/07,549886,516386,482569,6.48,13.94,3465962,3303299,4.92,-
2018/08,541210,549886,487315,-1.57,11.05,4007172,3790614,5.71,-
2018/09,528710,541210,527643,-2.30,0.20,4535882,4318257,5.03,-
2018/10,489969,528710,476691,-7.32,2.78,5025851,4794948,4.81,-
2018/11,493076,489969,522103,0.63,-5.55,5518927,5317051,3.79,-
2018/12,493862,493076,509288,0.15,-3.02,6012789,5826339,3.20,-
