麗臺,	2465
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,222896,196824,202191,13.24,10.24,222896,202191,10.24,-
2015/02,104000,222896,144351,-53.34,-27.95,326896,346542,-5.66,-
2015/03,214194,104000,192585,105.95,11.22,541090,539127,0.36,-
2015/04,221367,214194,193669,3.34,14.30,762457,732796,4.04,-
2015/05,151876,221367,132745,-31.39,14.41,914333,865541,5.63,-
2015/06,214934,151876,165341,41.51,29.99,1129267,1030882,9.54,-
2015/07,199183,214934,211733,-7.32,-5.92,1328450,1242615,6.90,-
2015/08,182000,199183,158744,-8.62,14.65,1510450,1401359,7.78,-
2015/09,199238,182000,171724,9.47,16.02,1709688,1573083,8.68,-
2015/10,257144,199238,190090,29.06,35.27,1966832,1763173,11.55,-
2015/11,230747,257144,169481,-10.26,36.14,2197579,1932654,13.70,-
2015/12,279323,230747,196824,21.05,41.91,2476902,2129478,16.31,-
2016/01,247491,279323,222896,-11.39,11.03,247491,222896,11.03,-
2016/02,148834,247491,104000,-39.86,43.10,396325,326896,21.23,-
2016/03,224696,148834,214194,50.97,4.90,621021,541090,14.77,-
2016/04,252216,224696,221367,12.24,13.93,873237,762457,14.52,-
2016/05,253648,252216,151876,0.56,67.00,1126885,914333,23.24,2016年5月除中國大陸高速運算之繪圖卡業績增加外，另新增澳洲及韓國客戶，故較去年同期增加67.01%。
2016/06,211054,253648,214934,-16.79,-1.80,1337939,1129267,18.47,-
2016/07,213779,211054,199183,1.29,7.32,1551718,1328450,16.80,-
2016/08,251527,213779,182000,17.65,38.20,1803245,1510450,19.38,-
2016/09,230116,251527,199238,-8.51,15.49,2033361,1709688,18.93,-
2016/10,243094,230116,257144,5.63,-5.46,2276455,1966832,15.74,-
2016/11,287216,243094,230747,18.15,24.47,2563671,2197579,16.65,-
2016/12,201687,287216,279323,-29.77,-27.79,2765358,2476902,11.64,-
2017/01,186566,201687,247491,-7.49,-24.61,186566,247491,-24.61,-
2017/02,231795,186566,148834,24.24,55.74,418361,396325,5.56,因105年2月正逢農曆春節連休9天所致
2017/03,233825,231795,224696,0.87,4.06,652186,621021,5.01,-
2017/04,184701,233825,252216,-21.00,-26.76,836887,873237,-4.16,-
2017/05,278776,184701,253648,50.93,9.90,1115663,1126885,-0.99,-
2017/06,251154,278776,211054,-9.90,18.99,1366817,1337939,2.15,-
2017/07,241201,251154,213779,-3.96,12.82,1608018,1551718,3.62,-
2017/08,280011,241201,251527,16.09,11.32,1888029,1803245,4.70,-
2017/09,264004,280011,230116,-5.71,14.72,2152033,2033361,5.83,-
2017/10,253404,264004,243094,-4.01,4.24,2405437,2276455,5.66,-
2017/11,258189,253404,287216,1.88,-10.10,2663626,2563671,3.89,-
2017/12,279726,258189,201687,8.34,38.69,2943352,2765358,6.43,-
2018/01,294675,279726,186566,5.34,57.94,294675,186566,57.94,因106年1月正逢農曆春節連休5天所致
2018/02,140535,294675,231795,-52.30,-39.37,435210,418361,4.02,-
2018/03,239140,140535,233825,70.16,2.27,674350,652186,3.39,-
2018/04,302013,239140,184701,26.29,63.51,976363,836887,16.66,大陸市場較預期樂觀
2018/05,291398,302013,278776,-3.51,4.52,1267761,1115663,13.63,-
2018/06,334657,291398,251154,14.84,33.24,1602418,1366817,17.23,-
2018/07,339975,334657,241201,1.58,40.95,1942393,1608018,20.79,-
2018/08,254938,339975,280011,-25.01,-8.95,2197331,1888029,16.38,-
2018/09,206381,254938,264004,-19.04,-21.82,2403712,2152033,11.69,-
2018/10,255541,206381,253404,23.82,0.84,2659253,2405437,10.55,-
2018/11,237033,255541,258189,-7.24,-8.19,2896286,2663626,8.73,-
2018/12,432875,237033,279726,82.62,54.74,3329161,2943352,13.10,主係上海麗台子公司 因市場需求成長比預期樂觀 。
2019/01,250378,432875,294675,-42.15,-15.03,250378,294675,-15.03,-
2019/02,298990,250378,140535,19.41,112.75,549368,435210,26.23,本月營收較去年同期成長112.75%，主係因在AI人工智慧趨勢帶動之下，中國大陸高速運算需求大增，帶動業績的成長。
