聯上發,	2537
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,66449,52857,54001,25.71,23.05,66449,54001,23.05,-
2015/02,65253,66449,276314,-1.79,-76.38,131702,330315,-60.12,-
2015/03,10534,65253,27112,-83.85,-61.14,142236,357427,-60.20,-
2015/04,136973,10534,73748,1200.29,85.73,279209,431175,-35.24,-
2015/05,32,136973,86230,-99.97,-99.96,279241,517405,-46.03,-
2015/06,83,32,31689,159.37,-99.73,279324,549094,-49.13,本月營收較去年同月營收減幅百分比達99.74％，係兩期個案營收組成因子不同，104年6月尚無其他完工個案銷售收入認列。
2015/07,32,83,120196,-61.44,-99.97,279356,669290,-58.26,本月營收較去年同月營收減幅百分比達99.97％，係兩期個案營收組成因子不同，104年7月尚無其他完工個案銷售收入認列。
2015/08,33,32,105517,3.12,-99.96,279389,774807,-63.94,本月營收較去年同月營收減幅百分比達99.97％，係兩期個案營收組成因子不同，104年8月尚無其他完工個案銷售收入認列。
2015/09,32,33,116306,-3.03,-99.97,279421,891113,-68.64,本月營收較去年同月營收減幅百分比達99.97％，係兩期個案營收組成因子不同，104年9月尚無其他完工個案銷售收入認列。
2015/10,32,32,57667,0.00,-99.94,279453,948780,-70.54,本月營收較去年同月營收減幅百分比達99.94％，係兩期個案營收組成因子不同，104年10月尚無其他完工個案銷售收入認列。
2015/11,33,32,82268,3.12,-99.95,279486,1031048,-72.89,本月營收較去年同月營收減幅百分比達99.96％，係兩期個案營收組成因子不同，104年11月尚無其他完工個案銷售收入認列。
2015/12,1886407,33,52857,5716284.84,3468.88,2165893,1083905,99.82,"本月營收較去年同月營收增幅百分比達3,468.89％，係本公司聯上世界案104年12月開始交屋認列營收所致。"
2016/01,299566,1886407,66449,-84.11,350.82,299566,66449,350.82,本月營收較去年同月營收增幅百分比達350.82％，係本公司聯上世界案104年12月開始交屋認列營收所致。
2016/02,167911,299566,65253,-43.94,157.32,467477,131702,254.95,本月營收較去年同月營收增幅百分比達157.32％，係本公司聯上世界案104年12月開始交屋，本公司持續認列營業收入所致。
2016/03,337483,167911,10534,100.98,3103.74,804960,142236,465.93,"本月營收較去年同月營收增幅百分比達3,103.75％，係本公司聯上世界案104年12月開始交屋，本公司持續認列營業收入所致。"
2016/04,144049,337483,136973,-57.31,5.16,949009,279209,239.89,本年累計營收較去年累計營收增幅百分比達239.89％，主要係聯上世界案持續交屋認列營業收入所致。
2016/05,59299,144049,32,-58.83,185209.37,1008308,279241,261.08,"本月營收較去年同月營收增幅百分比達185,209,38％，主要係聯上世界案持續交屋認列營業收入所致。"
2016/06,134580,59299,83,126.95,162044.57,1142888,279324,309.16,"本月營收較去年同月營收增幅百分比達162,044,58％，主要係聯上世界案持續交屋認列營業收入所致。"
2016/07,74577,134580,32,-44.58,232953.12,1217465,279356,335.81,"本月營收較去年同月營收增幅百分比達232,953,13％，主要係聯上世界案持續交屋認列營業收入所致。"
2016/08,66767,74577,33,-10.47,202224.24,1284232,279389,359.65,"本月營收較去年同月營收增幅百分比達202,224,24％，主要係聯上世界案持續交屋認列營業收入所致。"
2016/09,33,66767,32,-99.95,3.12,1284265,279421,359.61,本年累計營收較去年累計營收增幅百分比達359.62％，主要係聯上世界案前三季持續交屋認列營業收入所致。
2016/10,69657,33,32,210981.81,217578.12,1353922,279453,384.49,"本月營收較去年同月營收增幅百分比達217,578,13，主要係聯上世界案持續交屋認列營業收入所致。"
2016/11,10548,69657,33,-84.85,31863.63,1364470,279486,388.20,"本月營收較去年同月營收增幅百分比達31,863.64，主要係聯上世界案持續交屋認列營業收入所致。"
2016/12,55,10548,1886407,-99.47,-99.99,1364525,2165893,-36.99,本月較去年同月營收減幅百分比近100%，主要係本公司聯上世界案104年12月開始交屋認列營收，而本月未有房地出售收入供認列所致。
2017/01,24,55,299566,-56.36,-99.99,24,299566,-99.99,本月較去年同月營收減幅百分比99.99%，主要係本公司本月未有房地出售收入供認列所致。
2017/02,62,24,167911,158.33,-99.96,86,467477,-99.98,本月較去年同月營收減幅百分比99.96%，主要係本公司本月未有房地出售收入供認列所致。
2017/03,122,62,337483,96.77,-99.96,208,804960,-99.97,本月較去年同月營收減幅百分比99.96%，主要係本公司本月未有房地出售收入供認列所致。
2017/04,62,122,144049,-49.18,-99.95,270,949009,-99.97,本月較去年同月營收減幅百分比99.96%，主要係本公司本月未有房地出售收入供認列所致。
2017/05,32,62,59299,-48.38,-99.94,302,1008308,-99.97,本月較去年同月營收減幅百分比99.95%，主要係本公司本月未有房地出售收入供認列所致。
2017/06,180851,32,134580,565059.37,34.38,181153,1142888,-84.14,本月較去年同月營收增幅百分比34.38%，主要係本月認列大台北地區個案房地出售收入所致。
2017/07,36995,180851,74577,-79.54,-50.39,218148,1217465,-82.08,本月較去年同月營收減幅百分比50.39%，主要係因新完工交屋數較低所致。
2017/08,26521,36995,66767,-28.31,-60.27,244669,1284232,-80.94,本月較去年同月營收減幅百分比60.28%，主要係因新完工交屋數較低所致。
2017/09,66486,26521,33,150.69,201372.72,311155,1284265,-75.77,本月較去年同期營收大幅增加，主要係本月新完工交屋個案認列所致。
2017/10,869,66486,69657,-98.69,-98.75,312024,1353922,-76.95,本月較去年同月營收減幅百分比98.75%，主要係本公司本月未有房地出售收入供認列所致。
2017/11,30724,869,10548,3435.55,191.27,342748,1364470,-74.88,本月較去年同期營收增加，主要係本月新增成屋銷售收入所致。
2017/12,9405,30724,55,-69.38,17000.00,352153,1364525,-74.19,本月較去年同期營收增加，主要係本月新增成屋銷售收入所致。
2018/01,626,9405,24,-93.34,2508.33,626,24,2508.33,本月營收較去年同月營收增加，主要係增加房地出租收入。
2018/02,1154743,626,62,184363.73,1862388.70,1155369,86,1343352.32,"本月營收大幅增加，主要係認列桃園土地出售收入之故；本月營收及本年累計營收分別較同期增加1,862,388.71%及1,343,352.33%。"
2018/03,629,1154743,122,-99.94,415.57,1155998,208,555668.26,本月較去年同月營收增加，主要係增加房地出租收入；本年累計營收大幅增加，主要係2月認列桃園土地出售收入之故。
2018/04,27284,629,62,4237.67,43906.45,1183282,270,438152.59,本月及本年累計營收較去年同期大幅增加，主要係認列桃園房屋/土地出售收入之故。
2018/05,69835,27284,32,155.95,218134.37,1253117,302,414839.40,本月及本年累計營收較去年同期大幅增加，主要係認列桃園房屋/土地出售收入之故。
2018/06,20704,69835,180851,-70.35,-88.55,1273821,181153,603.17,本年累計營收較去年同期大幅增加，主要係認列桃園房屋/土地出售收入之故。
2018/07,88797,20704,36995,328.88,140.02,1362618,218148,524.63,本月及本年累計營收較去年同期大幅增加，主要係認列新北市/桃園市房屋銷售收入及處分桃園市土地之故。
2018/08,148826,88797,26521,67.60,461.16,1511444,244669,517.75,本月及本年累計營收較去年同期大幅增加，主要係認列新北市/桃園市房屋銷售收入及處分桃園市土地之故。
2018/09,103863,148826,66486,-30.21,56.21,1615307,311155,419.13,本月及本年累計營收較去年同期大幅增加，主要係認列新北市/桃園市房屋銷售收入及處分桃園市土地之故。
2018/10,99042,103863,869,-4.64,11297.23,1714349,312024,449.42,本月及本年累計營收較去年同期大幅增加，主要係認列新北市/桃園市房屋銷售收入及處分桃園市土地之故。
2018/11,71182,99042,30724,-28.12,131.68,1785531,342748,420.94,本月及本年累計營收較去年同期大幅增加，主要係認列新北市/桃園市房屋銷售收入及處分桃園市土地之故。
2018/12,114876,71182,9405,61.38,1121.43,1900407,352153,439.65,本月及本年累計營收較去年同期大幅增加，主要係認列新北市/桃園市房屋銷售收入及處分桃園市土地之故。
2019/01,61581,114876,626,-46.39,9737.22,61581,626,9737.22,"本月較去年同月營收增幅百分比9,737.22%，主要係本月認列新北市房地出售收入所致。"
2019/02,39178,61581,1154743,-36.37,-96.60,100759,1155369,-91.27,本月及本期累積營收較去年同期大幅減少，主要係去年2月認列桃園土地出售收入之故。
