櫻花建,	2539
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,42170,254454,68326,-83.42,-38.28,42170,68326,-38.28,無異常
2015/02,26274,42170,91279,-37.69,-71.21,68444,159605,-57.11,無異常
2015/03,32630,26274,131,24.19,24808.39,101074,159736,-36.72,無異常
2015/04,1402952,32630,912496,4199.57,53.74,1504025,1072232,40.27,無異常，本月有「櫻花家綻」、「櫻花新天地」、「櫻花樸心匯」建案陸續過戶中。
2015/05,370044,1402952,323912,-73.62,14.24,1874070,1396144,34.23,無異常，本月有「櫻花家綻」、「櫻花新天地」、「櫻花樸心匯」建案陸續過戶中。
2015/06,70989,370044,501623,-80.81,-85.84,1945059,1897768,2.49,無異常，本月有「櫻花家綻」、「櫻花新天地」、「櫻花樸心匯」建案陸續過戶中。
2015/07,12945,70989,247081,-81.76,-94.76,1958004,2144848,-8.71,無異常，已完工建案「櫻花家綻」及「櫻花樸心匯」交屋接近尾聲，故認列收入戶數及金額減少。
2015/08,30864,12945,570616,138.42,-94.59,1988868,2715464,-26.75,無異常，已完工建案「櫻花樸心匯」及「櫻花新天地」交屋接近尾聲，故認列收入戶數及金額較去年減少。
2015/09,20649,30864,309288,-33.09,-93.32,2009517,3024752,-33.56,無異常，已完工建案「櫻花新天地」交屋接近尾聲，故認列收入戶數及金額較去年減少。
2015/10,448,20649,112953,-97.83,-99.60,2009965,3137705,-35.94,本月營收較去年減少之原因，係本月無個案交屋認收入。
2015/11,3406,448,314223,660.26,-98.91,2013371,3451928,-41.67,本月營收較去年減少之原因，係本月無個案交屋認收入。
2015/12,1332763,3406,254454,39029.85,423.77,3346134,3706382,-9.71,無異常。本月有「櫻花晶綻」、「櫻花景綻」、「櫻花見森」建案陸續過戶中。
2016/01,421268,1332763,42170,-68.39,898.97,421268,42170,898.97,無異常。本月有「櫻花晶綻」、「櫻花景綻」、「櫻花見森」建案陸續過戶中。
2016/02,22834,421268,26274,-94.57,-13.09,444102,68444,548.85,無異常。本月有「櫻花晶綻」、「櫻花景綻」建案陸續過戶中。
2016/03,26980,22834,32630,18.15,-17.31,471083,101074,366.07,無異常。本月有「櫻花晶綻」、「櫻花見森」建案陸續過戶中。
2016/04,23853,26980,1402952,-11.59,-98.29,494936,1504025,-67.09,無異常。本月僅有部分餘屋交屋入帳，致本期營收較去年同期減少。
2016/05,42711,23853,370044,79.05,-88.45,537647,1874070,-71.31,無異常。本月僅有部分餘屋交屋入帳，致本期營收較去年同期減少。
2016/06,422,42711,70989,-99.01,-99.40,538068,1945059,-72.33,無異常。本月僅有租賃收入，無建案交屋入帳，致本期營收較去年同期減少。
2016/07,8473,422,12945,1907.81,-34.54,546542,1958004,-72.08,無異常。本月僅有部分餘屋交屋入帳，致本期營收較去年同期減少。
2016/08,425,8473,30864,-94.98,-98.62,546967,1988868,-72.49,無異常。本月僅有租賃收入，無建案交屋入帳，致本期營收較去年同期減少。
2016/09,17417,425,20649,3998.11,-15.65,564384,2009517,-71.91,無異常。本月僅有部分餘屋交屋入帳，致本期營收較去年同期減少。
2016/10,216,17417,448,-98.75,-51.78,564599,2009965,-71.91,無異常。本月僅有租賃收入，無建案交屋入帳，致本期營收較去年同期減少。
2016/11,1026315,216,3406,475045.83,30032.56,1590915,2013371,-20.98,無異常。本月有「櫻花世家」建案陸續過戶中。
2016/12,1752074,1026315,1332763,70.71,31.46,3342989,3346134,-0.09,無異常。本月有「櫻花世家」、「櫻花獨綻」建案陸續過戶中。
