欣欣,	2901
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,11084,11305,11661,-1.95,-4.94,11084,11661,-4.94,-
2015/02,11516,11084,10902,3.89,5.63,22600,22563,0.16,-
2015/03,10832,11516,10728,-5.93,0.96,33432,33291,0.42,-
2015/04,11719,10832,11585,8.18,1.15,45151,44876,0.61,-
2015/05,11633,11719,11277,-0.73,3.15,56784,56153,1.12,-
2015/06,11155,11633,11410,-4.10,-2.23,67939,67563,0.55,-
2015/07,12803,11155,11159,14.77,14.73,80742,78722,2.56,-
2015/08,11082,12803,11217,-13.44,-1.20,91824,89939,2.09,-
2015/09,29031,11082,24647,161.96,17.78,120855,114586,5.47,-
2015/10,13139,29031,13296,-54.74,-1.18,133994,127882,4.77,-
2015/11,11161,13139,11138,-15.05,0.20,145155,139020,4.41,-
2015/12,11021,11161,11305,-1.25,-2.51,156176,150325,3.89,-
2016/01,11327,11021,11084,2.77,2.19,11327,11084,2.19,-
2016/02,11846,11327,11516,4.58,2.86,23173,22600,2.53,-
2016/03,9339,11846,10832,-21.16,-13.78,32512,33432,-2.75,-
2016/04,10100,9339,11719,8.14,-13.81,42612,45151,-5.62,-
2016/05,11228,10100,11633,11.16,-3.48,53840,56784,-5.18,-
2016/06,11640,11228,11155,3.66,4.34,65480,67939,-3.61,-
2016/07,12700,11640,12803,9.10,-0.80,78180,80742,-3.17,-
2016/08,11080,12700,11082,-12.75,-0.01,89260,91824,-2.79,-
2016/09,25337,11080,29031,128.67,-12.72,114597,120855,-5.17,-
2016/10,12693,25337,13139,-49.90,-3.39,127290,133994,-5.00,-
2016/11,11326,12693,11161,-10.76,1.47,138616,145155,-4.50,-
2016/12,11812,11326,11021,4.29,7.17,150428,156176,-3.68,-
2017/01,11816,11812,11327,0.03,4.31,11816,11327,4.31,-
2017/02,11113,11816,11846,-5.94,-6.18,22929,23173,-1.05,-
2017/03,10547,11113,9339,-5.09,12.93,33476,32512,2.96,-
2017/04,11571,10547,10100,9.70,14.56,45047,42612,5.71,-
2017/05,11869,11571,11228,2.57,5.70,56916,53840,5.71,-
2017/06,11098,11869,11640,-6.49,-4.65,68014,65480,3.86,-
2017/07,11267,11098,12700,1.52,-11.28,79281,78180,1.40,-
2017/08,10873,11267,11080,-3.49,-1.86,90154,89260,1.00,-
2017/09,24893,10873,25337,128.94,-1.75,115047,114597,0.39,-
2017/10,11820,24893,12693,-52.51,-6.87,126867,127290,-0.33,-
2017/11,10610,11820,11326,-10.23,-6.32,137477,138616,-0.82,-
2017/12,11535,10610,11812,8.71,-2.34,149012,150428,-0.94,-
2018/01,11161,11535,11816,-3.24,-5.54,11161,11816,-5.54,-
2018/02,10936,11161,11113,-2.01,-1.59,22097,22929,-3.62,-
2018/03,10530,10936,10547,-3.71,-0.16,32627,33476,-2.53,-
2018/04,10750,10530,11571,2.08,-7.09,43377,45047,-3.70,-
