特力,	2908
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,3255143,3343707,3661717,-2.64,-11.10,3255143,3661717,-11.10,-
2015/02,3278393,3255143,2482431,0.71,32.06,6533536,6144148,6.33,-
2015/03,3122291,3278393,2908341,-4.76,7.35,9655827,9052489,6.66,-
2015/04,2807082,3122291,2697499,-10.09,4.06,12462909,11749989,6.06,-
2015/05,3051439,2807082,3041301,8.70,0.33,15514348,14791289,4.88,-
2015/06,3108997,3051439,3138322,1.88,-0.93,18623345,17929611,3.86,-
2015/07,2754728,3108997,2970673,-11.39,-7.26,21378072,20900285,2.28,-
2015/08,3242085,2754728,2921319,17.69,10.98,24620157,23821603,3.35,-
2015/09,2994164,3242085,3311379,-7.64,-9.57,27614321,27132983,1.77,-
2015/10,2606679,2994164,2780003,-12.94,-6.23,30221000,29912986,1.02,-
2015/11,2670789,2606679,2689548,2.45,-0.69,32891789,32602534,0.88,-
2015/12,3089661,2670789,3343707,15.68,-7.59,35981451,35946241,0.09,-
2016/01,3666990,3089661,3255143,18.68,12.65,3666990,3255143,12.65,-
2016/02,2944463,3666990,3278393,-19.70,-10.18,6611453,6533536,1.19,-
2016/03,3030183,2944463,3122291,2.91,-2.95,9641635,9655827,-0.14,-
2016/04,2828822,3030183,2807082,-6.64,0.77,12470457,12462909,0.06,-
2016/05,2915977,2828822,3051439,3.08,-4.43,15386434,15514348,-0.82,-
2016/06,3013105,2915977,3108997,3.33,-3.08,18399539,18623345,-1.20,-
2016/07,2703519,3013105,2754728,-10.27,-1.85,21103058,21378072,-1.28,-
2016/08,2978984,2703519,3242085,10.18,-8.11,24082042,24620157,-2.18,-
2016/09,2975356,2978984,2994164,-0.12,-0.62,27057398,27614321,-2.01,-
2016/10,2823058,2975356,2606679,-5.11,8.30,29880455,30221000,-1.12,-
2016/11,2546208,2823058,2670789,-9.80,-4.66,32426663,32891789,-1.41,-
2016/12,3016781,2546208,3089661,18.48,-2.35,35443444,35981451,-1.49,-
2017/01,3813595,3016781,3666990,26.41,3.99,3813595,3666990,3.99,-
2017/02,2730203,3813595,2944463,-28.40,-7.27,6543798,6611453,-1.02,-
2017/03,3173144,2730203,3030183,16.22,4.71,9716942,9641635,0.78,-
2017/04,2875571,3173144,2828822,-9.37,1.65,12592513,12470457,0.97,-
2017/05,3211080,2875571,2915977,11.66,10.12,15803593,15386434,2.71,-
2017/06,3191133,3211080,3013105,-0.62,5.90,18994726,18399539,3.23,-
2017/07,3092947,3191133,2703519,-3.07,14.40,22087674,21103058,4.66,-
2017/08,3202667,3092947,2978984,3.54,7.50,25290340,24082042,5.01,-
2017/09,2975512,3202667,2975356,-7.09,0.00,28265852,27057398,4.46,-
2017/10,2735013,2975512,2823058,-8.08,-3.11,31000865,29880455,3.74,-
2017/11,2973224,2735013,2546208,8.70,16.77,33974089,32426663,4.77,-
2017/12,2989122,2973224,3016781,0.53,-0.91,36963212,35443444,4.28,-
2018/01,3840316,2989122,3813595,28.47,0.70,3840316,3813595,0.70,-
2018/02,3289466,3840316,2730203,-14.34,20.48,7129782,6543798,8.95,-
2018/03,3218072,3289466,3173144,-2.17,1.41,10347854,9716942,6.49,-
2018/04,2955347,3218072,2875571,-8.16,2.77,13303201,12592513,5.64,-
