豐達科,	3004
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,108600,149343,84830,-27.28,28.02,108600,84830,28.02,-
2015/02,103588,108600,126409,-4.61,-18.05,212189,211239,0.44,-
2015/03,142847,103588,136922,37.89,4.32,355036,348161,1.97,-
2015/04,131510,142847,104549,-7.93,25.78,486546,452710,7.47,-
2015/05,112266,131510,98039,-14.63,14.51,598812,550749,8.72,-
2015/06,126720,112266,132058,12.87,-4.04,725532,682807,6.25,-
2015/07,140574,126720,100692,10.93,39.60,866106,783499,10.54,-
2015/08,109187,140574,101702,-22.32,7.35,975293,885201,10.17,-
2015/09,124159,109187,145425,13.71,-14.62,1099452,1030626,6.67,-
2015/10,142855,124159,109219,15.05,30.79,1242307,1139846,8.98,-
2015/11,146125,142855,87347,2.28,67.29,1388433,1227193,13.13,因航太產品需求增加，本月較去年同期增加67.29%。
2015/12,154164,146125,149343,5.50,3.22,1542597,1376536,12.06,-
2016/01,131372,154164,108600,-14.78,20.96,131372,108600,20.96,-
2016/02,118255,131372,103588,-9.98,14.15,249627,212189,17.64,-
2016/03,164144,118255,142847,38.80,14.90,413771,355036,16.54,-
2016/04,141603,164144,131510,-13.73,7.67,555375,486546,14.14,-
2016/05,131475,141603,112266,-7.15,17.11,686850,598812,14.70,-
2016/06,128197,131475,126720,-2.49,1.16,815047,725532,12.33,-
2016/07,123713,128197,140574,-3.49,-11.99,938760,866106,8.38,-
2016/08,143986,123713,109187,16.38,31.87,1082746,975293,11.01,-
2016/09,143897,143986,124159,-0.06,15.89,1226643,1099452,11.56,-
2016/10,136046,143897,142855,-5.45,-4.76,1362689,1242307,9.69,-
2016/11,133360,136046,146125,-1.97,-8.73,1496049,1388433,7.75,-
2016/12,141888,133360,154164,6.39,-7.96,1637938,1542597,6.18,-
2017/01,117853,141888,131372,-16.93,-10.29,117853,131372,-10.29,-
2017/02,119706,117853,118255,1.57,1.22,237558,249627,-4.83,-
2017/03,161312,119706,164144,34.75,-1.72,398870,413771,-3.60,-
2017/04,137193,161312,141603,-14.95,-3.11,536064,555375,-3.47,-
2017/05,125604,137193,131475,-8.44,-4.46,661668,686850,-3.66,-
2017/06,151606,125604,128197,20.70,18.26,813274,815047,-0.21,-
2017/07,144491,151606,123713,-4.69,16.79,957765,938760,2.02,-
2017/08,162230,144491,143986,12.27,12.67,1119995,1082746,3.44,-
2017/09,156443,162230,143897,-3.56,8.71,1276438,1226643,4.05,-
2017/10,144340,156443,136046,-7.73,6.09,1420778,1362689,4.26,-
2017/11,150502,144340,133360,4.26,12.85,1571281,1496049,5.02,-
2017/12,176767,150502,141888,17.45,24.58,1748048,1637938,6.72,-
2018/01,141536,176767,117853,-19.93,20.09,141536,117853,20.09,-
2018/02,152643,141536,119706,7.84,27.51,294178,237558,23.83,-
2018/03,195634,152643,161312,28.16,21.27,489813,398870,22.80,-
2018/04,175488,195634,137193,-10.29,27.91,665301,536064,24.10,-
2018/05,179745,175488,125604,2.42,43.10,845046,661668,27.71,-
2018/06,194447,179745,151606,8.17,28.25,1039493,813274,27.81,-
2018/07,177200,194447,144491,-8.86,22.63,1216693,957765,27.03,-
2018/08,202886,177200,162230,14.49,25.06,1419579,1119995,26.74,-
2018/09,199766,202886,156443,-1.53,27.69,1619345,1276438,26.86,-
2018/10,214601,199766,144340,7.42,48.67,1833945,1420778,29.08,-
2018/11,213841,214601,150502,-0.35,42.08,2047786,1571281,30.32,-
2018/12,231644,213841,176767,8.32,31.04,2279430,1748048,30.39,-
