嘉晶,	3016
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,70678,60611,50590,16.60,39.70,70678,50590,39.70,-
2015/02,56603,70678,62265,-19.91,-9.09,127281,112855,12.78,-
2015/03,64167,56603,84636,13.36,-24.18,191448,197491,-3.05,-
2015/04,72212,64167,76133,12.53,-5.15,263660,273624,-3.64,-
2015/05,67325,72212,88685,-6.76,-24.08,330985,362309,-8.64,-
2015/06,81995,67325,86029,21.78,-4.68,412980,448338,-7.88,-
2015/07,84097,81995,69787,2.56,20.50,497077,518125,-4.06,-
2015/08,72937,84097,67308,-13.27,8.36,570014,585433,-2.63,-
2015/09,82830,72937,87767,13.56,-5.62,652844,673200,-3.02,-
2015/10,48219,82830,82285,-41.78,-41.40,701063,755485,-7.20,-
2015/11,46739,48219,65432,-3.06,-28.56,747802,820917,-8.90,-
2015/12,31471,46739,60611,-32.66,-48.07,779273,881528,-11.59,-
2016/01,215712,31471,70678,585.43,205.20,215712,70678,205.20,本公司於105/1/11(合併基準日)與漢磊半導體晶圓(股)公司合併
2016/02,210035,215712,56603,-2.63,271.06,425747,127281,234.49,本公司與漢磊半導體晶圓(股)公司於2016年1月11日正式合併，合併之消滅公司漢磊半導體晶圓之銷售訂單注入，使得本公司營收成長。
2016/03,245573,210035,64167,16.92,282.70,671320,191448,250.65,本公司與漢磊半導體晶圓(股)公司於105年1月11日正式合併，合併之消滅公司漢磊半導體晶圓之銷售訂單注入，使得本公司營收成長。
2016/04,247529,245573,72212,0.79,242.78,918849,263660,248.49,本公司與漢磊半導體晶圓公司於105年1月11日合併，合併之消滅公司漢磊半導體晶圓公司之銷售訂單注入，使得本公司營收成長。
2016/05,251652,247529,67325,1.66,273.78,1170501,330985,253.64,本公司與漢磊半導體晶圓公司於105年1月11日合併，合併之消滅公司漢磊半導體晶圓公司之銷售訂單注入，使得本公司營收成長。
2016/06,245409,251652,81995,-2.48,199.29,1415911,412980,242.85,本公司與漢磊半導體晶圓公司於105年1月11日合併，合併之消滅公司漢磊半導體晶圓公司之銷售訂單注入，使得本公司營收成長。
2016/07,240059,245409,84097,-2.18,185.45,1655970,497077,233.14,本公司與漢磊半導體晶圓公司於105年1月11日合併，合併之消滅公司漢磊半導體晶圓公司之銷售訂單注入，使得本公司營收成長。
2016/08,235266,240059,72937,-1.99,222.56,1891236,570014,231.78,本公司與漢磊半導體晶圓公司於105年1月11日合併，合併之消滅公司漢磊半導體晶圓公司之銷售訂單注入，使得本公司營收成長。
