零壹,	3029
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,454841,749325,344352,-39.29,32.08,454841,344352,32.08,-
2015/02,277555,454841,404021,-38.97,-31.30,732396,748373,-2.13,-
2015/03,509304,277555,311172,83.49,63.67,1241700,1059544,17.19,-
2015/04,378544,509304,341324,-25.67,10.90,1620244,1400868,15.66,-
2015/05,422588,378544,361189,11.63,16.99,2042831,1762057,15.93,-
2015/06,485061,422588,349583,14.78,38.75,2527892,2111636,19.71,-
2015/07,492448,485061,411761,1.52,19.59,3020340,2523398,19.69,-
2015/08,416096,492448,374857,-15.50,11.00,3436436,2898255,18.56,-
2015/09,436931,416096,405449,5.00,7.76,3873367,3303704,17.24,-
2015/10,382353,436931,423759,-12.49,-9.77,4255720,3727463,14.17,-
2015/11,481672,382353,493509,25.97,-2.39,4737392,4220972,12.23,-
2015/12,665361,481672,749325,38.13,-11.20,5402752,4970297,8.70,-
2016/01,465109,665361,454841,-30.09,2.25,465109,454841,2.25,-
2016/02,292211,465109,277555,-37.17,5.28,757320,732396,3.40,-
2016/03,541094,292211,509304,85.17,6.24,1298414,1241700,4.56,-
2016/04,398127,541094,378544,-26.42,5.17,1696540,1620244,4.70,-
2016/05,457347,398127,422588,14.87,8.22,2153887,2042831,5.43,-
2016/06,540267,457347,485061,18.13,11.38,2694154,2527892,6.57,-
2016/07,555350,540267,492448,2.79,12.77,3249504,3020340,7.58,-
2016/08,613769,555350,416096,10.51,47.50,3863273,3436436,12.42,-
2016/09,453616,613769,436931,-26.09,3.81,4316889,3873367,11.45,-
2016/10,493319,453616,382353,8.75,29.02,4810207,4255720,13.02,-
2016/11,422614,493319,481672,-14.33,-12.26,5232822,4737392,10.45,-
2016/12,699537,422614,665361,65.52,5.13,5932359,5402752,9.80,-
2017/01,471301,699537,465109,-32.62,1.33,471301,465109,1.33,-
2017/02,437976,471301,292211,-7.07,49.88,909277,757320,20.06,-
2017/03,499203,437976,541094,13.97,-7.74,1408480,1298414,8.47,-
2017/04,370494,499203,398127,-25.78,-6.94,1778974,1696540,4.85,-
2017/05,407100,370494,457347,9.88,-10.98,2186074,2153887,1.49,-
2017/06,674511,407100,540267,65.68,24.84,2860585,2694154,6.17,-
2017/07,532663,674511,555350,-21.02,-4.08,3393248,3249504,4.42,-
2017/08,495735,532663,613769,-6.93,-19.23,3888983,3863273,0.66,-
2017/09,650718,495735,453616,31.26,43.45,4539700,4316889,5.16,-
2017/10,469717,650718,493319,-27.81,-4.78,5009418,4810207,4.14,-
2017/11,461760,469717,422614,-1.69,9.26,5471179,5232822,4.55,-
2017/12,496411,461760,699537,7.50,-29.03,5967589,5932359,0.59,-
2018/01,631703,496411,471301,27.25,34.03,631703,471301,34.03,-
2018/02,421295,631703,437976,-33.30,-3.80,1052998,909277,15.80,-
2018/03,453190,421295,499203,7.57,-9.21,1506189,1408480,6.93,-
2018/04,403071,453190,370494,-11.05,8.79,1909260,1778974,7.32,-
