茂訊,	3213
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,186811,177281,157552,5.37,18.57,186811,157552,18.57,"本月外銷營業淨額為90,192仟元"
2015/02,145128,186811,161514,-22.31,-10.14,331939,319066,4.03,"本月外銷營業淨額為41,629仟元"
2015/03,165964,145128,164861,14.35,0.66,497903,483927,2.88,"本月外銷營業淨額為57,744仟元"
2015/04,156221,165964,139731,-5.87,11.80,654124,623658,4.88,"本月外銷營業淨收入61,347仟元"
2015/05,140926,156221,126411,-9.79,11.48,795050,750069,5.99,"本月外銷營業淨收入44,387仟元"
2015/06,121938,140926,170588,-13.47,-28.51,916988,920657,-0.39,"本月外銷營業淨收入33,399仟元"
2015/07,200257,121938,161709,64.22,23.83,1117245,1082366,3.22,"本月外銷營業淨收入64,562仟元"
2015/08,249470,200257,268923,24.57,-7.23,1366715,1351289,1.14,"本月外銷營業淨收入60,555仟元"
2015/09,217842,249470,248955,-12.67,-12.49,1584557,1600244,-0.98,"本月外銷營業淨收入42,799仟元"
2015/10,207610,217842,207276,-4.69,0.16,1792167,1807520,-0.84,"本月外銷營業淨收入113,466仟元"
2015/11,146060,207610,157264,-29.64,-7.12,1938227,1964784,-1.35,"本月外銷營業淨收入60,634仟元"
2015/12,132869,146060,177281,-9.03,-25.05,2071096,2142065,-3.31,"本月外銷營業淨收入23,169仟元"
2016/01,126396,132869,186811,-4.87,-32.34,126396,186811,-32.34,"本月外銷營業淨收入37,581仟元"
2016/02,148489,126396,145128,17.47,2.31,274885,331939,-17.18,"本月外銷營業淨收入32,607仟元"
2016/03,120144,148489,165964,-19.08,-27.60,395029,497903,-20.66,"本月外銷營業淨收入16,496仟元"
2016/04,148859,120144,156221,23.90,-4.71,543888,654124,-16.85,"本月外銷營業淨收入47,389仟元"
2016/05,120218,148859,140926,-19.24,-14.69,664106,795050,-16.46,"本月外銷營業淨收入19,982仟元"
2016/06,151043,120218,121938,25.64,23.86,815150,916988,-11.10,"本月外銷營業淨收入47,375仟元"
2016/07,213859,151043,200257,41.58,6.79,1029009,1117245,-7.89,"本月外銷營業淨收入63,532仟元"
2016/08,247598,213859,249470,15.77,-0.75,1276607,1366715,-6.59,"本月外銷營業淨收入56,034仟元"
2016/09,249788,247598,217842,0.88,14.66,1526395,1584557,-3.67,"本月外銷營業淨收入73,847仟元"
2016/10,214317,249788,207610,-14.20,3.23,1740712,1792167,-2.87,"本月外銷營業淨收入97,777仟元"
2016/11,165660,214317,146060,-22.70,13.41,1906372,1938227,-1.64,"本月外銷營業淨收入77,569仟元"
2016/12,246248,165660,132869,48.64,85.33,2152620,2071096,3.93,"本月外銷營業淨收入129,364仟元"
2017/01,174559,246248,126396,-29.11,38.10,174559,126396,38.10,"本月外銷營業淨收入62,179仟元"
2017/02,213441,174559,148489,22.27,43.74,388000,274885,41.14,"本月外銷營業淨收入77,615仟元"
2017/03,168807,213441,120144,-20.91,40.50,556807,395029,40.95,"本月外銷營業淨收入51,858仟元"
2017/04,170995,168807,148859,1.29,14.87,727802,543888,33.81,"本月外銷營業淨收入52,813仟元"
2017/05,182820,170995,120218,6.91,52.07,910622,664106,37.11,"本月外銷營業淨收入62,092仟元"
2017/06,202292,182820,151043,10.65,33.93,1112914,815150,36.52,"本月外銷營業淨收入86,731仟元"
2017/07,222631,202292,213859,10.05,4.10,1335545,1029009,29.78,"本月外銷營業淨收入73,943仟元"
2017/08,265273,222631,247598,19.15,7.13,1600818,1276607,25.39,"本月外銷營業淨收入55,026仟元"
2017/09,283394,265273,249788,6.83,13.45,1884212,1526395,23.44,"本月外銷營業淨收入71,348仟元"
2017/10,190139,283394,214317,-32.90,-11.28,2074351,1740712,19.16,"本月外銷營業淨收入56,360仟元"
2017/11,245597,190139,165660,29.16,48.25,2319948,1906372,21.69,"本月外銷營業淨收入125,352仟元"
2017/12,228407,245597,246248,-6.99,-7.24,2548355,2152620,18.38,"本月外銷營業淨收入83,298仟元"
2018/01,155307,228407,174559,-32.00,-11.02,155307,174559,-11.02,"本月外銷營業淨收入24,806仟元"
2018/02,149313,155307,213441,-3.85,-30.04,304620,388000,-21.48,"本月外銷營業淨收入9,657仟元"
2018/03,190901,149313,168807,27.85,13.08,495521,556807,-11.00,"本月外銷營業淨收入32,300仟元"
2018/04,160214,190901,170995,-16.07,-6.30,655735,727802,-9.90,"本月外銷營業淨收入19,264仟元"
2018/05,181694,160214,182820,13.40,-0.61,837429,910622,-8.03,"本月外銷營業淨收入33,804仟元"
2018/06,217631,181694,202292,19.77,7.58,1055060,1112914,-5.19,"本月外銷營業淨收入74,483仟元"
2018/07,267339,217631,222631,22.84,20.08,1322399,1335545,-0.98,"本月外銷營業淨收入94,022仟元"
