威剛,	3260
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,2006109,2374408,2775049,-15.51,-27.70,2006109,2775049,-27.70,-
2015/02,1373477,2006109,2076947,-31.53,-33.87,3379586,4851995,-30.34,-
2015/03,2072484,1373477,2380965,50.89,-12.95,5452070,7232960,-24.62,-
2015/04,1715400,2072484,2513447,-17.22,-31.75,7167471,9746407,-26.46,-
2015/05,1454436,1715400,2412496,-15.21,-39.71,8621907,12158904,-29.08,-
2015/06,1496313,1454436,2647245,2.87,-43.47,10118221,14806149,-31.66,-
2015/07,1554027,1496313,2666953,3.85,-41.73,11672248,17473102,-33.19,-
2015/08,1661338,1554027,2326065,6.90,-28.57,13333586,19799167,-32.65,-
2015/09,1642522,1661338,2447773,-1.13,-32.89,14976108,22246940,-32.68,-
2015/10,1672344,1642522,2273445,1.81,-26.44,16648452,24520385,-32.10,-
2015/11,1714549,1672344,2200341,2.52,-22.07,18363001,26720726,-31.27,-
2015/12,1829142,1714549,2374408,6.68,-22.96,20192143,29095135,-30.59,-
2016/01,1824713,1829142,2006109,-0.24,-9.04,1824713,2006109,-9.04,-
2016/02,1337023,1824713,1373477,-26.72,-2.65,3161736,3379586,-6.44,-
2016/03,1719953,1337023,2072484,28.64,-17.01,4881689,5452070,-10.46,-
2016/04,1641817,1719953,1715400,-4.54,-4.28,6523506,7167471,-8.98,-
2016/05,1533548,1641817,1454436,-6.59,5.43,8057054,8621907,-6.55,-
2016/06,1880533,1533548,1496313,22.62,25.67,9937587,10118221,-1.78,-
2016/07,1804411,1880533,1554027,-4.04,16.11,11741998,11672248,0.59,-
2016/08,1879872,1804411,1661338,4.18,13.15,13621870,13333586,2.16,-
2016/09,2176641,1879872,1642522,15.78,32.51,15798511,14976108,5.49,-
2016/10,2588323,2176641,1672344,18.91,54.77,18386834,16648452,10.44,受惠於DRAM及NAND Flash價格走揚，客戶需求大量回籠，配合供貨商支持，推升10月合併營收創近27個月新高。
2016/11,2564920,2588323,1714549,-0.90,49.59,20951754,18363001,14.09,-
2016/12,2265123,2564920,1829142,-11.68,23.83,23216877,20192143,14.97,-
2017/01,2508058,2265123,1824713,10.72,37.44,2508058,1824713,37.44,-
2017/02,2701151,2508058,1337023,7.69,102.02,5209209,3161736,64.75,受惠於DRAM及NAND Flash價格走揚，客戶需求大量回籠，配合供貨商支持，推升2月合併營收創近3年新高。
2017/03,2794248,2701151,1719953,3.44,62.46,8003457,4881689,63.94,受惠於DRAM及NAND Flash價格走揚，客戶需求大量回籠，配合供貨商支持，推升3月合併營收創40個月新高。
2017/04,2533029,2794248,1641817,-9.34,54.28,10536486,6523506,61.51,DRAM及NAND Flash合約價在第二季仍呈穩步向上的態勢。
2017/05,2546374,2533029,1533548,0.52,66.04,13082860,8057054,62.37,DRAM及NAND Flash價格較去年同期大幅成長。
2017/06,2754348,2546374,1880533,8.16,46.46,15837208,9937587,59.36,DRAM及NAND Flash需求成長
2017/07,2624333,2754348,1804411,-4.72,45.43,18461541,11741998,57.22,DRAM及NAND Flash價格較去年同期大幅上揚
2017/08,2609255,2624333,1879872,-0.57,38.79,21070796,13621870,54.68,DRAM及NAND Flash價格較去年同期大幅上揚
2017/09,2926134,2609255,2176641,12.14,34.43,23996930,15798511,51.89,DRAM及NAND Flash價格較去年同期大幅上揚
2017/10,2733366,2926134,2588323,-6.58,5.60,26730296,18386834,45.37,-
2017/11,2943164,2733366,2564920,7.67,14.74,29673460,20951754,41.62,-
2017/12,2551619,2943164,2265123,-13.30,12.64,32225079,23216877,38.80,-
2018/01,2641143,2551619,2508058,3.50,5.30,2641143,2508058,5.30,-
2018/02,2060728,2641143,2701151,-21.97,-23.70,4701871,5209209,-9.73,-
2018/03,3253442,2060728,2794248,57.87,16.43,7955313,8003457,-0.60,-
2018/04,2460872,3253442,2533029,-24.36,-2.84,10416185,10536486,-1.14,-
2018/05,2962616,2460872,2546374,20.38,16.34,13378801,13082860,2.26,-
2018/06,2513848,2962616,2754348,-15.14,-8.73,15892649,15837208,0.35,-
2018/07,2727747,2513848,2624333,8.50,3.94,18620396,18461541,0.86,-
2018/08,3381134,2727747,2609255,23.95,29.58,22001530,21070796,4.41,-
2018/09,2636980,3381134,2926134,-22.00,-9.88,24638510,23996930,2.67,-
2018/10,2395705,2636980,2733366,-9.14,-12.35,27034215,26730296,1.13,-
2018/11,2329455,2395705,2943164,-2.76,-20.85,29363670,29673460,-1.04,-
2018/12,2084213,2329455,2551619,-10.52,-18.31,31447883,32225079,-2.41,-
2019/01,2093967,2084213,2641143,0.46,-20.71,2093967,2641143,-20.71,-
