鈊象,	3293
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,112468,109854,109877,2.37,2.35,112468,109877,2.35,-
2015/02,100955,112468,114332,-10.23,-11.70,213423,224209,-4.81,-
2015/03,154443,100955,132505,52.98,16.55,367866,356714,3.12,-
2015/04,162270,154443,143121,5.06,13.37,530136,499835,6.06,-
2015/05,155085,162270,142539,-4.42,8.80,685221,642374,6.67,-
2015/06,160471,155085,135317,3.47,18.58,845692,777691,8.74,-
2015/07,162568,160471,144076,1.30,12.83,1008260,921767,9.38,-
2015/08,163625,162568,147541,0.65,10.90,1171885,1069308,9.59,-
2015/09,176535,163625,177542,7.88,-0.56,1348420,1246850,8.14,-
2015/10,168277,176535,140457,-4.67,19.80,1516697,1387307,9.32,-
2015/11,190783,168277,149110,13.37,27.94,1707480,1536417,11.13,-
2015/12,209820,190783,109854,9.97,90.99,1917300,1646271,16.46,本月增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/01,271153,209820,112468,29.23,141.09,271153,112468,141.09,本月增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/02,254589,271153,100955,-6.10,152.18,525742,213423,146.33,本月增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/03,285997,254589,154443,12.33,85.17,811739,367866,120.66,本月及本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/04,329943,285997,162270,15.36,103.32,1141682,530136,115.35,本月及本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/05,298474,329943,155085,-9.53,92.45,1440156,685221,110.17,本月及本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/06,271475,298474,160471,-9.04,69.17,1711631,845692,102.39,本月及本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/07,300047,271475,162568,10.52,84.56,2011678,1008260,99.51,本月及本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/08,250102,300047,163625,-16.64,52.85,2261780,1171885,93.00,本月及本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/09,248529,250102,176535,-0.62,40.78,2510309,1348420,86.16,本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
2016/10,254235,248529,168277,2.29,51.08,2764544,1516697,82.27,本月及本年度增減百分比達50%以上，主要係商用遊戲機台及行動網路遊戲營收較去年同期大幅成長所致。
