昇達科,	3491
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,94629,100999,87390,-6.30,8.28,94629,87390,8.28,-
2015/02,83747,94629,82409,-11.49,1.62,178376,169799,5.05,-
2015/03,122697,83747,116719,46.50,5.12,301073,286518,5.07,-
2015/04,122348,122697,109695,-0.28,11.53,423421,396213,6.86,-
2015/05,119039,122348,111783,-2.70,6.49,542460,507996,6.78,-
2015/06,127102,119039,109481,6.77,16.09,669562,617477,8.43,-
2015/07,123976,127102,103487,-2.45,19.79,793538,720964,10.06,-
2015/08,122716,123976,93380,-1.01,31.41,916254,814344,12.51,-
2015/09,137447,122716,123356,12.00,11.42,1053701,937700,12.37,-
2015/10,130086,137447,111089,-5.35,17.10,1183787,1048789,12.87,-
2015/11,120076,130086,104870,-7.69,14.49,1303863,1153659,13.01,-
2015/12,114746,120076,101920,-4.43,12.58,1418609,1255579,12.98,-
2016/01,130232,114746,94629,13.49,37.62,130232,94629,37.62,-
2016/02,92506,130232,83747,-28.96,10.45,222738,178376,24.86,-
2016/03,129836,92506,123241,40.35,5.35,352574,301617,16.89,-
2016/04,126245,129836,122348,-2.76,3.18,478819,423965,12.93,-
2016/05,128763,126245,119039,1.99,8.16,607582,543004,11.89,-
2016/06,130487,128763,127613,1.33,2.25,738069,670617,10.05,-
2016/07,133264,130487,122921,2.12,8.41,871333,793538,9.80,-
2016/08,122375,133264,122716,-8.17,-0.27,993708,916254,8.45,-
2016/09,113613,122375,138939,-7.15,-18.22,1107321,1055193,4.94,-
2016/10,125754,113613,130086,10.68,-3.33,1233075,1185279,4.03,-
2016/11,137294,125754,120076,9.17,14.33,1370369,1305355,4.98,-
2016/12,145538,137294,117218,6.00,24.16,1515907,1422573,6.56,-
2017/01,127323,145538,130232,-12.51,-2.23,127323,130232,-2.23,-
2017/02,119155,127323,92506,-6.41,28.80,246478,222738,10.65,-
2017/03,150079,119155,129663,25.95,15.74,396557,352401,12.53,-
2017/04,128640,150079,126418,-14.28,1.75,525197,478819,9.68,-
2017/05,142276,128640,128763,10.60,10.49,667473,607582,9.85,-
2017/06,157677,142276,130470,10.82,20.85,825150,738052,11.80,-
2017/07,116610,157677,133264,-26.04,-12.49,941760,871333,8.08,-
2017/08,112965,116610,122375,-3.12,-7.68,1054725,993708,6.14,-
2017/09,113588,112965,113261,0.55,0.28,1168313,1106969,5.54,-
2017/10,94314,113588,125754,-16.96,-25.00,1263740,1233075,2.48,-
2017/11,107299,94314,137294,13.76,-21.84,1371039,1370369,0.04,-
2017/12,112146,107299,145983,4.51,-23.17,1483185,1516352,-2.18,-
2018/01,154818,112146,127323,38.05,21.59,154818,127323,21.59,-
2018/02,115839,154818,119155,-25.17,-2.78,270657,246478,9.80,-
2018/03,143820,115839,150184,24.15,-4.23,414477,396662,4.49,-
2018/04,148596,143820,128640,3.32,15.51,564645,525197,7.51,-
2018/05,159415,148596,142276,7.28,12.04,724060,667473,8.47,-
2018/06,166662,159415,158004,4.54,5.47,890722,825477,7.90,-
2018/07,150422,166662,116610,-9.74,28.99,1041144,942087,10.51,-
2018/08,151236,150422,112965,0.54,33.87,1192380,1055052,13.01,-
2018/09,140010,151236,114374,-7.42,22.41,1332390,1169426,13.93,-
2018/10,149213,140010,94314,6.57,58.20,1481603,1263740,17.23,因昇達及各關係企業出貨均較去年同期增加所致。
2018/11,141956,149213,107299,-4.86,32.29,1623559,1371039,18.41,-
2018/12,132887,141956,111475,-6.38,19.20,1756446,1482514,18.47,-
2019/01,161902,132887,154818,21.83,4.57,161902,154818,4.57,-
2019/02,102028,161902,115839,-36.98,-11.92,263930,270657,-2.48,-
