華擎,	3515
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,697081,574463,1009573,21.34,-30.95,697081,1009573,-30.95,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加"
2015/02,504600,697081,725264,-27.61,-30.42,1201456,1735787,-30.78,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/03,636294,504600,917617,26.09,-30.65,1837602,2654038,-30.76,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/04,526779,636294,757601,-17.21,-30.46,2363801,3422721,-30.93,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/05,465324,526779,632794,-11.66,-26.46,2827585,4055294,-30.27,"本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/06,511252,465324,607122,9.87,-15.79,3338479,4661409,-28.38,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/07,548066,511252,720197,7.20,-23.90,3886554,5380975,-27.77,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/08,617409,548066,741116,12.65,-16.69,4503471,6121871,-26.43,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/09,706272,617409,861132,14.39,-17.98,5206711,6982959,-25.43,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/10,787773,706272,744687,11.53,5.78,5992299,7727467,-22.45,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/11,683020,787773,656711,-13.29,4.00,6673811,8383801,-20.39,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2015/12,589324,683020,574463,-13.71,2.58,7262359,8958848,-18.93,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/01,709944,589324,697081,20.46,1.84,709944,697081,1.84,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/02,513346,709944,504600,-27.69,1.73,1223509,1201456,1.83,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/03,619103,513346,636294,20.60,-2.70,1836533,1837602,-0.05,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/04,550419,619103,526779,-11.09,4.48,2386043,2363801,0.94,"“本年累計營收”採年平均匯率計算,“月營收”採該月平均匯率計算,故累計營收與各月營收加總會有差異。"
2016/05,512108,550419,465324,-6.96,10.05,2897831,2827585,2.48,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/06,559366,512108,511252,9.22,9.41,3457325,3338479,3.55,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/07,579473,559366,548066,3.59,5.73,4035439,3886554,3.83,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/08,548417,579473,617409,-5.35,-11.17,4583444,4503471,1.77,"“本年累計營收”採年平均匯率計算,“月營收”採該月平均匯率計算,故累計營收與各月營收加總會有差異。"
2016/09,622272,548417,706272,13.46,-11.89,5206536,5206711,-0.00,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2016/10,636473,622272,787773,2.28,-19.20,5844339,5992299,-2.46,"“本年累計營收”採年平均匯率計算,“月營收”採該月平均匯率計算,故累計營收與各月營收加總會有差異。"
2016/11,665066,636473,683020,4.49,-2.62,6509809,6673811,-2.45,"“本年累計營收”採年平均匯率計算,“月營收”採該月平均匯率計算,故累計營收與各月營收加總會有差異。"
2016/12,612908,665066,589324,-7.84,4.00,7122491,7262359,-1.92,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2017/01,677211,612908,709944,10.49,-4.61,677211,709944,-4.61,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2017/02,583609,677211,513346,-13.82,13.68,1260983,1223509,3.06,"“本年累計營收”採年平均匯率計算,“月營收”採該月平均匯率計算,故累計營收與各月營收加總會有差異。"
2017/03,707589,583609,619103,21.24,14.29,1968946,1836533,7.20,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2017/04,656920,707589,550419,-7.16,19.34,2615032,2386043,9.59,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2017/05,797271,656920,512108,21.36,55.68,3413156,2897831,17.78,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
2017/06,919515,797271,559366,15.33,64.38,4335662,3457325,25.40,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
