其陽,	3564
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,95800,166123,48057,-42.33,99.34,95800,48057,99.34,-
2015/02,76954,95800,65481,-19.67,17.52,172753,113538,52.15,-
2015/03,111427,76954,69100,44.79,61.25,284181,182638,55.59,-
2015/04,121325,111427,73323,8.88,65.46,405506,255961,58.42,-
2015/05,149020,121325,66507,22.82,124.06,554526,322468,71.96,-
2015/06,122171,149020,92866,-18.01,31.55,676696,415334,62.92,截至6月底累計營收增加50%以上主要原因為1.產業成長2.舊客戶的新訂單3.新客戶的訂單
2015/07,111631,122171,69819,-8.62,59.88,788327,485153,62.49,截至7月底止營收增加50%以上主要原因為1.產業成長2.舊客戶的新訂單3.新客戶的訂單
2015/08,101681,111631,79799,-8.91,27.42,890008,564952,57.53,截至8月底止營收增加50%以上主要原因為1.產業成長2.舊客戶的新訂單3.新客戶的訂單
2015/09,111085,101681,95943,9.24,15.78,1001093,660895,51.47,截至9月底止營收增加50%以上主要原因為1.產業成長2.舊客戶的新訂單3.新客戶的訂單
2015/10,109915,111085,72201,-1.05,52.23,1111008,733095,51.55,截至10月底止營收增加50%以上主要原因為1.產業成長2.舊客戶的新訂單3.新客戶的訂單
2015/11,106384,109915,113301,-3.21,-6.10,1217392,846396,43.83,-
2015/12,118654,106384,166123,11.53,-28.57,1336046,1012519,31.95,-
2016/01,115354,118654,95800,-2.78,20.41,115354,95800,20.41,-
2016/02,66910,115354,76954,-41.99,-13.05,182264,172753,5.50,-
2016/03,110828,66910,111427,65.63,-0.53,293093,284181,3.13,-
2016/04,100262,110828,121325,-9.53,-17.36,393355,405506,-2.99,-
2016/05,100864,100262,149020,0.60,-32.31,494218,554526,-10.87,-
2016/06,130412,100864,122171,29.29,6.74,624631,676696,-7.69,-
2016/07,108098,130412,111631,-17.11,-3.16,732728,788327,-7.05,-
2016/08,117900,108098,101681,9.06,15.95,850628,890008,-4.42,-
2016/09,112140,117900,111085,-4.88,0.94,962768,1001093,-3.82,-
2016/10,104641,112140,109915,-6.68,-4.79,1067408,1111008,-3.92,-
2016/11,110657,104641,106384,5.74,4.01,1178066,1217392,-3.23,-
2016/12,111586,110657,118654,0.83,-5.95,1289652,1336046,-3.47,-
2017/01,71714,111586,115354,-35.73,-37.83,71714,115354,-37.83,-
2017/02,62910,71714,66910,-12.27,-5.97,134625,182264,-26.13,-
2017/03,80735,62910,110828,28.33,-27.15,215360,293093,-26.52,-
2017/04,73500,80735,100262,-8.96,-26.69,288860,393355,-26.56,-
2017/05,70092,73500,100864,-4.63,-30.50,358952,494218,-27.36,-
2017/06,70628,70092,130412,0.76,-45.84,429580,624631,-31.22,-
2017/07,68936,70628,108098,-2.39,-36.22,498516,732728,-31.96,-
2017/08,92993,68936,117900,34.89,-21.12,591509,850628,-30.46,-
2017/09,76813,92993,112140,-17.39,-31.50,668322,962768,-30.58,-
2017/10,107922,76813,104641,40.49,3.13,776244,1067408,-27.27,-
2017/11,95305,107922,110657,-11.69,-13.87,871549,1178066,-26.01,-
2017/12,129190,95305,111586,35.55,15.77,1000739,1289652,-22.40,-
2018/01,82036,129190,71714,-36.49,14.39,82036,71714,14.39,-
2018/02,51681,82036,62910,-37.00,-17.84,133716,134625,-0.67,-
2018/03,81795,51681,80735,58.26,1.31,215511,215360,0.07,-
2018/04,75131,81795,73500,-8.14,2.21,290642,288860,0.61,-
2018/05,53345,75131,70092,-28.99,-23.89,343987,358952,-4.16,-
2018/06,71473,53345,70628,33.98,1.19,415459,429580,-3.28,-
2018/07,85275,71473,68936,19.31,23.70,500734,498516,0.44,-
2018/08,113957,85275,92993,33.63,22.54,614692,591509,3.91,-
2018/09,121824,113957,76813,6.90,58.59,736516,668322,10.20,中國大陸客戶下單增加
2018/10,113781,121824,107922,-6.60,5.42,850297,776244,9.53,-
2018/11,119317,113781,95305,4.86,25.19,969614,871549,11.25,-
2018/12,169995,119317,129190,42.47,31.58,1139609,1000739,13.87,-
2019/01,115973,169995,82036,-31.77,41.36,115973,82036,41.36,-
2019/02,58674,115973,51681,-49.40,13.53,174647,133716,30.61,-
2019/03,97084,58674,81795,65.46,18.69,271731,215511,26.08,-
2019/04,86691,97084,75131,-10.70,15.38,358422,290642,23.32,-
2019/05,101340,86691,53345,16.89,89.97,459762,343987,33.65,因新客戶的訂單及舊客戶新產品訂單陸續量產出貨所致。
2019/06,141814,101340,71473,39.93,98.41,601576,415459,44.79,係因新客戶下單積極，對營收產生貢獻所致。
2019/07,117087,141814,85275,-17.43,37.30,718663,500734,43.52,-
