新日光,	3576
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,1507570,2877090,2423782,-47.60,-37.80,1507570,2423782,-37.80,-
2015/02,1466746,1507570,2334811,-2.70,-37.17,2974316,4758593,-37.49,-
2015/03,1656042,1466746,2518488,12.90,-34.24,4630358,7277299,-36.37,-
2015/04,1557037,1656042,2555204,-5.97,-39.06,6187395,9832285,-37.07,-
2015/05,1623642,1557037,2623550,4.27,-38.11,7811037,12455835,-37.29,-
2015/06,1806792,1623642,2208397,11.28,-18.18,9617829,14664204,-34.41,-
2015/07,1713490,1806792,2052062,-5.16,-16.49,11331319,16716266,-32.21,-
2015/08,1979243,1713490,1870801,15.50,5.79,13310562,18587067,-28.38,-
2015/09,1893044,1979243,1963519,-4.35,-3.58,15203606,20550718,-26.01,-
2015/10,2409674,1893044,2057034,27.29,17.14,17613280,22607620,-22.09,-
2015/11,1961996,2409674,2095956,-18.57,-6.39,19575276,24703576,-20.75,-
2015/12,2639803,1961996,2877090,34.54,-8.24,22215079,27580249,-19.45,-
2016/01,2092980,2639803,1507570,-20.71,38.83,2092980,1507570,38.83,-
2016/02,1735096,2092980,1466746,-17.09,18.29,3828076,2974316,28.70,-
2016/03,2077691,1735096,1656042,19.74,25.46,5905767,4630335,27.54,-
2016/04,1546770,2077691,1557037,-25.55,-0.65,7452537,6187395,20.44,-
2016/05,1700503,1546770,1623642,9.93,4.73,9153040,7811037,17.18,-
2016/06,1256553,1700503,1806792,-26.10,-30.45,10409593,9617797,8.23,-
2016/07,1308059,1256553,1713490,4.09,-23.66,11717652,11331319,3.40,-
2016/08,632496,1308059,1979243,-51.64,-68.04,12350148,13310562,-7.21,因市場平均銷售價格仍未明顯回升，以及部分客戶訂單採DAP交貨模式，貨物須運抵目的地才能認列營收，以致影響本月營收表現
2016/09,1038385,632496,1893044,64.17,-45.14,13388533,15203619,-11.93,-
2016/10,1123179,1038385,2409674,8.16,-53.38,14511712,17613280,-17.60,本月較去年同期出貨量及平均銷售單價(ASP)減少且去年同期有一次性出售電廠之收入
2016/11,898232,1123179,1961996,-20.02,-54.21,15409944,19575276,-21.27,本月較去年同期出貨量及平均銷售單價(ASP)減少
2016/12,1166037,898232,2639803,29.81,-55.82,16575981,22215079,-25.38,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/01,765944,1166037,2092980,-34.31,-63.40,765944,2092980,-63.40,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/02,735084,765944,1735096,-4.02,-57.63,1501028,3828076,-60.78,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/03,661464,735084,2077691,-10.01,-68.16,2162492,5903908,-63.37,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/04,484698,661464,1546770,-26.72,-68.66,2647190,7452537,-64.47,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/05,828975,484698,1700503,71.02,-51.25,3476165,9153040,-62.02,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/06,905424,828975,1256553,9.22,-27.94,4381589,10407801,-57.90,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/07,669555,905424,1308059,-26.05,-48.81,5051144,11717652,-56.89,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/08,748722,669555,632496,11.82,18.37,5799866,12350148,-53.03,本月較去年同期出貨量及平均銷售單價(ASP)減少
2017/09,1048874,748722,1038385,40.08,1.01,6848740,13386904,-48.84,-
2017/10,1272042,1048874,1123179,21.27,13.25,8120782,14511712,-44.03,-
2017/11,1110397,1272042,898232,-12.70,23.62,9231179,15409944,-40.09,-
2017/12,1058127,1110397,1166037,-4.70,-9.25,10289306,16537125,-37.78,-
2018/01,832342,1058127,765944,-21.33,8.66,832342,765944,8.66,-
2018/02,609777,832342,735084,-26.73,-17.04,1442119,1501028,-3.92,-
2018/03,1072259,609777,661464,75.84,62.10,2514378,2161560,16.32,"因台灣地區出貨量大增,使得本月營收較去年同期增加62.1%"
2018/04,823150,1072259,484698,-23.23,69.82,3337528,2647190,26.07,因本公司策略與產品轉型積極拓展模組業務
2018/05,966300,823150,828975,17.39,16.56,4303828,3476165,23.80,-
2018/06,1056528,966300,905424,9.33,16.68,5360356,4381020,22.35,-
2018/07,607089,1056528,669555,-42.53,-9.32,5967445,5051144,18.14,-
2018/08,1106927,607089,748722,82.33,47.84,7074372,5799866,21.97,-
2018/09,1022603,1106927,1048874,-7.61,-2.50,8096975,6848685,18.22,-
2018/10,1935277,1022603,1272042,89.25,52.13,10032252,8120782,23.53,主係模組及系統營收上升，此外，出售電廠收入亦帶動十月營收成長。
2018/11,1340552,1935277,1110397,-30.73,20.72,11372804,9231179,23.19,-
2018/12,1553707,1340552,1340552,15.90,15.90,12926511,10247887,26.13,-
2019/01,1083718,1553707,832342,-30.24,30.20,1083718,832342,30.20,-
2019/02,1520403,1083718,609777,40.29,149.33,2604121,1442119,80.57,因合併故本年累計營收較去年增加
2019/03,1696947,1520403,1072259,11.61,58.25,4301068,2514378,71.05,因合併故本年累計營收較去年增加
2019/04,2025311,1696947,823150,19.35,146.04,6326379,3337528,89.55,因合併故本年累計營收較去年增加
2019/05,2286277,2025311,966300,12.88,136.60,8612656,4303828,100.11,因合併故本年累計營收較去年增加
