艾恩特,	3646
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,49238,50484,52533,-2.46,-6.27,49238,52533,-6.27,-
2015/02,33204,49238,50822,-32.56,-34.66,82443,103355,-20.23,-
2015/03,48338,33204,64117,45.57,-24.60,130781,167472,-21.90,-
2015/04,51000,48338,63333,5.50,-19.47,181781,230806,-21.24,-
2015/05,55220,51000,64832,8.27,-14.82,237001,295638,-19.83,-
2015/06,52684,55220,66862,-4.59,-21.20,289685,362499,-20.08,-
2015/07,56410,52684,54529,7.07,3.44,346095,417028,-17.00,-
2015/08,55931,56410,49469,-0.84,13.06,402026,466497,-13.82,-
2015/09,45190,55931,46548,-19.20,-2.91,447215,513045,-12.83,-
2015/10,49263,45190,32370,9.01,52.18,496478,545415,-8.97,公司轉型，效益浮現。
2015/11,40163,49263,39716,-18.47,1.12,536641,585130,-8.28,-
2015/12,40572,40163,50484,1.01,-19.63,577213,635615,-9.18,-
2016/01,52665,40572,49238,29.80,6.96,52665,49238,6.96,-
2016/02,34433,52665,33204,-34.61,3.70,87098,82443,5.64,-
2016/03,53287,34433,48338,54.75,10.23,140385,130781,7.34,-
2016/04,47772,53287,51000,-10.34,-6.32,188157,181781,3.50,-
2016/05,42563,47772,55220,-10.90,-22.92,230721,237001,-2.64,-
2016/06,37621,42563,52684,-11.61,-28.59,268342,289685,-7.36,-
2016/07,45653,37621,56410,21.34,-19.06,313995,346095,-9.27,-
2016/08,46728,45653,55931,2.35,-16.45,360723,402026,-10.27,-
2016/09,53102,46728,45190,13.64,17.50,413824,447215,-7.46,-
2016/10,43066,53102,49263,-18.89,-12.57,456890,496478,-7.97,-
2016/11,41308,43066,40163,-4.08,2.85,498199,536641,-7.16,-
2016/12,41272,41308,40572,-0.08,1.72,539471,577213,-6.53,-
2017/01,49225,41272,52665,19.26,-6.53,49225,52665,-6.53,-
2017/02,32726,49225,34433,-33.51,-4.95,81952,87098,-5.90,-
2017/03,42181,32726,53287,28.89,-20.84,124132,140385,-11.57,-
2017/04,31539,42181,47772,-25.22,-33.98,155671,188157,-17.26,-
2017/05,38177,31539,42563,21.04,-10.30,193848,230721,-15.98,-
2017/06,34621,38177,37621,-9.31,-7.97,228469,268342,-14.85,-
2017/07,43223,34621,45653,24.84,-5.32,271692,313995,-13.47,-
2017/08,43144,43223,46728,-0.18,-7.66,314836,360723,-12.72,-
2017/09,45208,43144,53102,4.78,-14.86,360044,413824,-12.99,-
2017/10,40394,45208,43066,-10.64,-6.20,400438,456890,-12.35,-
2017/11,50258,40394,41308,24.41,21.66,450697,498199,-9.53,-
2017/12,45679,50258,41272,-9.11,10.67,496375,539471,-7.98,-
2018/01,44220,45679,49225,-3.19,-10.16,44220,49225,-10.16,-
2018/02,30436,44220,32726,-31.17,-6.99,74656,81952,-8.90,-
2018/03,47185,30436,42181,55.03,11.86,121842,124132,-1.84,-
2018/04,46650,47185,31539,-1.13,47.91,168492,155671,8.23,-
2018/05,44250,46650,38177,-5.14,15.90,212742,193848,9.74,-
2018/06,42036,44250,34621,-5.00,21.41,254779,228469,11.51,-
2018/07,48614,42036,43223,15.64,12.47,303393,271692,11.66,-
2018/08,49620,48614,43144,2.06,15.01,353013,314836,12.12,-
2018/09,44718,49620,45208,-9.87,-1.08,397730,360044,10.46,-
