浩鼎,	4174
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,0,0,0,,,0,0,,-
2015/02,0,0,0,,,0,0,,-
2015/03,0,0,0,,,0,0,,-
2015/04,0,0,0,,,0,0,,-
2015/05,0,0,0,,,0,0,,-
2015/06,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計去年累計無增減
2015/07,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計去年累計無增減
2015/08,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2015/09,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2015/10,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2015/11,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2015/12,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2016/01,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2016/02,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2016/03,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2016/04,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2016/05,92386,0,0,,,92386,0,,105年5月認列鼎腹欣相關權利移轉簽約金300萬美元
2016/06,0,92386,0,-100.00,,92386,0,,105年5月認列鼎腹欣相關權利移轉簽約金
2016/07,0,0,0,,,92386,0,,105年5月認列鼎腹欣相關權利移轉簽約金
2016/08,0,0,0,,,92386,0,,105年5月認列鼎腹欣相關權利移轉簽約金
2016/09,0,0,0,,,92386,0,,105年5月認列鼎腹欣相關權利移轉簽約金
2016/10,0,0,0,,,92386,0,,105年5月認列鼎腹欣相關權利移轉簽約金
2016/11,36,0,0,,,92422,0,,105/5鼎腹欣相關權利移轉簽約金;105/11 protein characterization檢測收入
2016/12,0,36,0,-100.00,,92422,0,,105/5鼎腹欣相關權利移轉簽約金;105/11 protein characterization檢測收入
2017/01,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2017/02,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2017/03,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2017/04,0,0,0,,,0,0,,本月與去年本月營收無增減;本年累計與去年累計營收無增減
2017/05,366,0,92386,,-99.60,366,92386,-99.60,106/5材料銷售收入; 105/5鼎腹欣相關權利移轉簽約金
2017/06,0,366,0,-100.00,,366,92386,-99.60,106/5材料銷售收入; 105/5鼎腹欣相關權利移轉簽約金
2017/07,0,0,0,,,366,92386,-99.60,106/5材料銷售收入; 105/5鼎腹欣相關權利移轉簽約金
2017/08,0,0,0,,,366,92386,-99.60,106/5材料銷售收入; 105/5鼎腹欣相關權利移轉簽約金
2017/09,0,0,0,,,366,92386,-99.60,106/5材料銷售收入; 105/5鼎腹欣相關權利移轉簽約金
2017/10,0,0,0,,,366,92386,-99.60,106/5材料銷售收入; 105/5鼎腹欣相關權利移轉簽約金
2017/11,10,0,36,,-72.22,376,92422,-99.59,106/5及106/11材料銷售收入；105/5鼎腹欣相關權利移轉簽約金;105/11 protein characterization檢測收入
2017/12,0,10,0,-100.00,,376,92422,-99.59,106/5及106/11材料銷售收入；105/5鼎腹欣相關權利移轉簽約金;105/11 protein characterization檢測收入
2018/01,7358,0,0,,,7358,0,,107/1子公司圓祥授權收入
2018/02,344,7358,0,-95.32,,7702,0,,"107/1-2子公司圓祥授權收入7,358仟元及檢測分析收入344仟元"
2018/03,4650,344,0,1251.74,,12352,0,,107/3材料銷售收入及鼎腹欣銷售權利金等
2018/04,238,4650,0,-94.88,,12590,0,,107/4子公司圓祥服務收入238仟元
2018/05,0,238,366,-100.00,-100.00,12590,366,3339.89,106/5為材料銷售收入
2018/06,157,0,0,,,12747,366,3382.78,107/6為鼎腹欣銷售權利金
2018/07,0,157,0,-100.00,,12747,366,3382.78,107年主係鼎腹欣銷售權利金、材料銷售收入及子公司圓祥授權收入等
