方土霖,	4527
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,156935,224411,158499,-30.06,-0.98,156935,158499,-0.98,-
2015/02,120892,156935,127286,-22.96,-5.02,277827,285785,-2.78,-
2015/03,224405,120892,171729,85.62,30.67,502232,457514,9.77,-
2015/04,199867,224405,224344,-10.93,-10.91,702099,681858,2.96,-
2015/05,201460,199867,205391,0.79,-1.91,903559,887249,1.83,-
2015/06,209977,201460,188427,4.22,11.43,1113536,1075676,3.51,-
2015/07,202564,209977,219282,-3.53,-7.62,1316100,1294958,1.63,-
2015/08,176296,202564,323781,-12.96,-45.55,1492396,1618739,-7.80,-
2015/09,227788,176296,256445,29.20,-11.17,1720184,1875184,-8.26,-
2015/10,240117,227788,205323,5.41,16.94,1960301,2080507,-5.77,-
2015/11,221003,240117,169187,-7.96,30.62,2181304,2249694,-3.03,-
2015/12,299589,221003,224411,35.55,33.50,2480893,2474105,0.27,-
2016/01,174311,299589,156935,-41.81,11.07,174311,156935,11.07,-
2016/02,90651,174311,120892,-47.99,-25.01,264962,277827,-4.63,-
2016/03,164988,90651,224405,82.00,-26.47,429950,502232,-14.39,-
2016/04,209891,164988,199867,27.21,5.01,639841,702099,-8.86,-
2016/05,219916,209891,201460,4.77,9.16,859757,903559,-4.84,-
2016/06,201237,219916,209977,-8.49,-4.16,1060994,1113536,-4.71,-
2016/07,192414,201237,202564,-4.38,-5.01,1253408,1316100,-4.76,-
2016/08,245954,192414,176296,27.82,39.51,1499362,1492396,0.46,-
2016/09,297391,245954,227788,20.91,30.55,1796753,1720184,4.45,-
2016/10,246523,297391,240117,-17.10,2.66,2043276,1960301,4.23,-
2016/11,244630,246523,221003,-0.76,10.69,2287906,2181304,4.88,-
2016/12,292096,244630,299589,19.40,-2.50,2580002,2480893,3.99,-
2017/01,159468,292096,174311,-45.40,-8.51,159468,174311,-8.51,-
2017/02,139270,159468,90651,-12.66,53.63,298738,264962,12.74,本月營收較去年同期增加，主係去年二月適逢農曆春節假期出貨量減少，以致本月營收較去年同期增加。
2017/03,222548,139270,164988,59.79,34.88,521286,429950,21.24,-
2017/04,230449,222548,209891,3.55,9.79,751735,639841,17.48,-
2017/05,223500,230449,219916,-3.01,1.62,975235,859757,13.43,-
2017/06,230204,223500,201237,2.99,14.39,1205439,1060994,13.61,-
2017/07,211692,230204,192414,-8.04,10.01,1417131,1253408,13.06,-
2017/08,219361,211692,245954,3.62,-10.81,1636492,1499362,9.14,-
2017/09,243547,219361,297391,11.02,-18.10,1880039,1796753,4.63,-
2017/10,291214,243547,246523,19.57,18.12,2171253,2043276,6.26,-
2017/11,223148,291214,244630,-23.37,-8.78,2394401,2287906,4.65,-
2017/12,300130,223148,292096,34.49,2.75,2694531,2580002,4.43,-
2018/01,213484,300130,159468,-28.86,33.87,213484,159468,33.87,-
2018/02,140629,213484,139270,-34.12,0.97,354113,298738,18.53,-
2018/03,283813,140629,222548,101.81,27.52,637926,521286,22.37,-
2018/04,252653,283813,230449,-10.97,9.63,890579,751735,18.46,-
2018/05,196954,252653,223500,-22.04,-11.87,1087533,975235,11.51,-
2018/06,251588,196954,230204,27.73,9.28,1339121,1205439,11.08,-
2018/07,349739,251588,211692,39.01,65.21,1688860,1417131,19.17,本月係因國內、中國大陸及越南市場營收皆較去年同期增加，致使本月相較去年同期增加65.21%
2018/08,223569,349739,219361,-36.07,1.91,1912429,1636492,16.86,-
2018/09,270595,223569,243547,21.03,11.10,2183024,1880039,16.11,-
2018/10,209013,270595,291214,-22.75,-28.22,2392037,2171253,10.16,-
2018/11,206818,209013,223148,-1.05,-7.31,2598855,2394401,8.53,-
2018/12,375034,206818,300130,81.33,24.95,2973889,2694531,10.36,-
2019/01,189542,375034,213484,-49.46,-11.21,189542,213484,-11.21,-
2019/02,109105,189542,140629,-42.43,-22.41,298647,354113,-15.66,-
2019/03,261850,109105,283813,139.99,-7.73,560497,637926,-12.13,-
2019/04,203505,261850,252653,-22.28,-19.45,764002,890579,-14.21,-
2019/05,179835,203505,196954,-11.63,-8.69,943837,1087533,-13.21,-
