佳凌,	4976
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,93822,101547,118530,-7.60,-20.84,93822,118530,-20.84,-
2015/02,68207,93822,114898,-27.30,-40.63,162029,233428,-30.58,-
2015/03,109521,68207,135378,60.57,-19.09,271550,368806,-26.37,-
2015/04,105982,109521,156946,-3.23,-32.47,377532,525752,-28.19,-
2015/05,116653,105982,151500,10.06,-23.00,494185,677252,-27.03,-
2015/06,133382,116653,139208,14.34,-4.18,627567,816460,-23.13,-
2015/07,140739,133382,139659,5.51,0.77,768306,956119,-19.64,-
2015/08,138759,140739,121695,-1.40,14.02,907065,1077814,-15.84,-
2015/09,135390,138759,127943,-2.42,5.82,1042455,1205757,-13.54,-
2015/10,141572,135390,102519,4.56,38.09,1184026,1308276,-9.49,-
2015/11,121995,141572,89000,-13.82,37.07,1306021,1397276,-6.53,-
2015/12,100000,121995,101547,-18.02,-1.52,1406021,1498823,-6.19,-
2016/01,105927,100000,93822,5.92,12.90,105927,93822,12.90,-
2016/02,88345,105927,68207,-16.59,29.52,194272,162029,19.89,-
2016/03,132956,88345,109521,50.49,21.39,327228,271550,20.50,-
2016/04,118741,132956,105982,-10.69,12.03,445968,377532,18.12,-
2016/05,110979,118741,116653,-6.53,-4.86,556947,494185,12.70,-
2016/06,112525,110979,133382,1.39,-15.63,669473,627567,6.67,-
2016/07,122131,112525,140739,8.53,-13.22,791604,768306,3.03,-
2016/08,144253,122131,138759,18.11,3.95,935857,907065,3.17,-
2016/09,124930,144253,135390,-13.39,-7.72,1060787,1042455,1.75,-
2016/10,126171,124930,141572,0.99,-10.87,1186958,1184026,0.24,-
2016/11,123233,126171,121995,-2.32,1.01,1310191,1306021,0.31,-
2016/12,109013,123233,100000,-11.53,9.01,1419204,1406021,0.93,-
2017/01,100442,109013,105927,-7.86,-5.17,100442,105927,-5.17,-
2017/02,106709,100442,88345,6.23,20.78,207151,194272,6.62,-
2017/03,143690,106709,132956,34.65,8.07,350841,327228,7.21,-
2017/04,127070,143690,118741,-11.56,7.01,477911,445968,7.16,-
2017/05,117427,127070,110979,-7.58,5.81,595338,556947,6.89,-
2017/06,129698,117427,112525,10.44,15.26,725036,669473,8.29,-
2017/07,126395,129698,122131,-2.54,3.49,851431,791604,7.55,-
2017/08,132801,126395,144253,5.06,-7.93,984232,935857,5.16,-
2017/09,130208,132801,124930,-1.95,4.22,1114440,1060787,5.05,-
2017/10,124227,130208,126171,-4.59,-1.54,1238667,1186958,4.35,-
2017/11,130511,124227,123233,5.05,5.90,1369178,1310191,4.50,-
2017/12,128134,130511,109013,-1.82,17.54,1497312,1419204,5.50,-
2018/01,133449,128134,100442,4.14,32.86,133449,100442,32.86,-
2018/02,110829,133449,106709,-16.95,3.86,244278,207151,17.92,-
2018/03,145123,110829,143690,30.94,0.99,389401,350841,10.99,-
2018/04,137250,145123,127070,-5.42,8.01,526651,477911,10.19,-
2018/05,152702,137250,117427,11.25,30.03,679353,595338,14.11,-
2018/06,158829,152702,129698,4.01,22.46,838182,725036,15.60,-
