智晶,	5245
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,89735,82474,70602,8.80,27.09,89735,70602,27.09,-
2015/02,64090,89735,71279,-28.57,-10.08,153824,141881,8.41,-
2015/03,68421,64090,102513,6.75,-33.25,222245,244394,-9.06,-
2015/04,80018,68421,67060,16.94,19.32,302263,311454,-2.95,-
2015/05,76385,80018,75808,-4.54,0.76,378648,387263,-2.22,-
2015/06,103474,76385,82601,35.46,25.26,482122,469863,2.60,-
2015/07,122847,103474,75768,18.72,62.13,604969,545631,10.87,本月營收較去年同期增加50%以上，係因PMOLED之市場應用需求增加。
2015/08,125519,122847,83933,2.17,49.54,730488,629565,16.03,本月營收較去年同期增加49.55%，係因PMOLED之市場應用需求增加。
2015/09,132101,125519,84132,5.24,57.01,862588,713696,20.86,本月營收較去年同期增加57.02%，係因PMOLED之市場應用需求增加。
2015/10,134105,132101,82928,1.51,61.71,996694,796624,25.11,本月營收較去年同期增加61.71%，係因PMOLED之市場應用需求增加。
2015/11,140727,134105,80610,4.93,74.57,1137420,877234,29.65,本月營收較去年同期增加74.58%，係因PMOLED之市場應用需求增加。
2015/12,147230,140727,82474,4.62,78.51,1284650,959708,33.85,本月營收較去年同期增加78.52%，係因PMOLED之市場應用需求增加。
2016/01,148590,147230,89735,0.92,65.58,148590,89735,65.58,本月營收較去年同期增加65.59%，係因PMOLED之市場應用需求增加。
2016/02,135251,148590,64090,-8.97,111.03,283841,153824,84.52,本月營收較去年同期增加111%，係因PMOLED之市場應用需求增加。
2016/03,151460,135251,68421,11.98,121.36,435301,222245,95.86,本月營收較去年同期增加121%，係因PMOLED之市場應用需求增加。
2016/04,143111,151460,80018,-5.51,78.84,578411,302263,91.36,本月營收較去年同期增加79%，係因PMOLED之市場應用需求增加。
2016/05,140758,143111,76385,-1.64,84.27,719169,378648,89.93,本月營收較去年同期增加84%，係因PMOLED之市場應用需求增加。
2016/06,115369,140758,103474,-18.03,11.49,834538,482122,73.09,本年累計營收較去年累計營收增加73%，係因PMOLED之市場應用需求增加。
2016/07,124704,115369,122847,8.09,1.51,959242,604969,58.56,本年累計營收較去年累計營收增加59%，係因PMOLED之市場應用需求增加。
2016/08,136126,124704,125519,9.15,8.45,1095368,730488,49.95,-
2016/09,150032,136126,132101,10.21,13.57,1245400,862588,44.37,-
2016/10,140745,150032,134105,-6.19,4.95,1386145,996694,39.07,-
2016/11,141279,140745,140727,0.37,0.39,1527424,1137420,34.28,-
2016/12,144634,141279,147230,2.37,-1.76,1672058,1284650,30.15,-
2017/01,127919,144634,148590,-11.55,-13.91,127919,148590,-13.91,-
2017/02,132543,127919,135251,3.61,-2.00,260461,283841,-8.23,-
2017/03,174550,132543,151460,31.69,15.24,435012,435301,-0.06,-
2017/04,144333,174550,143111,-17.31,0.85,579344,578411,0.16,-
2017/05,161198,144333,140758,11.68,14.52,740543,719169,2.97,-
2017/06,165150,161198,115369,2.45,43.14,905693,834538,8.52,-
2017/07,182283,165150,124704,10.37,46.17,1087976,959242,13.42,-
2017/08,178568,182283,136126,-2.03,31.17,1266544,1095368,15.62,-
2017/09,192817,178568,150032,7.97,28.51,1459361,1245400,17.18,-
2017/10,207203,192817,140745,7.46,47.21,1666564,1386145,20.23,-
2017/11,180539,207203,141279,-12.86,27.78,1847103,1527424,20.92,-
2017/12,157190,180539,144634,-12.93,8.68,2004293,1672058,19.86,-
2018/01,162680,157190,127919,3.49,27.17,162680,127919,27.17,-
2018/02,117880,162680,132543,-27.53,-11.06,280560,260461,7.71,-
2018/03,147548,117880,174550,25.16,-15.46,428108,435012,-1.58,-
2018/04,146529,147548,144333,-0.69,1.52,574637,579344,-0.81,-
2018/05,153810,146529,161198,4.96,-4.58,728446,740543,-1.63,-
2018/06,149969,153810,165150,-2.49,-9.19,878415,905693,-3.01,-
2018/07,126097,149969,182283,-15.91,-30.82,1004512,1087976,-7.67,-
2018/08,140619,126097,178568,11.51,-21.25,1145132,1266544,-9.58,-
2018/09,136697,140619,192817,-2.78,-29.10,1281829,1459361,-12.16,-
2018/10,145213,136697,207203,6.22,-29.91,1427041,1666564,-14.37,-
2018/11,127139,145213,180539,-12.44,-29.57,1554180,1847103,-15.85,-
2018/12,135942,127139,157190,6.92,-13.51,1690122,2004293,-15.67,-
2019/01,126382,135942,162680,-7.03,-22.31,126382,162680,-22.31,-
2019/02,102301,126382,117880,-19.05,-13.21,228683,280560,-18.49,-
