宜鼎,	5289
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,361562,296604,257092,21.90,40.63,361562,257092,40.63,-
2015/02,260854,361562,217645,-27.85,19.85,622417,474737,31.10,-
2015/03,353999,260854,267440,35.70,32.36,976416,742177,31.56,-
2015/04,335668,353999,246277,-5.17,36.29,1312083,988455,32.74,-
2015/05,403862,335668,274657,20.31,47.04,1715945,1263112,35.85,-
2015/06,312320,403862,300767,-22.66,3.84,2028265,1563879,29.69,-
2015/07,383817,312320,344726,22.89,11.33,2412082,1908605,26.37,-
2015/08,411680,383817,298166,7.25,38.07,2823763,2206771,27.95,-
2015/09,403075,411680,307410,-2.09,31.11,3226838,2514182,28.34,-
2015/10,371324,403075,378097,-7.87,-1.79,3598161,2892278,24.40,-
2015/11,395674,371324,340808,6.55,16.09,3993835,3233086,23.53,-
2015/12,392148,395674,296604,-0.89,32.21,4385983,3529690,24.25,-
2016/01,380877,392148,361562,-2.87,5.34,380877,361562,5.34,-
2016/02,289033,380877,260854,-24.11,10.80,669910,622417,7.63,-
2016/03,422202,289033,353999,46.07,19.26,1092112,976416,11.84,-
2016/04,328552,422202,335668,-22.18,-2.11,1420664,1312083,8.27,-
2016/05,376025,328552,403862,14.44,-6.89,1796689,1715945,4.70,-
2016/06,343701,376025,312320,-8.59,10.04,2140390,2028265,5.52,-
2016/07,387792,343701,383817,12.82,1.03,2528182,2412082,4.81,-
2016/08,416802,387792,411680,7.48,1.24,2944984,2823763,4.29,-
2016/09,375043,416802,403075,-10.01,-6.95,3320028,3226838,2.88,-
2016/10,467912,375043,371324,24.76,26.01,3787940,3598161,5.27,-
2016/11,441315,467912,395674,-5.68,11.53,4229255,3993835,5.89,-
2016/12,416302,441315,392148,-5.66,6.15,4645557,4385983,5.91,-
2017/01,445621,416302,380877,7.04,16.99,445621,380877,16.99,-
2017/02,436274,445621,289033,-2.09,50.94,881895,669910,31.64,本月營收較去年同期增加係因出貨量增加及工作天數較去年同期為多所致
2017/03,522458,436274,422202,19.75,23.74,1404353,1092112,28.59,-
2017/04,546423,522458,328552,4.58,66.31,1950776,1420664,37.31,本月營收較去年同期增加係因出貨量增加所致
2017/05,543639,546423,376025,-0.50,44.57,2494415,1796689,38.83,-
2017/06,543561,543639,343701,-0.01,58.14,3037976,2140390,41.93,本月營收較去年同期增加係因出貨量增加所致
2017/07,555802,543561,387792,2.25,43.32,3593778,2528182,42.14,-
2017/08,553509,555802,416802,-0.41,32.79,4147287,2944984,40.82,-
2017/09,557082,553509,375043,0.64,48.53,4704369,3320028,41.69,-
2017/10,613594,557082,467912,10.14,31.13,5317963,3787940,40.39,-
2017/11,716365,613594,441315,16.74,62.32,6034328,4229255,42.68,本月營收較去年同期增加係因出貨量增加所致
2017/12,509878,716365,416302,-28.82,22.47,6544206,4645557,40.87,-
2018/01,729801,509878,445621,43.13,63.77,729801,445621,63.77,本月營收較去年同期增加係因出貨量增加所致
2018/02,581099,729801,436274,-20.37,33.19,1310900,881895,48.64,-
2018/03,702235,581099,522458,20.84,34.40,2013135,1404353,43.34,-
2018/04,718135,702235,546423,2.26,31.42,2731270,1950776,40.00,-
