高技,	5439
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,158654,161399,130102,-1.70,21.94,158654,130102,21.94,-
2015/02,139388,158654,126908,-12.14,9.83,298042,257010,15.96,-
2015/03,146788,139388,150497,5.30,-2.46,444830,407507,9.15,-
2015/04,158359,146788,179477,7.88,-11.76,603190,586983,2.76,-
2015/05,151885,158359,150428,-4.08,0.96,755075,737411,2.39,-
2015/06,153395,151885,170094,0.99,-9.81,908470,907505,0.10,-
2015/07,151073,153395,164256,-1.51,-8.02,1059543,1071761,-1.13,-
2015/08,149872,151073,148912,-0.79,0.64,1209415,1220673,-0.92,-
2015/09,170363,149872,158599,13.67,7.41,1379778,1379272,0.03,-
2015/10,150721,170363,140811,-11.52,7.03,1530498,1520082,0.68,-
2015/11,160458,150721,155009,6.46,3.51,1690956,1675091,0.94,-
2015/12,156419,160458,161399,-2.51,-3.08,1847375,1836490,0.59,-
2016/01,172392,156419,158654,10.21,8.65,172392,158654,8.65,-
2016/02,156814,172392,139388,-9.03,12.50,329207,298042,10.45,-
2016/03,169988,156814,146788,8.40,15.80,499195,444830,12.22,-
2016/04,180573,169988,158359,6.22,14.02,679768,603190,12.69,-
2016/05,169962,180573,151885,-5.87,11.90,849730,755075,12.53,-
2016/06,159481,169962,153395,-6.16,3.96,1009211,908470,11.08,-
2016/07,161235,159481,151073,1.09,6.72,1170446,1059543,10.46,-
2016/08,157897,161235,149872,-2.07,5.35,1328343,1209415,9.83,-
2016/09,150540,157897,170363,-4.65,-11.63,1478883,1379778,7.18,-
2016/10,154743,150540,150721,2.79,2.66,1633626,1530498,6.73,-
2016/11,176120,154743,160458,13.81,9.76,1809746,1690956,7.02,-
2016/12,170665,176120,156419,-3.09,9.10,1980410,1847375,7.20,-
2017/01,181876,170665,172392,6.56,5.50,181876,172392,5.50,-
2017/02,163286,181876,156814,-10.22,4.12,345163,329207,4.84,-
2017/03,182293,163286,169988,11.64,7.23,527455,499195,5.66,-
2017/04,183714,182293,180573,0.77,1.73,711169,679768,4.61,-
2017/05,183268,183714,169962,-0.24,7.82,894437,849730,5.26,-
2017/06,175528,183268,159481,-4.22,10.06,1069965,1009211,6.01,-
2017/07,182785,175528,161235,4.13,13.36,1252750,1170446,7.03,-
2017/08,172814,182785,157897,-5.45,9.44,1425565,1328343,7.31,-
2017/09,176651,172814,150540,2.22,17.34,1602216,1478883,8.33,-
2017/10,156478,176651,154743,-11.41,1.12,1758694,1633626,7.65,-
2017/11,154799,156478,176120,-1.07,-12.10,1913493,1809746,5.73,-
2017/12,160717,154799,170665,3.82,-5.82,2074210,1980410,4.73,-
2018/01,186643,160717,181876,16.13,2.62,186643,181876,2.62,-
2018/02,175942,186643,163286,-5.73,7.75,362586,345163,5.04,-
2018/03,192498,175942,182293,9.40,5.59,555084,527455,5.23,-
2018/04,202179,192498,183714,5.02,10.05,757262,711169,6.48,-
2018/05,206103,202179,183268,1.94,12.45,963366,894437,7.70,-
2018/06,181317,206103,175528,-12.02,3.29,1144683,1069965,6.98,-
2018/07,205526,181317,182785,13.35,12.44,1350209,1252750,7.77,-
2018/08,186862,205526,172814,-9.08,8.12,1537070,1425565,7.82,-
2018/09,193364,186862,176651,3.47,9.46,1730434,1602216,8.00,-
