聖暉,	5536
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,456764,674989,527141,-32.33,-13.35,456764,527141,-13.35,-
2015/02,335905,456764,391825,-26.45,-14.27,792669,918966,-13.74,-
2015/03,561614,335905,450323,67.19,24.71,1354283,1369289,-1.09,-
2015/04,632683,561614,586906,12.65,7.79,1986966,1956195,1.57,-
2015/05,588108,632683,627637,-7.04,-6.29,2575074,2583832,-0.33,-
2015/06,909308,588108,928890,54.61,-2.10,3484382,3512722,-0.80,-
2015/07,643766,909308,719651,-29.20,-10.54,4128148,4232373,-2.46,-
2015/08,832121,643766,628045,29.25,32.49,4960269,4860418,2.05,-
2015/09,900729,832121,597816,8.24,50.66,5860998,5458234,7.37,本月營收較去年同期增加50.67%，主係子公司銷貨收入增加新台幣2.2億元所致。
2015/10,957940,900729,691907,6.35,38.44,6818938,6150141,10.87,-
2015/11,1014062,957940,756421,5.85,34.06,7833000,6906562,13.41,-
2015/12,725768,1014062,674990,-28.42,7.52,8558768,7581552,12.88,-
2016/01,582304,725768,456764,-19.76,27.48,582304,456764,27.48,-
2016/02,434837,582304,335905,-25.32,29.45,1017141,792669,28.31,-
2016/03,783569,434837,561614,80.19,39.52,1800710,1354283,32.96,-
2016/04,563542,783569,632683,-28.08,-10.92,2364252,1986966,18.98,-
2016/05,738619,563542,588108,31.06,25.59,3102871,2575074,20.49,-
2016/06,881778,738619,909308,19.38,-3.02,3984649,3484382,14.35,-
2016/07,1214563,881778,643766,37.74,88.66,5199212,4128148,25.94,本月營收較去年同期增加88.67%，主係子公司銷貨收入增加新台幣6.1億元所致
2016/08,611450,1214563,832121,-49.65,-26.51,5810662,4960269,17.14,-
2016/09,824140,611450,900729,34.78,-8.50,6634802,5860998,13.20,-
2016/10,381590,824140,957940,-53.69,-60.16,7016392,6818938,2.89,本月營收較去年同期減少60.17%，主係聖暉工程收入減少新台幣3.5億元及因匯率影響致大陸子公司營收減少新台幣1億元。
2016/11,737571,381590,1014062,93.28,-27.26,7753963,7833000,-1.00,-
2016/12,650458,737571,725768,-11.81,-10.37,8404421,8558768,-1.80,-
2017/01,810940,650458,582304,24.67,39.26,810940,582304,39.26,-
2017/02,745408,810940,434837,-8.08,71.42,1556348,1017141,53.01,累計營收增加，主係子公司營收增加新台幣4.4億元；本月營收增加，主係聖暉工程收入及子公司收入分別增加新台幣7千萬及2.38億所致
2017/03,1186301,745408,783569,59.14,51.39,2742649,1800710,52.30,累計營收增加，主係子公司營收增加新台幣7.1億元；本月營收增加，主係子公司單月營收增加新台幣3.8億元所致
2017/04,1003954,1186301,563542,-15.37,78.15,3746603,2364252,58.46,營收增加係聖暉及子公司單月營收分別增加新台幣2.3億元及2.5億元整；且本年累計營收分別增加新台幣2.2億元及9.8億元整
2017/05,969759,1003954,738619,-3.40,31.29,4716362,3102871,51.99,本年累計營收較去年同期增加52%，係聖暉及子公司營收分別增加新台幣2.9億元及13.1億元所致。
2017/06,993578,969759,881778,2.45,12.67,5709940,3984649,43.29,-
2017/07,768113,993578,1214563,-22.69,-36.75,6478053,5199212,24.59,-
2017/08,1012382,768113,611450,31.80,65.57,7490435,5810662,28.90,單月營收較去年同期增加65.57%，主係聖暉子公司單月營收增加新台幣4.5億元所致。
2017/09,926486,1012382,824140,-8.48,12.41,8416921,6634802,26.86,-
2017/10,715126,926486,381590,-22.81,87.40,9132047,7016392,30.15,單月營收較去年同期增加87.41%，主係聖暉、豐澤及深圳鼎貿單月營收增加新台幣1.2億元、0.55億元及0.33億元所致。
2017/11,1148728,715126,737571,60.63,55.74,10280775,7753963,32.58,單月營收較去年同期增加55.74%，主係冠禮、朋億及豐澤單月營收增加新台幣3.1億元、1.8億元及0.46億元所致。
2017/12,1156907,1148728,650458,0.71,77.86,11437682,8404421,36.09,單月營收較去年同期增加77.86%，主係冠禮、蘇州及豐澤單月營收分別增加新台幣2.1億元、1.3億元及0.61億元所致。
2018/01,1054941,1156907,810940,-8.81,30.08,1054941,810940,30.08,-
2018/02,777359,1054941,745408,-26.31,4.28,1832300,1556348,17.73,-
2018/03,1196637,777359,1186300,53.93,0.87,3028937,2742648,10.43,-
2018/04,1196411,1196637,1003954,-0.01,19.16,4225348,3746602,12.77,-
2018/05,1302605,1196411,969759,8.87,34.32,5527953,4716361,17.20,-
2018/06,2113226,1302605,993578,62.23,112.68,7641179,5709939,33.82,本月營收較去年同期增加112.69%，主係聖暉單月營收增加新台幣4.82億元及子公司單月營收增加新台幣7.15億元所致。
2018/07,1392196,2113226,768113,-34.11,81.24,9033375,6478052,39.44,本月營收較去年同期增加81.25%，主係聖暉單月營收增加新台幣2.04億元及子公司單月營收增加新台幣2.81億元所致。
2018/08,1306840,1392196,1012382,-6.13,29.08,10340215,7490434,38.04,-
2018/09,1132911,1306840,926487,-13.30,22.28,11473126,8416921,36.31,-
2018/10,871139,1132911,715126,-23.10,21.81,12344265,9132047,35.17,-
2018/11,984807,871139,1148728,13.04,-14.26,13329072,10280775,29.65,-
2018/12,891581,984807,1156907,-9.46,-22.93,14220653,11437682,24.33,-
