中租-KY,	5871
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,2995508,2983842,3122243,0.39,-4.05,2995508,3122243,-4.05,-
2015/02,2796757,2995508,2390177,-6.63,17.01,5792265,5512420,5.07,-
2015/03,2710784,2796757,2934504,-3.07,-7.62,8503049,8446924,0.66,-
2015/04,2949121,2710784,2710479,8.79,8.80,11452170,11157403,2.64,-
2015/05,2978556,2949121,2745356,0.99,8.49,14430726,13902759,3.79,-
2015/06,3164583,2978556,2959272,6.24,6.93,17595309,16862031,4.34,-
2015/07,3008928,3164583,3029583,-4.91,-0.68,20604237,19891614,3.58,-
2015/08,3118251,3008928,2988903,3.63,4.32,23722488,22880517,3.67,-
2015/09,3186493,3118251,3010890,2.18,5.83,26908981,25891407,3.93,-
2015/10,2922208,3186493,2672435,-8.29,9.34,29831189,28563842,4.43,-
2015/11,3245095,2922208,3004990,11.04,7.99,33076284,31568832,4.77,-
2015/12,3751696,3245095,2983842,15.61,25.73,36827980,34552674,6.58,-
2016/01,3126422,3751696,2995508,-16.66,4.37,3126422,2995508,4.37,-
2016/02,2630473,3126422,2796757,-15.86,-5.94,5756895,5792265,-0.61,-
2016/03,3014705,2630473,2710784,14.60,11.21,8771600,8503049,3.15,-
2016/04,2963769,3014705,2949121,-1.68,0.49,11735369,11452170,2.47,-
2016/05,3344779,2963769,2978556,12.85,12.29,15080148,14430726,4.50,-
2016/06,3250364,3344779,3164583,-2.82,2.71,18330512,17595309,4.17,-
2016/07,3204509,3250364,3008928,-1.41,6.50,21535021,20604237,4.51,-
2016/08,3336224,3204509,3118251,4.11,6.99,24871245,23722488,4.84,-
2016/09,3101954,3336224,3186493,-7.02,-2.65,27973199,26908981,3.95,-
2016/10,3120869,3101954,2922208,0.60,6.79,31094068,29831189,4.23,-
2016/11,3360684,3120869,3245095,7.68,3.56,34454752,33076284,4.16,-
2016/12,3553024,3360684,3751696,5.72,-5.29,38007776,36827980,3.20,-
2017/01,3250169,3553024,3126422,-8.52,3.95,3250169,3126422,3.95,-
2017/02,2765078,3250169,2630473,-14.92,5.11,6015247,5756895,4.48,-
2017/03,3355804,2765078,3014705,21.36,11.31,9371051,8771600,6.83,-
2017/04,3108965,3355804,2963769,-7.35,4.89,12480016,11735369,6.34,-
2017/05,3356261,3108965,3344779,7.95,0.34,15836277,15080148,5.01,-
2017/06,3390908,3356261,3250364,1.03,4.32,19227185,18330512,4.89,-
2017/07,3347392,3390908,3204509,-1.28,4.45,22574577,21535021,4.82,-
2017/08,3554860,3347392,3336224,6.19,6.55,26129437,24871245,5.05,-
2017/09,3683261,3554860,3101954,3.61,18.74,29812698,27973199,6.57,-
2017/10,3602499,3683261,3120869,-2.19,15.43,33415197,31094068,7.46,-
2017/11,4000748,3602499,3360684,11.05,19.04,37415945,34454752,8.59,-
2017/12,4038754,4000748,3553024,0.94,13.67,41454699,38007776,9.06,-
2018/01,3914570,4038754,3250169,-3.07,20.44,3914570,3250169,20.44,-
2018/02,3572705,3914570,2765078,-8.73,29.20,7487275,6015247,24.47,-
2018/03,4051129,3572705,3355804,13.39,20.72,11538404,9371051,23.12,-
2018/04,4190820,4051129,3108965,3.44,34.79,15729224,12480016,26.03,-
2018/05,4408015,4190820,3356261,5.18,31.33,20137239,15836277,27.15,-
2018/06,4164564,4408015,3390908,-5.52,22.81,24301803,19227185,26.39,-
2018/07,4254342,4164564,3347392,2.15,27.09,28556145,22574577,26.49,-
2018/08,4213581,4254342,3554860,-0.95,18.53,32769726,26129437,25.41,-
