寶雅,	5904
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,838199,984006,723240,-14.81,15.89,838199,723240,15.89,-
2015/02,868912,838199,641427,3.66,35.46,1707111,1364667,25.09,-
2015/03,807453,868912,654086,-7.07,23.44,2514564,2018753,24.56,-
2015/04,819821,807453,656580,1.53,24.86,3334385,2675333,24.63,-
2015/05,852933,819821,693544,4.03,22.98,4187318,3368876,24.29,-
2015/06,895881,852933,759684,5.03,17.92,5083199,4128560,23.12,-
2015/07,913233,895881,801892,1.93,13.88,5996432,4930452,21.62,-
2015/08,878753,913233,832464,-3.77,5.56,6875184,5762916,19.30,-
2015/09,964314,878753,832797,9.73,15.79,7839498,6595713,18.85,-
2015/10,922398,964314,801992,-4.34,15.01,8761897,7397705,18.44,-
2015/11,879290,922398,785879,-4.67,11.88,9641186,8183584,17.81,-
2015/12,1046638,879290,984006,19.03,6.36,10687825,9167590,16.58,-
2016/01,1057542,1046638,838199,1.04,26.16,1057542,838199,26.16,-
2016/02,1053992,1057542,868912,-0.33,21.30,2111533,1707111,23.69,-
2016/03,891765,1053992,807453,-15.39,10.44,3003298,2514564,19.43,-
2016/04,981728,891765,819821,10.08,19.74,3985026,3334385,19.51,-
2016/05,1038725,981728,852933,5.80,21.78,5023750,4187318,19.97,-
2016/06,1032353,1038725,895881,-0.61,15.23,6056103,5083199,19.13,-
2016/07,1094173,1032353,913233,5.98,19.81,7150276,5996432,19.24,-
2016/08,1091500,1094173,878753,-0.24,24.21,8241776,6875184,19.87,-
2016/09,1023019,1091500,964314,-6.27,6.08,9264795,7839498,18.18,-
2016/10,1056542,1023019,922398,3.27,14.54,10321337,8761897,17.79,-
2016/11,949737,1056542,879290,-10.10,8.01,11271075,9641186,16.90,-
2016/12,1152671,949737,1046638,21.36,10.13,12423746,10687825,16.24,-
2017/01,1212864,1152671,1057542,5.22,14.68,1212864,1057542,14.68,-
2017/02,1064792,1212864,1053992,-12.20,1.02,2277656,2111533,7.86,-
2017/03,962156,1064792,891765,-9.63,7.89,3239813,3003298,7.87,-
2017/04,1051168,962156,981728,9.25,7.07,4290981,3985026,7.67,-
2017/05,1082713,1051168,1038725,3.00,4.23,5373694,5023750,6.96,-
2017/06,1043777,1082713,1032353,-3.59,1.10,6417471,6056103,5.96,-
2017/07,1168000,1043777,1094173,11.90,6.74,7585471,7150276,6.08,-
2017/08,1176620,1168000,1091500,0.73,7.79,8762092,8241776,6.31,-
2017/09,1117876,1176620,1023019,-4.99,9.27,9879968,9264795,6.63,-
2017/10,1147925,1117876,1056542,2.68,8.64,11027893,10321337,6.84,-
2017/11,1008256,1147925,949737,-12.16,6.16,12036149,11271075,6.78,-
2017/12,1225922,1008256,1152671,21.58,6.35,13262071,12423746,6.74,-
2018/01,1100462,1225922,1212864,-10.23,-9.26,1100462,1212864,-9.26,-
2018/02,1228816,1100462,1064792,11.66,15.40,2329278,2277656,2.26,-
2018/03,1070412,1228816,962156,-12.89,11.25,3399690,3239813,4.93,-
2018/04,1115078,1070412,1051168,4.17,6.07,4514768,4290981,5.21,-
2018/05,1187239,1115078,1082713,6.47,9.65,5702008,5373694,6.10,-
2018/06,1140253,1187239,1043777,-3.95,9.24,6842261,6417471,6.61,-
2018/07,1223299,1140253,1168000,7.28,4.73,8065560,7585471,6.32,-
2018/08,1194225,1223299,1176620,-2.37,1.49,9259785,8762092,5.68,-
2018/09,1250442,1194225,1117876,4.70,11.85,10510227,9879968,6.37,-
2018/10,1171925,1250442,1147925,-6.27,2.09,11682152,11027893,5.93,-
2018/11,1091347,1171925,1008256,-6.87,8.24,12773499,12036149,6.12,-
2018/12,1310534,1091347,1225922,20.08,6.90,14084032,13262071,6.19,-
2019/01,1297104,1310534,1100462,-1.02,17.86,1297104,1100462,17.86,-
2019/02,1289880,1297104,1228816,-0.55,4.96,2586984,2329278,11.06,-
2019/03,1209801,1289880,1070412,-6.20,13.02,3796785,3399690,11.68,-
2019/04,1241687,1209801,1115078,2.63,11.35,5038473,4514768,11.59,-
2019/05,1251514,1241687,1187239,0.79,5.41,6289987,5702008,10.31,-
2019/06,1331527,1251514,1140253,6.39,16.77,7621513,6842261,11.38,-
2019/07,1385961,1331527,1223299,4.08,13.29,9007475,8065560,11.67,-
