鎰勝,	6115
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,648856,618093,640750,4.97,1.26,648856,640750,1.26,-
2015/02,415099,648856,509958,-36.02,-18.60,1063955,1150708,-7.53,-
2015/03,568440,415099,641500,36.94,-11.38,1632395,1792208,-8.91,-
2015/04,614682,568440,658498,8.13,-6.65,2247077,2450706,-8.30,-
2015/05,552336,614682,661570,-10.14,-16.51,2799413,3112276,-10.05,-
2015/06,579891,552336,629237,4.98,-7.84,3379304,3741513,-9.68,-
2015/07,644586,579891,660313,11.15,-2.38,4023890,4401826,-8.58,-
2015/08,645773,644586,659344,0.18,-2.05,4669663,5061170,-7.73,-
2015/09,619666,645773,627925,-4.04,-1.31,5289329,5689095,-7.02,-
2015/10,637208,619666,635007,2.83,0.34,5926532,6324102,-6.28,-
2015/11,582064,637208,668790,-8.65,-12.96,6508596,6992892,-6.92,-
2015/12,599153,582064,618093,2.93,-3.06,7107749,7610985,-6.61,-
2016/01,608187,599153,648856,1.50,-6.26,608187,648856,-6.26,-
2016/02,418230,608187,415099,-31.23,0.75,1026417,1063955,-3.52,-
2016/03,570021,418230,568440,36.29,0.27,1596438,1632395,-2.20,-
2016/04,582765,570021,614682,2.23,-5.19,2179203,2247077,-3.02,-
2016/05,556845,582765,552336,-4.44,0.81,2736048,2799413,-2.26,-
2016/06,595817,556845,579891,6.99,2.74,3331865,3379304,-1.40,-
2016/07,614316,595817,644586,3.10,-4.69,3946481,4023890,-1.92,-
2016/08,639828,614316,645773,4.15,-0.92,4586309,4669663,-1.78,-
2016/09,621133,639828,619666,-2.92,0.23,5207442,5289329,-1.54,-
2016/10,622502,621133,637208,0.22,-2.30,5829944,5926532,-1.62,-
2016/11,588552,622502,582064,-5.45,1.11,6418496,6508596,-1.38,-
2016/12,587322,588552,599153,-0.20,-1.97,7066253,7107749,-0.58,-
2017/01,570728,587322,608187,-2.82,-6.15,570728,608187,-6.15,-
2017/02,407519,570728,418230,-28.59,-2.56,978247,1026417,-4.69,-
2017/03,620940,407519,570021,52.37,8.93,1599187,1596438,0.17,-
2017/04,559402,620940,582765,-9.91,-4.00,2158589,2179203,-0.94,-
2017/05,552395,559402,556845,-1.25,-0.79,2710984,2736048,-0.91,-
2017/06,577090,552395,595817,4.47,-3.14,3288074,3331865,-1.31,-
2017/07,591576,577090,614316,2.51,-3.70,3879650,3946481,-1.69,-
2017/08,645648,591576,639828,9.14,0.90,4525298,4586309,-1.33,-
2017/09,669096,645648,621133,3.63,7.72,5194394,5207442,-0.25,-
2017/10,666492,669096,622502,-0.38,7.06,5795181,5829944,-0.59,-
2017/11,616728,666492,588552,-7.46,4.78,6477614,6418496,0.92,-
2017/12,575254,616728,587322,-6.72,-2.05,7052868,7066253,-0.18,-
2018/01,622750,575254,570728,8.25,9.11,622750,570728,9.11,-
2018/02,406879,622750,407519,-34.66,-0.15,1029628,978247,5.25,-
2018/03,570156,406879,620940,40.12,-8.17,1599784,1599187,0.03,-
2018/04,705436,570156,559402,23.72,26.10,2305220,2158589,6.79,-
2018/05,618724,705436,552395,-12.29,12.00,2923944,2710984,7.85,-
2018/06,542547,618724,577090,-12.31,-5.98,3466491,3288074,5.42,-
2018/07,641643,542547,591576,18.26,8.46,4108134,3879650,5.88,-
2018/08,637836,641643,645648,-0.59,-1.20,4745970,4525298,4.87,-
2018/09,527197,637836,669096,-17.34,-21.20,5273167,5194394,1.51,-
2018/10,560439,527197,666492,6.30,-15.91,5833606,5795181,0.66,-
2018/11,645435,560439,616728,15.16,4.65,6479041,6477614,0.02,-
2018/12,595825,645435,575254,-7.68,3.57,7074866,7052868,0.31,-
