茂達,	6138
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,273194,240269,311286,13.70,-12.23,273194,311286,-12.23,-
2015/02,211115,273194,242700,-22.72,-13.01,484309,553986,-12.57,-
2015/03,237589,211115,272722,12.54,-12.88,721897,826707,-12.67,-
2015/04,212856,237589,295695,-10.40,-28.01,934753,1122402,-16.71,-
2015/05,216901,212856,311322,1.90,-30.32,1151654,1433724,-19.67,-
2015/06,216418,216901,328108,-0.22,-34.04,1368072,1761832,-22.34,-
2015/07,224381,216418,334273,3.67,-32.87,1592453,2096104,-24.02,-
2015/08,251786,224381,320380,12.21,-21.41,1844239,2416485,-23.68,-
2015/09,299673,251786,303471,19.01,-1.25,2143912,2719955,-21.17,-
2015/10,310033,299673,276284,3.45,12.21,2453944,2996239,-18.09,-
2015/11,320677,310033,249500,3.43,28.52,2774621,3245739,-14.51,-
2015/12,318863,320677,240269,-0.56,32.71,3093484,3486008,-11.25,-
2016/01,344144,318863,273194,7.92,25.97,344144,273194,25.97,-
2016/02,232768,344144,211115,-32.36,10.25,576912,484309,19.12,-
2016/03,262223,232768,237589,12.65,10.36,839135,721897,16.24,-
2016/04,253875,262223,212856,-3.18,19.27,1093010,934753,16.93,-
2016/05,260258,253875,216901,2.51,19.98,1353268,1151654,17.50,-
2016/06,285496,260258,216418,9.69,31.91,1638764,1368072,19.78,-
2016/07,290183,285496,224381,1.64,29.32,1928947,1592453,21.13,-
2016/08,353719,290183,251786,21.89,40.48,2282666,1844239,23.77,-
2016/09,379681,353719,299673,7.33,26.69,2662347,2143912,24.18,-
2016/10,351282,379681,310033,-7.47,13.30,3013629,2453944,22.80,-
2016/11,375115,351282,320677,6.78,16.97,3388744,2774621,22.13,-
2016/12,349110,375115,318863,-6.93,9.48,3737854,3093484,20.82,-
2017/01,341721,349110,344144,-2.11,-0.70,341721,344144,-0.70,-
2017/02,307490,341721,232768,-10.01,32.10,649211,576912,12.53,-
2017/03,304483,307490,262223,-0.97,16.11,953694,839135,13.65,-
2017/04,302412,304483,253875,-0.68,19.11,1256106,1093010,14.92,-
2017/05,330125,302412,260258,9.16,26.84,1586231,1353268,17.21,-
2017/06,328515,330125,285496,-0.48,15.06,1914746,1638764,16.84,-
2017/07,366179,328515,290183,11.46,26.18,2280925,1928947,18.24,-
2017/08,414050,366179,353719,13.07,17.05,2694975,2282666,18.06,-
2017/09,412421,414050,379681,-0.39,8.62,3107396,2662347,16.71,-
2017/10,388512,412421,351282,-5.79,10.59,3495908,3013629,16.00,-
2017/11,372695,388512,375115,-4.07,-0.64,3868603,3388744,14.16,-
2017/12,355329,372695,349110,-4.65,1.78,4223932,3737854,13.00,-
2018/01,422083,355329,341721,18.78,23.51,422083,341721,23.51,-
2018/02,345055,422083,307490,-18.24,12.21,767138,649211,18.16,-
2018/03,383532,345055,304483,11.15,25.96,1150670,953694,20.65,-
2018/04,358828,383532,302412,-6.44,18.65,1509498,1256106,20.17,-
2018/05,401616,358828,330125,11.92,21.65,1911114,1586231,20.48,-
2018/06,407061,401616,328515,1.35,23.90,2318175,1914746,21.06,-
2018/07,440084,407061,366179,8.11,20.18,2758259,2280925,20.92,-
2018/08,456092,440084,414050,3.63,10.15,3214351,2694975,19.27,-
2018/09,458806,456092,412421,0.59,11.24,3673157,3107396,18.20,-
2018/10,402189,458806,388512,-12.34,3.52,4075346,3495908,16.57,-
2018/11,393146,402189,372695,-2.24,5.48,4468492,3868603,15.50,-
2018/12,378443,393146,355329,-3.73,6.50,4846935,4223932,14.74,-
2019/01,405961,378443,422083,7.27,-3.81,405961,422083,-3.81,-
2019/02,343070,405961,345055,-15.49,-0.57,749031,767138,-2.36,-
2019/03,341994,343070,383532,-0.31,-10.83,1091025,1150670,-5.18,-
2019/04,337940,341994,358828,-1.18,-5.82,1428965,1509498,-5.33,-
2019/05,326911,337940,401616,-3.26,-18.60,1755876,1911114,-8.12,-
2019/06,341747,326911,407061,4.53,-16.04,2097623,2318175,-9.51,-
2019/07,369072,341747,440084,7.99,-16.13,2466695,2758259,-10.57,-
2019/08,394365,369072,456092,6.85,-13.53,2861060,3214351,-10.99,-
