得利影,	6144
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,57957,78657,64896,-26.31,-10.69,57957,64896,-10.69,-
2015/02,61409,57957,48846,5.95,25.71,119366,113742,4.94,-
2015/03,78533,61409,55384,27.88,41.79,197834,169126,16.97,-
2015/04,67886,78533,81282,-13.55,-16.48,265720,250567,6.04,-
2015/05,57258,67886,54690,-15.65,4.69,322978,305257,5.80,-
2015/06,89334,57258,82063,56.02,8.86,412312,387320,6.45,-
2015/07,61029,89334,60084,-31.68,1.57,473348,447404,5.79,-
2015/08,40539,61029,65656,-33.57,-38.25,513875,513060,0.15,-
2015/09,69205,40539,66512,70.71,4.04,583080,579571,0.60,-
2015/10,62205,69205,76527,-10.11,-18.71,645286,656099,-1.64,-
2015/11,62108,62205,65324,-0.15,-4.92,707459,721422,-1.93,-
2015/12,92875,62108,78667,49.53,18.06,800334,800089,0.03,-
2016/01,61203,92875,57957,-34.10,5.60,61203,57957,5.60,-
2016/02,55302,61203,61409,-9.64,-9.94,116505,119366,-2.39,-
2016/03,73141,55302,78533,32.25,-6.86,189645,197834,-4.13,-
2016/04,53068,73141,67886,-27.44,-21.82,240517,265720,-9.48,-
2016/05,56282,53068,57258,6.05,-1.70,296799,322978,-8.10,-
2016/06,55871,56282,89334,-0.73,-37.45,352670,412312,-14.46,-
2016/07,74606,55871,61029,33.53,22.24,424746,473348,-10.26,-
2016/08,51752,74606,40539,-30.63,27.65,476498,513875,-7.27,-
2016/09,57869,51752,69205,11.81,-16.38,534367,583080,-8.35,-
2016/10,52595,57869,62205,-9.11,-15.44,587058,645286,-9.02,-
2016/11,54075,52595,62108,2.81,-12.93,641133,707459,-9.37,-
2016/12,53074,54075,92875,-1.85,-42.85,694207,800334,-13.26,-
2017/01,44070,53074,61203,-16.96,-27.99,44070,61203,-27.99,-
2017/02,38540,44070,55302,-12.54,-30.30,82610,116505,-29.09,-
2017/03,45876,38540,73141,19.03,-37.27,128486,189645,-32.24,-
2017/04,66009,45876,53068,43.88,24.38,194495,240517,-19.13,-
2017/05,39201,66009,56282,-40.61,-30.34,233835,296799,-21.21,-
2017/06,44226,39201,55871,12.81,-20.84,277554,352670,-21.29,-
2017/07,51654,44226,74606,16.79,-30.76,329208,424746,-22.49,-
2017/08,53724,51654,51752,4.00,3.81,383339,476498,-19.55,-
2017/09,66178,53724,57869,23.18,14.35,449517,534367,-15.87,-
2017/10,53085,66178,52595,-19.78,0.93,502602,587058,-14.38,-
2017/11,51691,53085,54075,-2.62,-4.40,554262,641133,-13.54,-
2017/12,53161,51691,53074,2.84,0.16,607423,694207,-12.50,-
2018/01,38553,53161,44070,-27.47,-12.51,38553,44070,-12.51,-
2018/02,33084,38553,38540,-14.18,-14.15,71637,82610,-13.28,-
2018/03,49916,33084,45876,50.87,8.80,121553,128486,-5.39,-
2018/04,41599,49916,66009,-16.66,-36.97,163152,194495,-16.11,-
2018/05,50889,41599,39201,22.33,29.81,214041,233835,-8.46,-
2018/06,51852,50889,44226,1.89,17.24,265893,277554,-4.20,-
2018/07,53271,51852,51654,2.73,3.13,319164,329208,-3.05,-
2018/08,51053,53271,53724,-4.16,-4.97,370217,383339,-3.42,-
2018/09,49606,51053,66178,-2.83,-25.04,419823,449517,-6.60,-
2018/10,37940,49606,53085,-23.51,-28.52,457763,502602,-8.92,-
2018/11,39092,37940,51691,3.03,-24.37,496854,554262,-10.35,-
2018/12,35603,39092,53161,-8.92,-33.02,532457,607423,-12.34,-
