晉倫,	6151
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,192986,177161,168191,8.93,14.74,192986,168191,14.74,-
2015/02,122662,192986,135385,-36.43,-9.39,315648,303576,3.97,-
2015/03,176262,122662,192830,43.69,-8.59,491910,496406,-0.90,-
2015/04,183709,176262,196228,4.22,-6.37,675619,692634,-2.45,-
2015/05,186442,183709,184437,1.48,1.08,862061,877071,-1.71,-
2015/06,141472,186442,181828,-24.12,-22.19,1003533,1058899,-5.22,"本月營收較上月及去年同期減少24%及22%,部份係受大陸遷廠,調節客戶出貨時間影响"
2015/07,154815,141472,177697,9.43,-12.87,1158348,1236596,-6.32,-
2015/08,165944,154815,141664,7.18,17.13,1324292,1378260,-3.91,-
2015/09,158785,165944,165891,-4.31,-4.28,1483077,1544151,-3.95,-
2015/10,145433,158785,155050,-8.40,-6.20,1628510,1699201,-4.16,-
2015/11,144920,145433,167428,-0.35,-13.44,1773430,1866629,-4.99,-
2015/12,164239,144920,177161,13.33,-7.29,1937669,2043790,-5.19,-
2016/01,179000,164239,192986,8.98,-7.24,179000,192986,-7.24,-
2016/02,100649,179000,122662,-43.77,-17.94,279649,315648,-11.40,-
2016/03,157077,100649,176262,56.06,-10.88,436726,491910,-11.21,-
2016/04,177372,157077,183709,12.92,-3.44,614098,675619,-9.10,-
2016/05,168767,177372,186442,-4.85,-9.48,782865,862061,-9.18,-
2016/06,139508,168767,141472,-17.33,-1.38,922373,1003533,-8.08,-
2016/07,143205,139508,154815,2.65,-7.49,1065578,1158348,-8.00,-
2016/08,150396,143205,165944,5.02,-9.36,1215974,1324292,-8.17,-
2016/09,141992,150396,158785,-5.58,-10.57,1357966,1483077,-8.43,-
2016/10,165604,141992,145433,16.62,13.86,1523570,1628510,-6.44,-
2016/11,173365,165604,144920,4.68,19.62,1696935,1773430,-4.31,-
2016/12,168242,173365,164239,-2.95,2.43,1865177,1937669,-3.74,-
2017/01,138953,168242,179000,-17.40,-22.37,138953,179000,-22.37,-
2017/02,135950,138953,100649,-2.16,35.07,274903,279649,-1.69,-
2017/03,175074,135950,157077,28.77,11.45,449977,436726,3.03,-
2017/04,173265,175074,177372,-1.03,-2.31,623242,614098,1.48,-
2017/05,143276,173265,168767,-17.30,-15.10,766518,782865,-2.08,-
2017/06,138089,143276,139508,-3.62,-1.01,904607,922373,-1.92,-
2017/07,163032,138089,143205,18.06,13.84,1067639,1065578,0.19,-
2017/08,161004,163032,150396,-1.24,7.05,1228643,1215974,1.04,-
2017/09,173962,161004,141992,8.04,22.51,1402605,1357966,3.28,-
2017/10,157768,173962,165604,-9.30,-4.73,1560373,1523570,2.41,-
2017/11,180314,157768,173365,14.29,4.00,1740687,1696935,2.57,-
2017/12,191190,180314,168242,6.03,13.63,1931877,1865177,3.57,-
2018/01,194862,191190,138953,1.92,40.23,194862,138953,40.23,-
2018/02,135757,194862,135950,-30.33,-0.14,330619,274903,20.26,-
2018/03,213133,135757,175074,56.99,21.73,543752,449977,20.83,-
2018/04,172455,213133,173265,-19.08,-0.46,716207,623242,14.91,-
2018/05,159865,172455,143276,-7.30,11.57,876072,766518,14.29,-
2018/06,176459,159865,138089,10.38,27.78,1052531,904607,16.35,-
2018/07,147301,176459,163032,-16.52,-9.64,1199832,1067639,12.38,-
2018/08,165060,147301,161004,12.05,2.51,1364892,1228643,11.08,-
2018/09,134020,165060,173962,-18.80,-22.96,1498912,1402605,6.86,-
2018/10,139440,134020,157768,4.04,-11.61,1638352,1560373,4.99,-
2018/11,145949,139440,180314,4.66,-19.05,1784301,1740687,2.50,-
2018/12,130791,145949,191190,-10.38,-31.59,1915092,1931877,-0.86,-
