華電網,	6163
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,246782,475102,317009,-48.05,-22.15,246782,317009,-22.15,-
2015/02,134306,246782,185890,-45.57,-27.74,381088,502899,-24.22,-
2015/03,414351,134306,205559,208.51,101.57,795439,708458,12.27,-
2015/04,447771,414351,228938,8.06,95.58,1243210,937396,32.62,-
2015/05,380800,447771,268005,-14.95,42.08,1624010,1205401,34.72,-
2015/06,311665,380800,342015,-18.15,-8.87,1935675,1547416,25.09,-
2015/07,173234,311665,216269,-44.41,-19.89,2108909,1763685,19.57,-
2015/08,160569,173234,206130,-7.31,-22.10,2269478,1969815,15.21,-
2015/09,151423,160569,305997,-5.69,-50.51,2420901,2275812,6.37,本月因部分案件未達交貨驗收期限，故未能認列相關營收
2015/10,155621,151423,282662,2.77,-44.94,2576522,2558474,0.70,-
2015/11,158525,155621,306211,1.86,-48.23,2735047,2864685,-4.52,-
2015/12,384921,158525,475102,142.81,-18.98,3119968,3339787,-6.58,-
2016/01,529997,384921,246782,37.68,114.76,529997,246782,114.76,本月營業額較去年同期增加，係因本月較多成交案已達完工驗收時點，故認列相關收入成本
2016/02,153978,529997,134306,-70.94,14.64,683975,381088,79.47,因本年度一月份有較多成交案未於去年底完工驗收，故延至本年度一月，導致累計營收較去年為多
2016/03,92354,153978,414351,-40.02,-77.71,776329,795439,-2.40,去年度因電信整合業務有較多案件於3月驗收，故使得營收增加
2016/04,274950,92354,447771,197.71,-38.59,1051279,1243210,-15.43,-
2016/05,254029,274950,380800,-7.60,-33.29,1305308,1624010,-19.62,-
2016/06,179074,254029,311665,-29.50,-42.54,1484382,1935675,-23.31,-
2016/07,233026,179074,173234,30.12,34.51,1717408,2108909,-18.56,-
2016/08,257286,233026,160569,10.41,60.23,1974694,2269478,-12.98,因部分成交案於本月份完工驗收，故較上期收入增加
2016/09,162734,257286,151423,-36.74,7.46,2137428,2420901,-11.70,-
2016/10,256400,162734,155621,57.55,64.75,2393828,2576522,-7.09,因本月聯發科等客戶於本月交貨，故認列較多銷貨收入
2016/11,356192,256400,158525,38.92,124.69,2750020,2735047,0.54,因本公司本月較多成交案交貨完成及完工驗收，故較去年同月增加營收數
2016/12,1076975,356192,384921,202.35,179.79,3826995,3119968,22.66,今年年底有多筆成交單完工驗收，故較去年同期營收增加許多
2017/01,162303,1076975,529997,-84.92,-69.37,162303,529997,-69.37,因去年度一月份有較大案件完工驗收，故營收金額較多
2017/02,139340,162303,153978,-14.14,-9.50,301643,683975,-55.89,因去年一月份有較多成交單完工驗收，故去年累計營收較今年多
2017/03,231835,139340,92354,66.38,151.02,533478,776329,-31.28,因去年度3月份較少成交案認列驗收，故營業額較少
2017/04,188449,231835,274950,-18.71,-31.46,721926,1051279,-31.32,-
2017/05,129477,188449,254029,-31.29,-49.03,851403,1305308,-34.77,-
2017/06,277443,129477,179074,114.27,54.93,1128846,1484382,-23.95,本月營業額較上期多係因較多成交案於本月交貨或驗收完成所致。
2017/07,234076,277443,233026,-15.63,0.45,1362922,1717408,-20.64,-
2017/08,365801,234076,257286,56.27,42.17,1728723,1974694,-12.45,-
2017/09,975185,365801,163456,166.58,496.60,2703908,2138150,26.46,本月份因BRT案驗收結案，故營業額較高
2017/10,202670,975185,256400,-79.21,-20.95,2906578,2394550,21.38,-
2017/11,330130,202670,356174,62.89,-7.31,3236708,2750724,17.66,-
2017/12,678677,330130,1075960,105.57,-36.92,3915385,3826684,2.31,-
2018/01,314471,678677,162303,-53.66,93.75,314471,162303,93.75,本月比去年同期有較多成交單交貨驗收完成，故營業額增加。
2018/02,183305,314471,139340,-41.71,31.55,497776,301643,65.02,因上月比去年同期有較多成交單交貨驗收完成，故本年累計營業額較去年增加。
2018/03,243544,183305,231835,32.86,5.05,741320,533478,38.95,-
2018/04,112948,243544,188448,-53.62,-40.06,854268,721926,18.33,-
2018/05,533632,112948,129477,372.45,312.14,1387900,851403,63.01,因本期有一筆較大金額之成交案完工驗收˙故營業額較上期高
2018/06,241934,533632,277443,-54.66,-12.79,1629834,1128846,44.38,-
2018/07,375921,241934,234076,55.38,60.59,2005755,1362922,47.16,本公司有較多成交單交貨完成或完工驗收，故營業收入較上月增加
2018/08,273108,375921,365801,-27.34,-25.33,2278863,1728723,31.82,-
2018/09,443057,273108,975185,62.22,-54.56,2721920,2703908,0.66,主要係因去年度九月份台中BRT驗收結案，故營收大幅增加
2018/10,235972,443057,202670,-46.74,16.43,2957892,2906578,1.76,-
2018/11,483064,235972,330130,104.71,46.32,3440956,3236708,6.31,-
2018/12,902003,483064,678677,86.72,32.90,4342959,3915385,10.92,-
2019/01,173353,902003,314471,-80.78,-44.87,173353,314471,-44.87,-
2019/02,248486,173353,183305,43.34,35.55,421839,497776,-15.25,-
2019/03,359138,248486,243544,44.53,47.46,780977,741320,5.34,-
2019/04,331310,359138,112948,-7.74,193.32,1112287,854268,30.20,本月份銷貨之成交案驗收及在建工程收入增加較多所致
2019/05,197556,331310,533629,-40.37,-62.97,1309843,1387897,-5.62,因去年度五月有較多成交案完工驗收，且在建之工程因成本投入較多故認列收入亦較多
