旺矽,	6223
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,333635,346990,209106,-3.84,59.55,333635,209106,59.55,-
2015/02,256551,333635,206995,-23.10,23.94,590186,416101,41.83,-
2015/03,341464,256551,307612,33.09,11.00,931651,723713,28.73,-
2015/04,349547,341464,312116,2.36,11.99,1280835,1035829,23.65,-
2015/05,307221,349547,310906,-12.10,-1.18,1588056,1346735,17.91,-
2015/06,363042,307221,287448,18.16,26.29,1951098,1634183,19.39,-
2015/07,332354,363042,468211,-8.45,-29.01,2283047,2102394,8.59,-
2015/08,376702,332354,429014,13.34,-12.19,2659749,2531408,5.06,-
2015/09,349610,376702,425450,-7.19,-17.82,3009359,2956858,1.77,-
2015/10,319530,349610,408601,-8.60,-21.79,3329143,3365459,-1.07,-
2015/11,351931,319530,451747,10.14,-22.09,3681075,3817206,-3.56,-
2015/12,331894,351931,338926,-5.69,-2.07,4012969,4156132,-3.44,-
2016/01,311021,331894,333635,-6.28,-6.77,311021,333635,-6.77,-
2016/02,242481,311021,256551,-22.03,-5.48,553502,590186,-6.21,-
2016/03,354241,242481,341102,46.09,3.85,907743,931288,-2.52,-
2016/04,419630,354241,349547,18.45,20.04,1327876,1280835,3.67,-
2016/05,438497,419630,307221,4.49,42.73,1766373,1588056,11.22,-
2016/06,433948,438497,362637,-1.03,19.66,2200321,1950693,12.79,-
2016/07,473138,433948,332354,9.03,42.35,2673690,2283047,17.11,-
2016/08,482049,473138,376702,1.88,27.96,3155739,2659749,18.64,-
2016/09,473628,482049,349864,-1.74,35.37,3629367,3009613,20.59,-
2016/10,469141,473628,319531,-0.94,46.82,4106322,3329144,23.34,-
2016/11,422767,469141,351931,-9.88,20.12,4529089,3681075,23.03,-
2016/12,432714,422767,332095,2.35,30.29,4961803,4013170,23.63,-
2017/01,313878,432714,311021,-27.46,0.91,313878,311021,0.91,-
2017/02,388244,313878,242481,23.69,60.11,702122,553502,26.85,相較去年同期訂單回溫
2017/03,426136,388244,354744,9.75,20.12,1128258,908246,24.22,-
2017/04,323490,426136,419630,-24.08,-22.91,1451488,1327876,9.30,-
2017/05,392179,323490,438497,21.23,-10.56,1843667,1766373,4.37,-
2017/06,391831,392179,434179,-0.08,-9.75,2235498,2200552,1.58,-
2017/07,315010,391831,473138,-19.60,-33.42,2550588,2673690,-4.60,-
2017/08,326608,315010,482049,3.68,-32.24,2877196,3155739,-8.82,-
2017/09,416017,326608,481442,27.37,-13.58,3293213,3637181,-9.45,-
2017/10,377439,416017,469141,-9.27,-19.54,3670774,4106322,-10.60,-
2017/11,436725,377439,422767,15.70,3.30,4107499,4529089,-9.30,-
2017/12,341713,436725,432666,-21.75,-21.02,4449212,4961755,-10.32,-
2018/01,349478,341713,313878,2.27,11.34,349478,313878,11.34,-
2018/02,297223,349478,388244,-14.95,-23.44,646701,702122,-7.89,-
2018/03,445107,297223,425876,49.75,4.51,1091808,1127998,-3.20,-
2018/04,300023,445107,323490,-32.59,-7.25,1391712,1451488,-4.11,-
2018/05,341484,300023,392179,13.81,-12.92,1733197,1843667,-5.99,-
2018/06,462716,341484,391911,35.50,18.06,2195913,2235578,-1.77,-
2018/07,470192,462716,315010,1.61,49.26,2665269,2550588,4.49,-
2018/08,489140,470192,326608,4.02,49.76,3154409,2877196,9.63,-
