百徽,	6259
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,103948,160185,128113,-35.10,-18.86,103948,128113,-18.86,-
2015/02,76110,103948,100069,-26.78,-23.94,180058,228182,-21.09,-
2015/03,121497,76110,113362,59.63,7.17,301555,341544,-11.70,-
2015/04,122912,121497,148332,1.16,-17.13,424467,489876,-13.35,-
2015/05,132269,122912,136435,7.61,-3.05,556736,626311,-11.10,-
2015/06,98433,132269,121445,-25.58,-18.94,655169,747756,-12.38,-
2015/07,94623,98433,110766,-3.87,-14.57,749792,858522,-12.66,-
2015/08,134455,94623,113877,42.09,18.07,884247,972399,-9.06,-
2015/09,81933,134455,124344,-39.06,-34.10,966180,1096743,-11.90,-
2015/10,73604,81933,109139,-10.16,-32.55,1039784,1205882,-13.77,-
2015/11,62277,73604,103236,-15.38,-39.67,1102061,1309118,-15.81,-
2015/12,49134,62277,160185,-21.10,-69.32,1151195,1469303,-21.65,兩期同月差異主係LED業務減少
2016/01,49086,49134,103948,-0.09,-52.77,49086,103948,-52.77,兩期同月差異主係LED業務減少
2016/02,30343,49086,76110,-38.18,-60.13,79429,180058,-55.88,兩期同月差異主係LED業務減少
2016/03,48331,30343,121497,59.28,-60.22,127760,301555,-57.63,兩期同月差異主係LED業務減少
2016/04,43805,48331,122912,-9.36,-64.36,171565,424467,-59.58,兩期同月差異主係LED業務減少
2016/05,37724,43805,132269,-13.88,-71.47,209289,556736,-62.40,兩期同月差異主係LED業務減少
2016/06,38746,37724,98433,2.70,-60.63,248035,655169,-62.14,兩期同月差異主係LED業務減少
2016/07,25784,38746,94623,-33.45,-72.75,273819,749792,-63.48,兩期同月差異主係LED業務減少、電視機及電感業務減少所致。
2016/08,28598,25784,134455,10.91,-78.73,302417,884247,-65.79,兩期同月差異主係LED業務減少、電視機及電感業務減少所致。
2016/09,41920,28598,81933,46.58,-48.83,344337,966180,-64.36,兩期同月差異主係LED業務減少、電視機及電感業務減少所致。
2016/10,37139,41920,73604,-11.40,-49.54,381476,1039784,-63.31,兩期同月差異主係LED業務減少、電視機及電感業務減少所致。
2016/11,32826,37139,62277,-11.61,-47.29,414302,1102061,-62.40,兩期同月差異主係LED業務減少、電視機及電感業務減少所致。
2016/12,34100,32826,49134,3.88,-30.59,448402,1151195,-61.04,兩期同月差異主係LED業務減少、電視機及電感業務減少所致。
2017/01,24807,34100,49086,-27.25,-49.46,24807,49086,-49.46,兩期同月差異主係LED業務減少、電視機及電感業務減少所致。
2017/02,20825,24807,30343,-16.05,-31.36,45632,79429,-42.54,兩期同月差異主係電視機及電感業務減少所致。
2017/03,26591,20825,48331,27.68,-44.98,72223,127760,-43.46,兩期同月差異主係電視機及電感業務減少所致。
2017/04,24501,26591,43805,-7.85,-44.06,96724,171565,-43.62,兩期同月差異主係電視機及電感業務減少所致。
2017/05,24267,24501,37724,-0.95,-35.67,120991,209289,-42.18,兩期同月差異主係電視機及電感業務減少所致
2017/06,23700,24267,38746,-2.33,-38.83,144691,248035,-41.66,兩期同月差異主係電視機及電感業務減少所致
2017/07,22973,23700,25784,-3.06,-10.90,167664,273819,-38.76,兩期同月差異主係電感業務減少所致
2017/08,24036,22973,28598,4.62,-15.95,191700,302417,-36.61,-
2017/09,24631,24036,41920,2.47,-41.24,216331,344337,-37.17,兩期同月差異主係電視機及電感業務減少所致
2017/10,23882,24631,37139,-3.04,-35.69,240213,381476,-37.03,兩期同月差異主係電視機及電感業務減少所致
2017/11,24296,23882,32826,1.73,-25.98,264509,414302,-36.15,兩期同月差異主係電視機及電感業務減少所致
2017/12,22445,24296,34100,-7.61,-34.17,286954,448402,-36.00,-
2018/01,25933,22445,24807,15.54,4.53,25933,24807,4.53,-
2018/02,14381,25933,20825,-44.54,-30.94,40314,45632,-11.65,-
2018/03,23757,14381,26591,65.19,-10.65,64071,72223,-11.28,-
2018/04,21624,23757,24501,-8.97,-11.74,85695,96724,-11.40,-
2018/05,19197,21624,24267,-11.22,-20.89,104892,120991,-13.30,-
