啟發電,	6512
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/03,58245,32664,37174,78.31,56.68,153851,90285,70.40,-
2015/04,34152,58245,29606,-41.36,15.35,188003,119891,56.81,-
2015/05,31304,34152,62203,-8.33,-49.67,219307,182094,20.43,-
2015/06,33840,31304,38011,8.10,-10.97,253147,220105,15.01,-
2015/07,43346,33840,43180,28.09,0.38,295996,263285,12.42,-
2015/08,44559,43346,64463,2.79,-30.87,340555,327748,3.90,-
2015/09,50295,44559,53086,12.87,-5.25,390850,380834,2.63,-
2015/10,66205,50295,83132,31.63,-20.36,457055,463967,-1.48,-
2015/11,63760,66205,63786,-3.69,-0.04,520815,527752,-1.31,-
2015/12,58635,63760,52060,-8.03,12.62,579450,579812,-0.06,-
2016/01,62783,58635,62942,7.07,-0.25,62783,62942,-0.25,-
2016/02,46421,62783,32664,-26.06,42.11,109204,95606,14.22,-
2016/03,66411,46421,58245,43.06,14.02,175615,153851,14.14,-
2016/04,37493,66411,34152,-43.54,9.78,213107,188003,13.35,-
2016/05,40914,37493,31304,9.12,30.69,254022,219307,15.82,-
2016/06,27492,40914,33344,-32.80,-17.55,281514,252650,11.42,-
2016/07,35906,27492,43346,30.60,-17.16,317421,295996,7.23,-
2016/08,60312,35906,44559,67.97,35.35,377734,340555,10.91,-
2016/09,50609,60312,50295,-16.08,0.62,428343,390850,9.59,-
2016/10,52812,50609,66205,4.35,-20.22,481155,457055,5.27,-
2016/11,38096,52812,63760,-27.86,-40.25,519250,520815,-0.30,-
2016/12,25296,38096,58635,-33.59,-56.85,544546,579450,-6.02,現為產品替換期，客戶不願大量鋪貨，導致營收下跌
2017/01,32879,25296,62783,29.97,-47.63,32879,62783,-47.63,-
2017/02,23524,32879,46421,-28.45,-49.32,56403,109204,-48.35,-
2017/03,36641,23524,66411,55.76,-44.82,93044,175615,-47.01,-
2017/04,31819,36641,37493,-13.16,-15.13,124863,213107,-41.40,-
2017/05,31215,31819,40914,-1.89,-23.70,156078,254022,-38.55,-
2017/06,32442,31215,27492,3.93,18.00,188520,281514,-33.03,-
2017/07,31176,32442,35906,-3.90,-13.17,219696,317421,-30.78,-
2017/08,38213,31176,60312,22.57,-36.64,257909,377734,-31.72,-
2017/09,39472,38213,50609,3.29,-22.00,297381,428343,-30.57,-
2017/10,30620,39472,52812,-22.42,-42.02,328001,481155,-31.83,-
2017/11,37770,30620,38096,23.35,-0.85,365771,519250,-29.55,-
2017/12,55993,37770,25296,48.24,121.35,421764,544546,-22.54,105年12月因產品替換期，以致營收下降；本月份維持以往水準。
2018/01,36963,55993,32879,-33.98,12.42,36963,32879,12.42,-
2018/02,25930,36963,23524,-29.84,10.22,62893,56403,11.50,-
2018/03,37132,25930,36641,43.20,1.34,100026,93044,7.50,-
2018/04,26761,37132,31819,-27.93,-15.89,126787,124863,1.54,-
2018/05,24520,26761,31215,-8.37,-21.44,151307,156078,-3.05,-
2018/06,29420,24520,32442,19.98,-9.31,180727,188520,-4.13,-
2018/07,32359,29420,31176,9.98,3.79,213086,219696,-3.00,-
2018/08,33349,32359,38213,3.05,-12.72,246435,257909,-4.44,-
2018/09,28122,33349,39472,-15.67,-28.75,274558,297381,-7.67,-
2018/10,37585,28122,30620,33.64,22.74,312143,328001,-4.83,-
