順藥,	6535
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/09,0,0,0,,,0,0,,無異動
2015/10,0,0,0,,,0,0,,無異動
2015/11,0,0,0,,,0,0,,無異動
2015/12,9524,0,0,,,9524,0,,簽約金
2016/01,0,9524,0,-100.00,,0,0,,無異動
2016/02,0,0,0,,,0,0,,無異動
2016/03,0,0,0,,,0,0,,無異動
2016/04,0,0,0,,,0,0,,無異動
2016/05,0,0,0,,,0,0,,無異動
2016/06,12203,0,0,,,12203,0,,簽約金收入
2016/07,0,12203,0,-100.00,,12203,0,,簽約金收入
2016/08,0,0,0,,,12203,0,,簽約金收入
2016/09,0,0,0,,,12203,0,,簽約金收入
2016/10,143,0,0,,,12345,0,,勞務收入
2016/11,119,143,0,-16.78,,12464,0,,勞務收入
2016/12,0,119,9524,-100.00,-100.00,12464,9524,30.86,104年簽約金收入；105年勞務及簽約金收入
2017/01,821,0,0,,,821,0,,勞務收入
2017/02,821,821,0,0.00,,1643,0,,勞務收入
2017/03,23482,821,0,2760.17,,25124,0,,里程碑金及勞務收入
2017/04,821,23482,0,-96.50,,25946,0,,勞務收入
2017/05,2964,821,0,261.02,,28910,0,,納疼解收入
2017/06,821,2964,12203,-72.30,-93.27,29731,12203,143.63,勞務收入
2017/07,822,821,0,0.12,,30553,12203,150.37,勞務收入
2017/08,821,822,0,-0.12,,31374,12203,157.10,勞務收入
2017/09,821,821,0,0.00,,32195,12203,163.82,勞務收入
2017/10,822,821,143,0.12,474.82,33017,12345,167.45,勞務收入
2017/11,821,822,119,-0.12,589.91,33838,12464,171.48,勞務收入
2017/12,1421,821,0,73.08,,35259,12464,182.88,勞務收入
2018/01,5900,1421,821,315.20,618.63,5900,821,618.63,簽約金收入及勞務收入
2018/02,47,5900,821,-99.20,-94.27,5947,1643,261.95,勞務收入
2018/03,3048,47,23482,6385.10,-87.01,8995,25124,-64.19,勞務收入及銷貨收入
2018/04,48,3048,821,-98.42,-94.15,9043,25946,-65.14,勞務收入
2018/05,47,48,2964,-2.08,-98.41,9090,28910,-68.55,勞務收入
