慧智,	6615
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2017/01,28414,32593,31506,-12.82,-9.81,28414,31506,-9.81,-
2017/02,34288,28414,27538,20.67,24.51,62702,59044,6.19,-
2017/03,35649,34288,34799,3.96,2.44,98351,93843,4.80,-
2017/04,33007,35649,32576,-7.41,1.32,131358,126419,3.90,-
2017/05,36819,33007,32254,11.54,14.15,168177,158673,5.98,-
2017/06,37871,36819,33802,2.85,12.03,206048,192475,7.05,-
2017/07,35945,37871,32603,-5.08,10.25,241993,225078,7.51,-
2017/08,37239,35945,33535,3.59,11.04,279232,258613,7.97,-
2017/09,34690,37239,29223,-6.84,18.70,313922,287836,9.06,-
2017/10,36708,34690,32321,5.81,13.57,350630,320157,9.51,-
2017/11,36067,36708,31195,-1.74,15.61,386697,351352,10.05,-
2017/12,37247,36067,32593,3.27,14.27,423944,383945,10.41,-
2018/01,38360,37247,28414,2.98,35.00,38360,28414,35.00,-
2018/02,32583,38360,34288,-15.05,-4.97,70943,62702,13.14,-
2018/03,41601,32583,35649,27.67,16.69,112544,98351,14.43,-
2018/04,37900,41601,33007,-8.89,14.82,150444,131358,14.52,-
2018/05,39772,37900,36819,4.93,8.02,190216,168177,13.10,-
2018/06,38035,39772,37871,-4.36,0.43,228251,206048,10.77,-
2018/07,37303,38035,35945,-1.92,3.77,265554,241993,9.73,-
2018/08,39226,37303,37239,5.15,5.33,304780,279232,9.14,-
2018/09,35811,39226,34690,-8.70,3.23,340591,313922,8.49,-
