光菱,	8032
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,382565,333857,403811,14.58,-5.26,382565,403811,-5.26,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/02,223771,382565,318226,-41.50,-29.68,606193,722105,-16.05,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/03,379039,223771,365623,69.38,3.66,985472,1087805,-9.40,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/04,339561,379039,398535,-10.41,-14.79,1325074,1486467,-10.85,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/05,318429,339561,351498,-6.22,-9.40,1643645,1838120,-10.58,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/06,329723,318429,380475,3.54,-13.33,1973322,2218750,-11.06,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/07,374994,329723,385672,13.73,-2.76,2345411,2604428,-9.94,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/08,343967,374994,371894,-8.27,-7.50,2689257,2976091,-9.63,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/09,442444,343967,341938,28.62,29.39,3131690,3318188,-5.62,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/10,409649,442444,351330,-7.41,16.59,3541311,3669666,-3.49,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/11,391576,409649,323354,-4.41,21.09,3934430,3993941,-1.49,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2015/12,406943,391576,333857,3.92,21.89,4339485,4327958,0.26,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/01,408697,406943,382565,0.43,6.83,408697,382565,6.83,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/02,292670,408697,223771,-28.38,30.78,701249,606193,15.68,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/03,434570,292670,379039,48.48,14.65,1136474,985472,15.32,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/04,377020,434570,339561,-13.24,11.03,1513617,1325074,14.22,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/05,400689,377020,318429,6.27,25.83,1914669,1643645,16.48,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/06,384971,400689,329723,-3.92,16.75,2299398,1973322,16.52,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/07,373569,384971,374994,-2.96,-0.38,2670766,2345411,13.87,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/08,421085,373569,343967,12.71,22.42,3092498,2689257,14.99,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
2016/09,464429,421085,442444,10.29,4.96,3558286,3131690,13.62,註：本月(年)新台幣(累計)營業收入淨額=本月(年)功能性貨幣(累計)營業收入淨額x本月(年累計)換算匯率
