瑞穎,	8083
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,118384,99048,103937,19.52,13.89,118384,103937,13.89,-
2015/02,86941,118384,83450,-26.56,4.18,205325,187387,9.57,-
2015/03,124207,86941,107800,42.86,15.21,329532,295187,11.63,-
2015/04,129891,124207,112650,4.57,15.30,459423,407837,12.64,-
2015/05,103576,129891,113738,-20.25,-8.93,562999,521575,7.94,-
2015/06,106738,103576,106147,3.05,0.55,669737,627722,6.69,-
2015/07,113143,106738,119537,6.00,-5.34,782880,747259,4.76,-
2015/08,106074,113143,112659,-6.24,-5.84,888954,859918,3.37,-
2015/09,102986,106074,111771,-2.91,-7.85,991940,971689,2.08,-
2015/10,88918,102986,101433,-13.66,-12.33,1080858,1073122,0.72,-
2015/11,85363,88918,93101,-3.99,-8.31,1166221,1166223,-0.00,-
2015/12,86301,85363,99048,1.09,-12.86,1252522,1265271,-1.00,-
2016/01,110480,86301,118384,28.01,-6.67,110480,118384,-6.67,-
2016/02,87069,110480,86941,-21.19,0.14,197549,205325,-3.78,-
2016/03,119526,87069,124207,37.27,-3.76,317075,329532,-3.78,-
2016/04,131662,119526,129891,10.15,1.36,448737,459423,-2.32,-
2016/05,127734,131662,103576,-2.98,23.32,576471,562999,2.39,-
2016/06,127242,127734,106738,-0.38,19.20,703713,669737,5.07,-
2016/07,127090,127242,113143,-0.11,12.32,830803,782880,6.12,-
2016/08,124102,127090,106074,-2.35,16.99,954905,888954,7.41,-
2016/09,115296,124102,102986,-7.09,11.95,1070201,991940,7.88,-
2016/10,100241,115296,88918,-13.05,12.73,1170442,1080858,8.28,-
2016/11,111020,100241,85363,10.75,30.05,1281462,1166221,9.88,-
2016/12,106151,111020,86301,-4.38,23.00,1387613,1252522,10.78,-
2017/01,113859,106151,110480,7.26,3.05,113859,110480,3.05,-
2017/02,87529,113859,87069,-23.12,0.52,201388,197549,1.94,-
2017/03,134612,87529,119526,53.79,12.62,336000,317075,5.96,-
2017/04,126530,134612,131662,-6.00,-3.89,462530,448737,3.07,-
2017/05,120078,126530,127734,-5.09,-5.99,582608,576471,1.06,-
2017/06,115706,120078,127242,-3.64,-9.06,698314,703713,-0.76,-
2017/07,115058,115706,127090,-0.56,-9.46,813372,830803,-2.09,-
2017/08,111833,115058,124102,-2.80,-9.88,925205,954905,-3.11,-
2017/09,105403,111833,115296,-5.74,-8.58,1030608,1070201,-3.69,-
2017/10,100141,105403,100241,-4.99,-0.09,1130749,1170442,-3.39,-
2017/11,112215,100141,111020,12.05,1.07,1242964,1281462,-3.00,-
2017/12,102559,112215,106151,-8.60,-3.38,1345523,1387613,-3.03,-
2018/01,120371,102559,113859,17.36,5.71,120371,113859,5.71,-
2018/02,90038,120371,87529,-25.19,2.86,210409,201388,4.47,-
2018/03,137080,90038,134612,52.24,1.83,347489,336000,3.41,-
2018/04,124350,137080,126530,-9.28,-1.72,471839,462530,2.01,-
2018/05,120576,124350,120078,-3.03,0.41,592415,582608,1.68,-
2018/06,106254,120576,115706,-11.87,-8.16,698669,698314,0.05,-
2018/07,110542,106254,115058,4.03,-3.92,809211,813372,-0.51,-
2018/08,126111,110542,111833,14.08,12.76,935322,925205,1.09,-
2018/09,108982,126111,105403,-13.58,3.39,1044304,1030608,1.32,-
2018/10,103854,108982,100141,-4.70,3.70,1148158,1130749,1.53,-
2018/11,115076,103854,112215,10.80,2.54,1263234,1242964,1.63,-
2018/12,114823,115076,102559,-0.21,11.95,1378057,1345523,2.41,-
2019/01,142024,114823,120371,23.68,17.98,142024,120371,17.98,-
