天宇,	8171
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,143791,286468,205875,-49.80,-30.15,143791,205875,-30.15,-
2015/02,207535,143791,170148,44.33,21.97,351326,376023,-6.56,-
2015/03,159107,207535,318505,-23.33,-50.04,510433,694528,-26.50,-
2015/04,213364,159107,493091,34.10,-56.72,723797,1187619,-39.05,-
2015/05,214354,213364,391846,0.46,-45.29,938151,1579465,-40.60,-
2015/06,176418,214354,208076,-17.69,-15.21,1114569,1787541,-37.64,-
2015/07,211003,176418,222096,19.60,-4.99,1325572,2009637,-34.03,-
2015/08,177533,211003,188442,-15.86,-5.78,1503105,2198079,-31.61,-
2015/09,216658,177533,252483,22.03,-14.18,1719763,2450562,-29.82,-
2015/10,206497,216658,253773,-4.68,-18.62,1926260,2704335,-28.77,-
2015/11,137403,206497,243082,-33.46,-43.47,2063663,2947417,-29.98,-
2015/12,156177,137403,286468,13.66,-45.48,2219840,3233885,-31.35,-
2016/01,171968,156177,143791,10.11,19.59,171968,143791,19.59,-
2016/02,161644,171968,207535,-6.00,-22.11,333612,351326,-5.04,-
2016/03,73168,161644,159107,-54.73,-54.01,406780,510433,-20.30,本月及本年營收均較去年同期減少主要係因出貨量減少所致
2016/04,116561,73168,213364,59.30,-45.36,523341,723797,-27.69,-
2016/05,106110,116561,214354,-8.96,-50.49,629451,938151,-32.90,本月及本年營收均較去年同期減少主要係因出貨量減少所致
2016/06,130230,106110,176418,22.73,-26.18,759681,1114569,-31.84,-
2016/07,246054,130230,211003,88.93,16.61,1005735,1325572,-24.12,-
2016/08,165042,246054,177533,-32.92,-7.03,1170777,1503105,-22.10,-
2016/09,135794,165042,216658,-17.72,-37.32,1306571,1719763,-24.02,-
2016/10,100375,135794,206497,-26.08,-51.39,1406946,1926260,-26.95,本月及本年營收均較去年同期減少主要係因出貨量減少所致
2016/11,153906,100375,137403,53.33,12.01,1560852,2063663,-24.36,-
2016/12,117613,153906,156177,-23.58,-24.69,1678465,2219840,-24.38,-
2017/01,177496,117613,171968,50.91,3.21,177496,171968,3.21,-
2017/02,107818,177496,161644,-39.25,-33.29,285314,333612,-14.47,-
2017/03,119811,107818,73168,11.12,63.74,405125,406780,-0.40,本月較去年同期增加主要係因出貨量增加所致
2017/04,75928,119811,116561,-36.62,-34.85,481053,523341,-8.08,-
2017/05,55232,75928,106110,-27.25,-47.94,536285,629451,-14.80,-
2017/06,55154,55232,130230,-0.14,-57.64,591439,759681,-22.14,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2017/07,84321,55154,246054,52.88,-65.73,675760,1005735,-32.80,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2017/08,57283,84321,165042,-32.06,-65.29,733043,1170777,-37.38,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2017/09,35176,57283,135794,-38.59,-74.09,768219,1306571,-41.20,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2017/10,28584,35176,100375,-18.74,-71.52,796803,1406946,-43.36,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2017/11,28266,28584,153906,-1.11,-81.63,825069,1560852,-47.13,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2017/12,39278,28266,117613,38.95,-66.60,864347,1678465,-48.50,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2018/01,37636,39278,177496,-4.18,-78.79,37636,177496,-78.79,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2018/02,27670,37636,107818,-26.47,-74.33,65306,285314,-77.11,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2018/03,34928,27670,119811,26.23,-70.84,100234,405125,-75.25,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2018/04,31395,34928,75928,-10.11,-58.65,131629,481053,-72.63,本月及本年度營收均較去年同期減少主要係出貨量減少所致。
2018/05,52149,31395,55232,66.10,-5.58,183778,536285,-65.73,本月及本年度營收均較去年同期減少主要係出貨量減少所致。
2018/06,45464,52149,55154,-12.81,-17.56,229242,591439,-61.23,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2018/07,32955,45464,84321,-27.51,-60.91,262197,675760,-61.19,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2018/08,26945,32955,57283,-18.23,-52.96,289142,733043,-60.55,本月及本年營收均較去年同期減少主要係出貨量減少所致。
2018/09,38548,26945,35176,43.06,9.58,327690,768219,-57.34,本月及本年營收均較去年同期減少主要係出貨量減少所致。
