森田,	8410
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,48892,94095,67720,-48.03,-27.80,48892,67720,-27.80,-
2015/02,35159,48892,54456,-28.08,-35.43,84051,122176,-31.20,-
2015/03,56673,35159,84385,61.19,-32.83,140724,206561,-31.87,-
2015/04,53212,56673,100400,-6.10,-47.00,193937,306962,-36.82,-
2015/05,42299,53212,99729,-20.50,-57.58,236236,406690,-41.91,-
2015/06,42185,42299,87011,-0.26,-51.51,278420,493701,-43.60,本月營收減少達50％以上，主係筆記型電腦（NB）用轉印膜銷售下滑所致。
2015/07,50077,42185,66869,18.70,-25.11,328497,560570,-41.39,-
2015/08,51446,50077,78805,2.73,-34.71,379943,639375,-40.57,-
2015/09,67368,51446,79740,30.94,-15.51,447311,719115,-37.79,-
2015/10,79499,67368,88463,18.00,-10.13,526810,807578,-34.76,-
2015/11,77198,79499,77543,-2.89,-0.44,604009,885120,-31.75,-
2015/12,75194,77198,94095,-2.59,-20.08,679202,979215,-30.63,-
2016/01,57107,75194,48892,-24.05,16.80,57107,48892,16.80,-
2016/02,49745,57107,35159,-12.89,41.48,106853,84051,27.12,-
2016/03,80249,49745,56673,61.32,41.60,187102,140724,32.95,-
2016/04,66929,80249,53212,-16.59,25.77,254031,193937,30.98,-
2016/05,67873,66929,42299,1.41,60.46,321905,236236,36.26,本月營收較去年同期增加60%，主係筆記型電腦（NB）用轉印膜銷售上升所致。
2016/06,54613,67873,42185,-19.53,29.46,376518,278420,35.23,-
2016/07,72386,54613,50077,32.54,44.54,448903,328497,36.65,-
2016/08,92725,72386,51446,28.09,80.23,541628,379943,42.55,本月營收較去年同期增加80%，主係筆記型電腦（NB）用轉印膜銷售上升所致。
2016/09,84113,92725,67368,-9.28,24.85,625742,447311,39.88,-
2016/10,75416,84113,79499,-10.33,-5.13,701157,526810,33.09,-
2016/11,74776,75416,77198,-0.84,-3.13,775933,604009,28.46,-
2016/12,92617,74776,75194,23.85,23.17,868549,679202,27.87,-
2017/01,52932,92617,57107,-42.84,-7.31,52932,57107,-7.31,-
2017/02,50970,52932,49745,-3.70,2.46,103903,106853,-2.76,-
2017/03,78797,50970,80249,54.59,-1.80,182700,187102,-2.35,-
2017/04,74601,78797,66929,-5.32,11.46,257301,254031,1.28,-
2017/05,88184,74601,67873,18.20,29.92,345485,321905,7.32,-
2017/06,92743,88184,54613,5.16,69.81,438228,376518,16.38,本月營收較去年同期增加70%，主係筆記型電腦（NB）用轉印膜銷售上升所致。
2017/07,93448,92743,72386,0.76,29.09,531676,448903,18.43,-
2017/08,116038,93448,92725,24.17,25.14,647714,541628,19.58,-
2017/09,92337,116038,84113,-20.42,9.77,740051,625742,18.26,-
2017/10,91413,92337,75416,-1.00,21.21,831463,701157,18.58,-
2017/11,100271,91413,74776,9.69,34.09,931735,775933,20.07,-
2017/12,101975,100271,92617,1.69,10.10,1033709,868549,19.01,-
2018/01,70309,101975,52932,-31.05,32.82,70309,52932,32.82,-
2018/02,44678,70309,50970,-36.45,-12.34,114987,103903,10.66,-
2018/03,87025,44678,78797,94.78,10.44,202012,182700,10.57,-
2018/04,80310,87025,74601,-7.71,7.65,282322,257301,9.72,-
2018/05,86916,80310,88184,8.22,-1.43,369238,345485,6.87,-
2018/06,76953,86916,92743,-11.46,-17.02,446191,438228,1.81,-
2018/07,96246,76953,93448,25.07,2.99,542436,531676,2.02,-
2018/08,99991,96246,116038,3.89,-13.82,642427,647714,-0.81,-
2018/09,82691,99991,92337,-17.30,-10.44,725118,740051,-2.01,-
2018/10,103645,82691,91413,25.34,13.38,828764,831463,-0.32,-
2018/11,95871,103645,100271,-7.50,-4.38,924634,931735,-0.76,-
2018/12,88582,95871,101975,-7.60,-13.13,1013217,1033709,-1.98,-
2019/01,74630,88582,70309,-15.75,6.14,74630,70309,6.14,-
2019/02,43824,74630,44678,-41.27,-1.91,118454,114987,3.01,-
