大國鋼,	8415
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/09,923716,944742,947158,-2.22,-2.47,8479175,8661480,-2.10,-
2015/10,915533,923716,1011985,-0.88,-9.53,9394708,9673465,-2.88,-
2015/11,798030,915533,820532,-12.83,-2.74,10192738,10493997,-2.87,-
2015/12,754376,798030,859178,-5.47,-12.19,10947114,11353175,-3.57,-
2016/01,854332,754376,946921,13.25,-9.77,854332,946921,-9.77,-
2016/02,860777,854332,895125,0.75,-3.83,1715109,1842046,-6.89,-
2016/03,914938,860777,1005712,6.29,-9.02,2630047,2847758,-7.64,-
2016/04,863470,914938,986300,-5.62,-12.45,3493517,3834058,-8.88,-
2016/05,881427,863470,887266,2.07,-0.65,4374944,4721324,-7.33,-
2016/06,912416,881427,951700,3.51,-4.12,5287360,5673024,-6.79,-
2016/07,785161,912416,937693,-13.94,-16.26,6072521,6610717,-8.14,-
2016/08,880168,785161,944742,12.10,-6.83,6952689,7555459,-7.97,-
2016/09,831263,880168,923716,-5.55,-10.00,7783952,8479175,-8.19,-
2016/10,808467,831263,915533,-2.74,-11.69,8592419,9394708,-8.53,-
2016/11,780252,808467,798030,-3.48,-2.22,9372671,10192738,-8.04,-
2016/12,723370,780252,754376,-7.29,-4.11,10096041,10947114,-7.77,-
2017/01,887143,723370,854332,22.64,3.84,887143,854332,3.84,-
2017/02,839646,887143,860777,-5.35,-2.45,1726789,1715109,0.68,-
2017/03,995911,839646,914938,18.61,8.85,2722700,2630047,3.52,-
2017/04,857465,995911,863470,-13.90,-0.69,3580165,3493517,2.48,-
2017/05,966569,857465,881427,12.72,9.65,4546734,4374944,3.92,-
2017/06,998599,966569,912416,3.31,9.44,5545333,5287360,4.87,-
2017/07,827824,998599,785161,-17.10,5.43,6373157,6072521,4.95,-
2017/08,977516,827824,880168,18.08,11.06,7350673,6952689,5.72,-
2017/09,958197,977516,831263,-1.97,15.27,8308870,7783952,6.74,-
2017/10,1043084,958197,808467,8.85,29.01,9351954,8592419,8.83,-
2017/11,1010303,1043084,780252,-3.14,29.48,10362257,9372671,10.55,-
2017/12,929401,1010303,723370,-8.00,28.48,11291658,10096041,11.84,-
2018/01,1153542,929401,887143,24.11,30.02,1153542,887143,30.02,-
2018/02,1112128,1153542,839646,-3.59,32.45,2265670,1726789,31.20,-
2018/03,1640134,1112128,995911,47.47,64.68,3905804,2722700,43.45,本月增減百分比達50％以上，主要是本公司新增投資大成帝國鋁業公司及子公司併購其他公司產生綜效所致。
2018/04,1290462,1640134,857465,-21.31,50.49,5196266,3580165,45.14,本月增減百分比達50％以上，主要是本公司新增投資大成帝國鋁業公司及子公司併購其他公司產生綜效所致。
2018/05,1599607,1290462,966569,23.95,65.49,6795873,4546734,49.46,本月增減百分比達50％以上，主要是本公司新投資大成帝國鋁業公司及子公司去年第四季併購其他公司產生綜效所致。
2018/06,1423438,1599607,959065,-11.01,48.41,8219311,5505799,49.28,-
2018/07,1388163,1423438,867358,-2.47,60.04,9607474,6373157,50.74,本月增減百分比達50％以上，主要是本公司新投資大成帝國鋁業公司及子公司去年第四季併購其他公司產生綜效所致。
2018/08,1466937,1388163,977516,5.67,50.06,11074411,7350673,50.65,本月增減百分比達50％以上，主要是本公司新投資大成帝國鋁業公司及子公司去年第四季併購其他公司產生綜效所致。
2018/09,1404196,1466937,958197,-4.27,46.54,12478607,8308870,50.18,本月增減百分比達50％以上，主要是本公司新投資大成帝國鋁業公司及子公司去年第四季併購其他公司產生綜效所致。
2018/10,1559326,1404196,1043084,11.04,49.49,14037933,9351954,50.10,本年增加百分比達50％以上，主要是本公司新投資大成帝國鋁業公司及子公司去年第四季併購其他公司產生綜效所致。
2018/11,1339185,1559326,1010303,-14.11,32.55,15377118,10362257,48.39,-
2018/12,1333145,1339185,929401,-0.45,43.44,16710263,11291658,47.98,-
2019/01,1586503,1333145,1153542,19.00,37.53,1586503,1153542,37.53,-
2019/02,1655964,1586503,1112128,4.37,48.90,3242467,2265670,43.11,-
2019/03,1831965,1655964,1640134,10.62,11.69,5074432,3905804,29.92,-
2019/04,1581190,1831965,1290462,-13.68,22.52,6655622,5196266,28.08,-
2019/05,1733184,1581190,1599607,9.61,8.35,8388806,6795873,23.43,-
2019/06,1679423,1733184,1423438,-3.10,17.98,10068229,8219311,22.49,-
2019/07,1802035,1679423,1388163,7.30,29.81,11870264,9607474,23.55,-
2019/08,1800752,1802035,1466937,-0.07,22.75,13671016,11074411,23.44,-
