鉅邁,	8435
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,41899,64969,47903,-35.50,-12.53,41899,47903,-12.53,-
2015/02,40141,41899,38972,-4.19,2.99,82040,86875,-5.56,-
2015/03,59346,40141,52536,47.84,12.96,141386,139411,1.41,-
2015/04,47165,59346,51411,-20.52,-8.25,188551,190822,-1.19,-
2015/05,46786,47165,52453,-0.80,-10.80,235337,243275,-3.26,-
2015/06,69336,46786,56346,48.19,23.05,304673,299621,1.68,-
2015/07,56232,69336,59364,-18.89,-5.27,360905,358985,0.53,-
2015/08,60339,56232,54466,7.30,10.78,421244,413451,1.88,-
2015/09,51999,60339,51413,-13.82,1.13,473243,464864,1.80,-
2015/10,50184,51999,54522,-3.49,-7.95,523427,519386,0.77,-
2015/11,51169,50184,53078,1.96,-3.59,574596,572464,0.37,-
2015/12,61285,51169,64969,19.76,-5.67,635881,637433,-0.24,-
2016/01,50306,61285,41899,-17.91,20.06,50306,41899,20.06,-
2016/02,35679,50306,40141,-29.07,-11.11,85985,82040,4.80,-
2016/03,54617,35679,59346,53.07,-7.96,140602,141386,-0.55,-
2016/04,47512,54617,47165,-13.00,0.73,188114,188551,-0.23,-
2016/05,60454,47512,46786,27.23,29.21,248568,235337,5.62,-
2016/06,62025,60454,69336,2.59,-10.54,310593,304673,1.94,-
2016/07,51476,62025,56232,-17.00,-8.45,362069,360905,0.32,-
2016/08,54685,51476,60339,6.23,-9.37,416754,421244,-1.06,-
2016/09,52155,54685,51999,-4.62,0.30,468909,473243,-0.91,-
2016/10,52546,52155,50184,0.74,4.70,521455,523427,-0.37,-
2016/11,64322,52546,51169,22.41,25.70,585777,574596,1.94,-
2016/12,71303,64322,61285,10.85,16.34,657080,635881,3.33,-
2017/01,46151,71303,50306,-35.27,-8.25,46151,50306,-8.25,-
2017/02,49642,46151,35679,7.56,39.13,95793,85985,11.40,-
2017/03,60534,49642,54617,21.94,10.83,156327,140602,11.18,-
2017/04,58702,60534,47512,-3.02,23.55,215029,188114,14.30,-
2017/05,73777,58702,60454,25.68,22.03,288806,248568,16.18,-
2017/06,73058,73777,62025,-0.97,17.78,361864,310593,16.50,-
2017/07,85432,73058,51476,16.93,65.96,447296,362069,23.53,客戶下單量提升
2017/08,59433,85432,54685,-30.43,8.68,506729,416754,21.58,-
2017/09,59502,59433,52155,0.11,14.08,566231,468909,20.75,-
2017/10,57977,59502,52546,-2.56,10.33,624208,521455,19.70,-
2017/11,60852,57977,64322,4.95,-5.39,685060,585777,16.94,-
2017/12,61432,60852,71303,0.95,-13.84,746492,657080,13.60,-
2018/01,56912,61432,46151,-7.35,23.31,56912,46151,23.31,-
2018/02,49942,56912,49642,-12.24,0.60,106854,95793,11.54,-
2018/03,67757,49942,60534,35.67,11.93,174611,156327,11.69,-
2018/04,55805,67757,58702,-17.63,-4.93,230416,215029,7.15,-
2018/05,62589,55805,73777,12.15,-15.16,293005,288806,1.45,-
2018/06,63619,62589,73058,1.64,-12.91,356624,361864,-1.44,-
2018/07,70157,63619,85432,10.27,-17.87,426781,447296,-4.58,-
