華研,	8446
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,54866,126110,55275,-56.49,-0.73,54866,55275,-0.73,-
2015/02,49268,54866,42270,-10.20,16.55,104133,97545,6.75,-
2015/03,96596,49268,57348,96.06,68.43,200730,154893,29.59,-
2015/04,82744,96596,58250,-14.34,42.04,283473,213143,32.99,-
2015/05,108192,82744,102661,30.75,5.38,391666,315804,24.02,-
2015/06,86320,108192,78186,-20.21,10.40,477986,393990,21.31,-
2015/07,74690,86320,98539,-13.47,-24.20,552676,492530,12.21,-
2015/08,90314,74690,143362,20.91,-37.00,642990,635891,1.11,"去年本月於台北小巨蛋自辦兩場S.H.E Together Forever演唱會安可場(營收51,947仟元)，本月無自辦演唱會"
2015/09,96407,90314,61432,6.74,56.93,739397,697323,6.03,"本月於高雄巨蛋自辦一場田馥甄[如果]演唱會(營收25,644仟元)，去年本月無自辦演唱會"
2015/10,98503,96407,77286,2.17,27.45,837900,774609,8.17,-
2015/11,96954,98503,58276,-1.57,66.37,934854,832885,12.24,今年度擴大網路及智能手機數位音樂授權業務，各月授權收入提高；本月於重慶舉辦田馥甄[如果]演唱會，去年同期無相似活動。
2015/12,116801,96954,127493,20.47,-8.38,1051655,960379,9.50,-
2016/01,89599,116801,54866,-23.28,63.30,89599,54866,63.30,本公司藝人獲邀參與多個中國地區實境秀節目主持及表演、自2015年來擴大授權，演藝經紀收入及數位音樂授權收入均增加。
2016/02,71833,89599,49268,-19.82,45.80,161432,104133,55.02,本公司藝人獲邀參與多個中國地區實境秀節目主持及表演、自2015年來擴大授權，演藝經紀收入及數位音樂授權收入均增加。
2016/03,86829,71833,96596,20.87,-10.11,248261,200730,23.67,-
2016/04,78738,86829,82744,-9.31,-4.84,326998,283473,15.35,-
2016/05,129361,78738,108192,64.29,19.56,456359,391666,16.51,-
2016/06,119486,129361,86320,-7.63,38.42,575846,477986,20.47,-
2016/07,147286,119486,74690,23.26,97.19,723131,552676,30.84,本月重點藝人專輯發行實體銷售及授權增加，且演唱會較去年同期場次為多所致
2016/08,160675,147286,90314,9.09,77.90,883806,642990,37.45,本月主要係藝人經紀活動及演唱會較去年同期場次為多所致
2016/09,150947,160675,96407,-6.05,56.57,1034753,739397,39.94,本月主要係藝人經紀活動及演唱會較去年同期場次為多所致
2016/10,168706,150947,98503,11.76,71.26,1203459,837900,43.62,本月主要係藝人經紀活動較去年同月為多所致
2016/11,161132,168706,96954,-4.48,66.19,1364591,934854,45.96,本月主要係藝人經紀活動較去年同月為多所致
2016/12,266781,161132,116801,65.56,128.40,1631372,1051655,55.12,主要係本月舉辦田馥甄小巨蛋演唱會三場及藝人經紀活動較去年同期多所致
2017/01,102951,266781,89599,-61.40,14.90,102951,89599,14.90,-
2017/02,69910,102951,71833,-32.09,-2.67,172861,161432,7.07,-
2017/03,82294,69910,86829,17.71,-5.22,255155,248261,2.77,-
2017/04,156496,82294,78738,90.16,98.75,411651,326998,25.88,主要係藝人演藝經紀收入較去年同月增加所致
2017/05,135587,156496,129361,-13.36,4.81,547239,456359,19.91,-
2017/06,103778,135587,119486,-23.46,-13.14,651016,575846,13.05,-
2017/07,134875,103778,147286,29.96,-8.42,785891,723131,8.67,-
2017/08,114507,134875,160675,-15.10,-28.73,900398,883806,1.87,-
2017/09,163396,114507,150947,42.69,8.24,1063794,1034753,2.80,-
2017/10,145433,163396,168706,-10.99,-13.79,1209227,1203459,0.47,-
2017/11,152576,145433,161132,4.91,-5.30,1361803,1364591,-0.20,-
2017/12,180499,152576,266781,18.30,-32.34,1542302,1631372,-5.45,-
2018/01,126444,180499,102951,-29.94,22.81,126444,102951,22.81,-
2018/02,76325,126444,69910,-39.63,9.17,202768,172861,17.30,-
2018/03,131042,76325,82294,71.68,59.23,333810,255155,30.82,主要是授權收入增加所致
2018/04,180940,131042,156496,38.07,15.61,514750,411651,25.04,-
2018/05,206455,180940,135587,14.10,52.26,721205,547239,31.78,主要為藝人參與音樂季商業演出、電視及網路實境節目及數位音樂授權收入，皆較去年同期增加所致。
2018/06,133385,206455,103778,-35.39,28.52,854591,651016,31.27,-
2018/07,121743,133385,134875,-8.72,-9.73,976333,785891,24.23,-
2018/08,140650,121743,114507,15.53,22.83,1116983,900398,24.05,-
2018/09,151329,140650,163396,7.59,-7.38,1268312,1063794,19.22,-
2018/10,122101,151329,145433,-19.31,-16.04,1390413,1209227,14.98,-
2018/11,127371,122101,152576,4.31,-16.51,1517784,1361803,11.45,-
2018/12,177344,127371,190901,39.23,-7.10,1695128,1552704,9.17,-
2019/01,124057,177344,126444,-30.04,-1.88,124057,126444,-1.88,-
2019/02,96552,124057,76325,-22.17,26.50,220609,202768,8.79,-
2019/03,105475,96552,131042,9.24,-19.51,326084,333810,-2.31,-
2019/04,116433,105475,180940,10.38,-35.65,442517,514750,-14.03,-
2019/05,143134,116433,206455,22.93,-30.67,585651,721205,-18.79,-
2019/06,124585,143134,133385,-12.95,-6.59,710235,854591,-16.89,-
2019/07,138525,124585,121743,11.18,13.78,848760,976333,-13.06,-
2019/08,128767,138525,140650,-7.04,-8.44,977528,1116983,-12.48,-
