億豐,	8464
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,1246763,1439248,1135348,-13.37,9.81,1246763,1135348,9.81,-
2015/02,917468,1246763,802955,-26.41,14.26,2164231,1938303,11.65,-
2015/03,1323787,917468,1058497,44.28,25.06,3488018,2996800,16.39,-
2015/04,1362858,1323787,1285676,2.95,6.00,4850876,4282476,13.27,-
2015/05,1346384,1362858,1223207,-1.20,10.07,6197260,5505683,12.56,-
2015/06,1444226,1346384,1122540,7.26,28.65,7641486,6628223,15.28,-
2015/07,1485977,1444226,1122300,2.89,32.40,9127463,7750523,17.76,-
2015/08,1473728,1485977,1189561,-0.82,23.88,10601191,8940084,18.58,-
2015/09,1554782,1473728,1102484,5.49,41.02,12155973,10042568,21.04,-
2015/10,1624138,1554782,1209949,4.46,34.23,13780111,11252517,22.46,-
2015/11,1485900,1624138,1166352,-8.51,27.39,15266011,12418869,22.92,-
2015/12,1554540,1485900,1440274,4.61,7.93,16820551,13859143,21.36,-
2016/01,1339510,1554540,1246763,-13.83,7.43,1339510,1246763,7.43,-
2016/02,1198352,1339510,917468,-10.53,30.61,2537862,2164231,17.26,-
2016/03,1602841,1198352,1323787,33.75,21.07,4140703,3488018,18.71,-
2016/04,1646967,1602841,1362858,2.75,20.84,5787670,4850876,19.31,-
2016/05,1636199,1646967,1346384,-0.65,21.52,7423869,6197260,19.79,-
2016/06,1661490,1636199,1444226,1.54,15.04,9085359,7641486,18.89,-
2016/07,1581264,1661490,1485977,-4.82,6.41,10666623,9127463,16.86,-
2016/08,1699985,1581264,1473728,7.50,15.35,12366608,10601191,16.65,-
2016/09,1646698,1699985,1554782,-3.13,5.91,14013306,12155973,15.27,-
2016/10,1611557,1646698,1624138,-2.13,-0.77,15624863,13780111,13.38,-
2016/11,1610010,1611557,1485900,-0.09,8.35,17234873,15266011,12.89,-
2016/12,1629064,1610010,1554540,1.18,4.79,18863937,16820551,12.14,-
2017/01,1423285,1629064,1339510,-12.63,6.25,1423285,1339510,6.25,-
2017/02,1240581,1423285,1198352,-12.83,3.52,2663866,2537862,4.96,-
2017/03,1657344,1240581,1602841,33.59,3.40,4321210,4140703,4.35,-
2017/04,1737041,1657344,1646967,4.80,5.46,6058251,5787670,4.67,-
2017/05,1754262,1737041,1636199,0.99,7.21,7812513,7423869,5.23,-
2017/06,1791273,1754262,1661490,2.10,7.81,9603786,9085359,5.70,-
2017/07,1635926,1791273,1581264,-8.67,3.45,11239712,10666623,5.37,-
2017/08,1697499,1635926,1699985,3.76,-0.14,12937211,12366608,4.61,-
2017/09,1813894,1697499,1646698,6.85,10.15,14751105,14013306,5.26,-
2017/10,1601165,1813894,1611557,-11.72,-0.64,16352270,15624863,4.65,-
2017/11,1635458,1601165,1610010,2.14,1.58,17987728,17234873,4.36,-
2017/12,1708403,1635458,1629064,4.46,4.87,19696131,18863937,4.41,-
2018/01,1718833,1708403,1423285,0.61,20.76,1718833,1423285,20.76,-
2018/02,1287615,1718833,1240581,-25.08,3.79,3006448,2663866,12.86,-
2018/03,1675585,1287615,1657344,30.13,1.10,4682033,4321210,8.35,-
2018/04,1761981,1675585,1737041,5.15,1.43,6444014,6058251,6.36,-
2018/05,1834948,1761981,1754262,4.14,4.59,8278962,7812513,5.97,-
2018/06,1962687,1834948,1791273,6.96,9.56,10241649,9603786,6.64,-
2018/07,1895619,1962687,1635926,-3.41,15.87,12137268,11239712,7.98,-
2018/08,1934057,1895619,1697499,2.02,13.93,14071325,12937211,8.76,-
