大汽電,	8931
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,120988,121127,113334,-0.11,6.75,120988,113334,6.75,-
2015/02,91573,120988,94669,-24.31,-3.27,212561,208002,2.19,-
2015/03,123778,91573,114785,35.16,7.83,336339,322787,4.19,-
2015/04,111033,123778,110414,-10.29,0.56,447373,433201,3.27,-
2015/05,103004,111033,118076,-7.23,-12.76,550377,551277,-0.16,-
2015/06,117568,103004,125229,14.13,-6.11,667945,676506,-1.26,-
2015/07,119794,117568,128239,1.89,-6.58,787739,804745,-2.11,-
2015/08,117244,119794,120461,-2.12,-2.67,904983,925206,-2.18,-
2015/09,112873,117244,119412,-3.72,-5.47,1017856,1044618,-2.56,-
2015/10,106998,112873,117751,-5.20,-9.13,1124854,1162369,-3.22,-
2015/11,103229,106998,109675,-3.52,-5.87,1228083,1272044,-3.45,-
2015/12,118349,103229,121127,14.64,-2.29,1346431,1393171,-3.35,-
2016/01,105945,118349,120988,-10.48,-12.43,105945,120988,-12.43,-
2016/02,97107,105945,91573,-8.34,6.04,203052,212561,-4.47,-
2016/03,120018,97107,123778,23.59,-3.03,323070,336339,-3.94,-
2016/04,98693,120018,111033,-17.76,-11.11,421763,447373,-5.72,-
2016/05,102718,98693,103004,4.07,-0.27,524481,550377,-4.70,-
2016/06,117081,102718,117568,13.98,-0.41,641562,667945,-3.94,-
2016/07,117097,117081,119794,0.01,-2.25,758658,787739,-3.69,-
2016/08,121222,117097,117244,3.52,3.39,879880,904983,-2.77,-
2016/09,113091,121222,112873,-6.70,0.19,992972,1017856,-2.44,-
2016/10,105056,113091,106998,-7.10,-1.81,1098028,1124854,-2.38,-
2016/11,103668,105056,103229,-1.32,0.42,1201696,1228083,-2.14,-
2016/12,112176,103668,118349,8.20,-5.21,1313872,1346431,-2.41,-
2017/01,102555,112176,105945,-8.57,-3.19,102555,105945,-3.19,-
2017/02,101770,102555,97107,-0.76,4.80,204324,203052,0.62,-
2017/03,130726,101770,120018,28.45,8.92,335050,323070,3.70,-
2017/04,127009,130726,98693,-2.84,28.69,462060,421763,9.55,-
2017/05,129192,127009,102718,1.71,25.77,591252,524481,12.73,-
2017/06,155832,129192,117081,20.62,33.09,747084,641562,16.44,-
2017/07,164731,155832,117097,5.71,40.67,911815,758658,20.18,-
2017/08,179856,164731,121222,9.18,48.36,1091672,879880,24.07,-
2017/09,155736,179856,113091,-13.41,37.70,1247408,992972,25.62,-
2017/10,132791,155736,105056,-14.73,26.40,1380199,1098028,25.69,-
2017/11,123733,132791,103668,-6.82,19.35,1503932,1201696,25.15,-
2017/12,122977,123733,112176,-0.61,9.62,1626909,1313872,23.82,-
2018/01,132827,122977,102555,8.00,29.51,132827,102555,29.51,-
2018/02,104923,132827,101770,-21.00,3.09,237750,204324,16.35,-
2018/03,146977,104923,130726,40.08,12.43,384727,335050,14.82,-
2018/04,143026,146977,127009,-2.68,12.61,527753,462060,14.21,-
2018/05,165036,143026,129192,15.38,27.74,692789,591252,17.17,-
2018/06,156500,165036,155832,-5.17,0.42,849289,747084,13.68,-
2018/07,168472,156500,164731,7.64,2.27,1017761,911815,11.61,-
2018/08,170883,168472,179856,1.43,-4.98,1188644,1091672,8.88,-
2018/09,159823,170883,155736,-6.47,2.62,1348467,1247408,8.10,-
2018/10,142756,159823,132791,-10.67,7.50,1491223,1380199,8.04,-
2018/11,141885,142756,123733,-0.61,14.67,1633108,1503932,8.58,-
2018/12,145409,141885,122977,2.48,18.24,1778517,1626909,9.31,-
2019/01,144101,145409,132827,-0.89,8.48,144101,132827,8.48,-
2019/02,97103,144101,104923,-32.61,-7.45,241204,237750,1.45,-
