關中,	8941
日期,當月營收,上月營收,去年同月營收,MOM(%),YOY(%),當月累計營收,去年累計營收,累計YOY(%),Notes
2015/01,155168,197289,187619,-21.34,-17.29,155168,187619,-17.29,-
2015/02,203882,155168,201764,31.39,1.04,359050,389383,-7.79,-
2015/03,223942,203882,225478,9.83,-0.68,582992,614861,-5.18,-
2015/04,213039,223942,212524,-4.86,0.24,796031,827385,-3.78,-
2015/05,258213,213039,237440,21.20,8.74,1054244,1064825,-0.99,-
2015/06,266283,258213,223664,3.12,19.05,1320527,1288489,2.48,-
2015/07,218640,266283,247222,-17.89,-11.56,1539167,1535711,0.22,-
2015/08,200594,218640,240817,-8.25,-16.70,1739761,1776528,-2.06,-
2015/09,187608,200594,217691,-6.47,-13.81,1927369,1994219,-3.35,-
2015/10,191024,187608,193120,1.82,-1.08,2118393,2187339,-3.15,-
2015/11,176449,191024,156855,-7.62,12.49,2294842,2344194,-2.10,-
2015/12,230412,176449,197289,30.58,16.78,2525254,2541483,-0.63,-
2016/01,203363,230412,155168,-11.73,31.05,203363,155168,31.05,-
2016/02,184554,203363,203882,-9.24,-9.47,387917,359050,8.03,-
2016/03,190328,184554,223942,3.12,-15.01,578245,582992,-0.81,-
2016/04,229256,190328,213039,20.45,7.61,807501,796031,1.44,-
2016/05,251529,229256,258213,9.71,-2.58,1059030,1054244,0.45,-
2016/06,228267,251529,266283,-9.24,-14.27,1287297,1320527,-2.51,-
2016/07,224198,228267,218640,-1.78,2.54,1511495,1539167,-1.79,-
2016/08,216889,224198,200594,-3.26,8.12,1728384,1739761,-0.65,-
2016/09,211880,216889,187608,-2.30,12.93,1940264,1927369,0.66,-
2016/10,161304,211880,191024,-23.87,-15.55,2101568,2118393,-0.79,-
2016/11,155775,161304,176449,-3.42,-11.71,2257343,2294842,-1.63,-
2016/12,209123,155775,230412,34.24,-9.23,2466466,2525254,-2.32,-
2017/01,185766,209123,203363,-11.16,-8.65,185766,203363,-8.65,-
2017/02,165566,185766,184554,-10.87,-10.28,351332,387917,-9.43,-
2017/03,191201,165566,190328,15.48,0.45,542533,578245,-6.17,-
2017/04,233671,191201,229256,22.21,1.92,776204,807501,-3.87,-
2017/05,267808,233671,251529,14.60,6.47,1044012,1059030,-1.41,-
2017/06,252163,267808,228267,-5.84,10.46,1296175,1287297,0.68,-
2017/07,212216,252163,224198,-15.84,-5.34,1508391,1511495,-0.20,-
2017/08,225648,212216,216889,6.32,4.03,1734039,1728384,0.32,-
2017/09,219072,225648,211880,-2.91,3.39,1953111,1940264,0.66,-
2017/10,169486,219072,161304,-22.63,5.07,2122597,2101568,1.00,-
2017/11,200066,169486,155775,18.04,28.43,2322663,2257343,2.89,-
2017/12,174154,200066,209123,-12.95,-16.72,2496817,2466466,1.23,-
2018/01,152009,174154,185766,-12.71,-18.17,152009,185766,-18.17,-
2018/02,164138,152009,165566,7.97,-0.86,316147,351332,-10.01,-
2018/03,177401,164138,191201,8.08,-7.21,493548,542533,-9.02,-
2018/04,230990,177401,233671,30.20,-1.14,724538,776204,-6.65,-
2018/05,258436,230990,267808,11.88,-3.49,982974,1044012,-5.84,-
2018/06,294885,258436,252163,14.10,16.94,1277859,1296175,-1.41,-
