合世,	1781
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,391409,301891,89518,40017,49501,14237,54586,1.22,460981
2013 Q2,346605,307103,39502,40665,-1163,11651,5910,0.13,469092
2013 Q3,323415,320226,3189,35173,-31984,1325,-28170,-0.61,472984
2013 Q4,1344645,1171260,173385,156651,16734,33581,27296,0.59,474076
2014 Q1,147830,131693,16137,34866,-18729,8844,-6662,-0.14,474076
2014 Q2,124953,118374,6579,33420,-26841,-4468,-26313,-0.56,474076
2014 Q3,205674,189013,16661,34017,-17356,9956,-6958,-0.15,474076
2014 Q4,618528,571195,47333,136836,-89503,26618,-52740,-1.11,474076
2015 Q1,163448,147730,15718,33285,-17567,218,-15395,-0.32,474076
2015 Q2,164107,151663,12444,35494,-23050,-2256,-18630,-0.39,474076
2015 Q3,240688,219136,21552,36753,-15201,16595,461,0.01,474076
2015 Q4,684604,628130,56474,143841,-87367,12779,-62029,-1.31,474076
