唐榮,	2035
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,4898111,4885097,13014,89735,-76721,-6781,-83538,-0.23,3500000
2013 Q2,3988027,4142830,-154803,92372,-247175,-1520,-281357,-0.95,3500000
2013 Q3,4781745,5075499,-293754,114747,-408501,-73996,-480056,-1.32,3500000
2013 Q4,18535991,18899853,-363862,431325,-795187,-120673,-950941,-2.76,3500000
2014 Q1,4976259,4619095,357164,102815,254349,12399,239164,0.55,3500000
2014 Q2,6796970,6278716,518254,103613,414641,-33772,378504,1.10,3500000
2014 Q3,5222676,5033001,189675,127157,62518,14597,62622,0.16,3500000
2014 Q4,20760477,19878147,882330,426425,455905,-46997,370900,1.00,3500000
2015 Q1,4058885,4195194,-136309,92857,-229166,13067,-224706,-0.67,3500000
2015 Q2,4581786,4687797,-106011,105515,-211526,-12815,-229413,-0.53,3500000
2015 Q3,3165500,3528461,-362961,68327,-431288,28117,-381368,-1.09,3500000
2015 Q4,14772646,15521576,-748930,347116,-1096046,127982,-966653,-2.66,3500000
2016 Q1,2614859,2688712,-73853,71753,-145606,84270,-73348,-0.21,3500000
2016 Q2,3241111,2870329,370782,84167,286615,30272,294887,0.84,3500000
2016 Q3,2702642,2511194,191448,71976,119472,11960,121172,0.35,3500000
