世德,	2066
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,220737,165406,55331,28981,26350,10325,30805,1.03,300500
2013 Q2,275016,192689,82327,29716,52611,4430,42899,1.43,300500
2013 Q3,281527,197930,83597,30778,52819,-18,44356,1.41,340165
2013 Q4,1063397,755988,307409,120140,187269,24983,173037,5.51,340174
2014 Q1,294509,204909,89600,33575,56025,15573,59426,1.75,340174
2014 Q2,331240,226265,104975,34620,70355,-3436,57150,1.68,357183
2014 Q3,318788,225106,93682,33343,60339,5099,54662,1.53,359713
2014 Q4,1277484,889221,388263,138133,250130,29896,234970,6.56,360402
2015 Q1,311403,209523,101880,41920,59960,-5659,45474,1.26,360402
2015 Q2,346995,240078,106917,39481,67436,3961,47185,1.31,360402
2015 Q3,317065,218767,98298,31755,66543,46237,94363,2.62,360402
2015 Q4,1294040,877466,416574,143724,272850,49256,256728,7.10,365029
2016 Q1,300333,193458,106875,37311,69564,-4585,53960,1.48,365029
2016 Q2,333333,218567,114766,36966,77800,-2158,50813,1.39,365029
2016 Q3,311255,205492,105763,33095,72668,-24094,40308,1.10,365029
2016 Q4,1279653,850651,429002,136463,292539,-13582,219588,6.02,365029
2017 Q1,326315,231561,94754,36559,58195,-38730,16893,0.46,365029
2017 Q2,325896,233657,92239,45089,47150,21241,55347,1.52,365029
