穩懋,	3105
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,2848050,1931989,916061,300142,615919,368927,789991,1.04,789991,0,7574570
2013 Q2,3183734,2138332,1045402,280903,764499,-97339,546784,0.72,1336775,1336775,7578548
2013 Q3,2523129,1764944,758185,273289,484896,-31462,348676,0.46,1685451,1685451,7586262
2013 Q4,10481303,7249118,3232185,1122570,2109615,102780,1811510,2.40,1811510,1811510,7392754
2014 Q1,1667026,1166863,500163,296627,203536,46439,213380,0.29,213380,0,7401960
2014 Q2,2461166,1599426,861740,292710,569030,6112,439876,0.59,653256,0,7406379
2014 Q3,3068956,1932004,1136952,271478,865474,23753,753069,1.02,1406325,0,7420685
2014 Q4,9910010,6400414,3509596,1194904,2314692,114262,1963469,2.65,1963469,0,7422377
2015 Q1,2806832,1743935,1062897,288428,774469,-32357,618471,0.83,618471,0,7433953
2015 Q2,3098992,1897687,1201305,299793,901512,-58846,536635,0.72,1155106,0,7441357
