律勝,	3354
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,215924,164653,51271,52910,-1639,10961,8234,0.10,820204
2013 Q2,217309,181917,35392,39723,-4331,8070,2000,0.02,840112
2013 Q3,218808,192231,26577,19780,6797,-6628,-2767,-0.03,840112
2013 Q4,851421,707610,143811,143956,-145,15435,1359,0.02,840112
2014 Q1,222612,190226,32386,32670,-284,8306,4717,0.06,840112
2014 Q2,213942,169563,44379,36313,8066,-5855,-442,-0.01,840112
2014 Q3,194093,152235,41858,30300,11558,10098,15237,0.18,840112
2014 Q4,806312,654604,151708,129308,22400,33020,35547,0.43,840112
2015 Q1,153531,127429,26102,26772,-670,-3283,-4180,-0.05,840112
2015 Q2,136298,114540,21758,31100,-9342,-5608,-8606,-0.10,840112
2015 Q3,133822,105352,28470,23095,5375,28859,27887,0.34,824852
2015 Q4,556643,448288,108355,107703,652,21239,20141,0.24,824852
2016 Q1,96340,76683,19657,26431,-6774,-7934,-13942,-0.17,824852
2016 Q2,100783,91691,9092,28499,-19407,6287,-10291,-0.12,824852
2016 Q3,134286,103161,31125,27719,3406,-8701,-4181,-0.06,701124
2016 Q4,453184,359489,93695,106560,-12865,19571,8598,0.11,701124
2017 Q1,102707,88856,13851,28524,-14673,-25391,-36484,-0.53,701124
2017 Q2,107916,77525,30391,25660,4731,4868,9592,0.14,701124
2017 Q3,169102,104283,64819,31273,33546,748,29135,0.42,701124
2017 Q4,561437,383603,177834,117217,60617,-24013,30945,0.45,701124
2018 Q1,123025,79920,43105,25874,17231,-15163,5921,0.09,701124
2018 Q2,116267,79764,36503,35581,922,46118,34449,0.50,701124
2018 Q3,149915,87051,62864,31682,31182,8321,29264,0.42,701124
