閎康,	3587
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,216931,131130,85801,37392,48409,951,42052,0.98,431131
2013 Q2,245008,139114,105894,38036,67858,153,61141,1.42,431131
2013 Q3,250308,140734,109574,39055,70519,-42,63344,1.47,431131
2013 Q4,957572,547172,410400,162312,248088,362,220526,5.12,431131
2014 Q1,243324,144773,98551,41625,56926,3305,46836,1.03,463131
2014 Q2,267275,161183,106092,42898,63194,-1218,47542,1.03,463131
2014 Q3,276040,158845,117195,46234,70961,1091,62343,1.35,463131
2014 Q4,1056018,615271,440747,177344,263403,7579,209572,4.54,463131
2015 Q1,221292,142600,78692,41509,37183,-978,25778,0.56,463131
2015 Q2,265450,163049,102401,42622,59779,-2702,37137,0.80,463131
2015 Q3,303820,189195,114625,45001,69624,8824,61135,1.33,463131
2015 Q4,1119899,693361,426538,189984,236554,5632,177577,3.85,463131
2016 Q1,311923,205830,106093,48511,57582,902,45733,1.00,463131
2016 Q2,371387,230776,140611,54859,85752,2858,65811,1.44,463131
2016 Q3,389243,225665,163578,61488,102090,-7109,68394,1.50,463131
2016 Q4,1458431,902751,555680,238083,317597,-4940,230430,4.94,533131
2017 Q1,378887,248326,130561,71728,58833,-19302,26171,0.50,533131
2017 Q2,406768,257430,149338,62952,86386,4432,64915,1.23,533131
2017 Q3,441322,319326,121996,64186,57810,4774,49721,0.94,533131
2017 Q4,1703720,1157638,546082,270995,275087,-11958,214807,4.04,623131
