駿熠電,	3642
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,204171,164995,39176,35515,3661,9805,10053,0.31,337541
2013 Q2,180049,140596,39453,41407,-1954,793,-1214,-0.04,337541
2013 Q3,154263,133666,20597,36106,-15509,-5383,-17156,-0.52,337541
2013 Q4,719496,587192,132304,151833,-19529,-17512,-31552,-0.97,337541
2014 Q1,127952,119247,8705,26358,-17653,7287,-8246,-0.27,317691
2014 Q2,204917,173191,31726,34946,-3220,7711,3392,0.11,317691
2014 Q3,232754,179505,53249,33951,19298,4209,21405,0.70,317691
2014 Q4,770070,628081,141989,139671,2318,25717,24447,0.79,317691
2015 Q1,172602,157352,15250,37067,-21817,15327,-7120,-0.23,317691
2015 Q2,247965,196509,51456,57633,-6177,1404,-9538,-0.30,328637
2015 Q3,184869,139089,45780,18325,27455,-181282,-158667,-5.33,328637
2015 Q4,760220,623418,136802,149860,-13058,-162444,-185607,-5.90,303687
2016 Q1,104206,102243,1963,32989,-31026,2007,-27195,-0.90,303687
2016 Q2,97833,90380,7453,35291,-27838,6785,-19943,-0.66,303687
2016 Q3,136541,118105,18436,34996,-16560,-5545,-20015,-0.66,303687
2016 Q4,385091,344875,40216,119581,-79365,-8439,-107159,-3.53,303687
2017 Q1,83003,73143,9860,27077,-17217,-2115,-19422,-0.64,303687
2017 Q2,71572,71257,315,31238,-30923,492,-31537,-1.04,303687
2017 Q3,63445,71526,-8081,27459,-35540,-2232,-36048,-1.19,303687
2017 Q4,276247,275364,883,113537,-112654,-2819,-113064,-3.72,303687
2018 Q1,81051,82965,-1914,26396,-28310,-2671,-32629,-1.07,333687
2018 Q2,72383,76290,-3907,25029,-28936,8364,-18383,-0.53,333687
2018 Q3,52478,46199,6279,23052,-16773,6821,-10972,-0.34,333687
