太醫,	4126
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,357542,217764,139778,46321,93457,13870,92558,1.40,660152
2013 Q2,382503,230597,151906,49739,102167,2568,89887,1.36,660152
2013 Q3,351901,221440,130461,46737,83724,-2070,70912,1.07,660152
2013 Q4,1443896,902985,540911,182726,358185,18347,321896,4.88,660152
2014 Q1,371812,237463,134349,48437,85912,12807,85301,1.29,660152
2014 Q2,362975,229347,133628,47336,86292,-6250,57025,0.86,660152
2014 Q3,376479,246482,129997,46853,83144,8225,78748,1.19,660152
2014 Q4,1506664,963325,543339,183288,360051,32432,326989,4.95,660152
2015 Q1,363487,230200,133287,47250,86037,-5216,67955,1.03,660152
2015 Q2,353704,230232,123472,49112,74360,-4846,47192,0.71,660152
2015 Q3,439502,278825,160677,48048,112629,28020,121591,1.84,660152
2015 Q4,1621564,1022672,598892,198383,400509,21519,351306,5.32,660152
2016 Q1,452010,271445,180565,54836,125729,-759,103851,1.57,660152
2016 Q2,452427,281574,170853,56499,114354,10620,90494,1.37,660152
2016 Q3,419801,270271,149530,48454,101076,-6738,78207,1.18,660152
