康樂-KY,	4154
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,77526,24668,52858,49001,3857,1953,5286,0.24,218000
2013 Q2,99086,32214,66872,59324,7548,-785,9267,0.43,218000
2013 Q3,95516,32537,62979,52463,10516,-2949,6656,0.31,218000
2013 Q4,357002,118901,238101,228092,10009,4436,12381,0.57,218000
2014 Q1,102280,27097,75183,71985,3198,931,3700,0.17,218000
2014 Q2,111504,35722,75782,76659,-877,1751,441,0.02,218000
2014 Q3,94284,32742,61542,63529,-1987,312,-2130,-0.10,202130
2014 Q4,449529,139286,310243,289001,21242,4401,22773,1.09,202130
2015 Q1,106184,33071,73113,72555,558,2253,2625,0.13,195260
2015 Q2,116011,28164,87847,86027,1820,-3176,-1863,-0.10,195260
2015 Q3,121053,34741,86312,87076,-764,-8601,-9848,-0.50,195260
2015 Q4,483135,146852,336283,348820,-12537,-8059,-22051,-1.13,195260
2016 Q1,143346,45548,97798,95367,2431,6750,9087,0.47,195260
2016 Q2,139255,49135,90120,99195,-9075,-972,-10950,-0.56,195260
2016 Q3,144464,51894,92570,97694,-5124,38993,30518,1.56,195260
2016 Q4,544942,186790,358152,385554,-27402,42992,13279,0.68,195260
2017 Q1,92303,34671,57632,68640,-11008,2653,-8355,-0.43,195260
2017 Q2,127822,48496,79326,89241,-9915,2435,-8048,-0.41,195260
