鐿鈦,	4163
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2013 Q1,329704,208767,120937,66544,54393,12796,59530,1.48,402380
2013 Q2,397251,251070,146181,71726,74455,9465,68830,1.71,402380
2013 Q3,405454,246294,159160,83561,75599,3081,64994,1.62,402380
2013 Q4,1514295,942881,571414,317566,253848,33673,243424,6.05,402380
2014 Q1,384306,241977,142329,76862,65467,11494,67339,1.67,402380
2014 Q2,459396,271089,188307,90092,98215,-3728,82346,2.05,402380
2014 Q3,516053,309318,206735,105163,101572,12558,98480,2.45,402380
2014 Q4,1804287,1102205,702082,379443,322639,42850,316473,7.87,402380
2015 Q1,479684,298506,181178,102823,78355,-4174,66399,1.65,402380
2015 Q2,467430,292788,174642,102777,71865,-3015,37619,0.93,402380
2015 Q3,459048,282936,176112,103903,72209,46981,105042,2.61,402380
2015 Q4,1884733,1143612,741121,429175,311946,48052,294034,7.31,402380
2016 Q1,490491,283970,206521,109132,97389,-8135,75644,1.88,402380
2016 Q2,596691,338207,258484,118670,139814,10968,125523,3.12,402380
2016 Q3,504474,289982,214492,114762,99730,-22426,66798,1.66,402380
2016 Q4,2053356,1184589,868767,468647,400120,20735,351947,8.75,402380
2017 Q1,443639,265467,178172,99618,78554,-56506,17763,0.44,402380
2017 Q2,452865,299241,153624,104848,48776,10403,42923,1.07,402380
2017 Q3,487134,308054,179080,105826,73254,-5092,55560,1.38,402380
2017 Q4,1813747,1137542,676205,419069,257136,-61375,151613,3.77,402380
2018 Q1,427393,270521,156872,97446,59426,-20083,34871,0.87,402380
2018 Q2,468666,284950,183716,111411,72305,61524,103599,2.57,402380
2018 Q3,515969,305016,210953,113457,97496,4026,77428,1.93,402380
